SEASON,TEAM ID,Team,TEAM
1990,10,Golden State Warriors,GSW
1990,24,Phoenix Suns,PHO
1990,8,Denver Nuggets,DEN
1990,25,Portland Trail Blazers,POR
1990,22,Orlando Magic,ORL
1990,14,Los Angeles Lakers,LAL
1990,23,Philadelphia 76Ers,PHI
1990,2,Boston Celtics,BOS
1990,5,Chicago Bulls,CHI
1990,12,Indiana Pacers,IND
1990,1,Atlanta Hawks,ALT
1990,20,New York Knicks,NYK
1990,30,Washington Bullets,WAB
1990,21,Seattle Supersonics,SEA
1990,29,Utah Jazz,UTA
1990,11,Houston Rockets,HOU
1990,27,San Antonio Spurs,SAS
1990,17,Milwaukee Bucks,MIL
1990,9,Detroit Pistons,DET
1990,13,Los Angeles Clippers,LAC
1990,6,Cleveland Cavaliers,CLE
1990,7,Dallas Mavericks,DAL
1990,26,Sacramento Kings,SAC
1990,16,Miami Heat,MIA
1990,4,Charlotte Hornets,CHO
1990,3,New Jersey Nets,NJN
1990,18,Minnesota Timberwolves,MIN
