Team
Phoenix Suns
Seattle Supersonics
Washington Wizards
Toronto Raptors
Denver Nuggets
Miami Heat
Los Angeles Lakers
Philadelphia 76Ers
Dallas Mavericks
Sacramento Kings
Golden State Warriors
Boston Celtics
Milwaukee Bucks
Chicago Bulls
Cleveland Cavaliers
Atlanta Hawks
Los Angeles Clippers
Charlotte Bobcats
Detroit Pistons
New York Knicks
San Antonio Spurs
Orlando Magic
Indiana Pacers
New Jersey Nets
New Orleans/Oklahoma City Hornets
Utah Jazz
Memphis Grizzlies
Minnesota Timberwolves
Houston Rockets
Portland Trail Blazers
