PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Richard Jefferson,24,33,33,41.1,7.2,17.1,0.42200000000000004,0.9,2.7,0.337,6.3,14.4,0.43799999999999994,0.449,6.9,8.2,0.8440000000000001,1.5,5.8,7.3,4.0,1.0,0.5,4.0,3.3,22.2
Vince Carter,28,57,56,38.9,10.0,21.7,0.462,1.9,4.5,0.425,8.1,17.3,0.47100000000000003,0.505,5.6,6.8,0.8170000000000001,1.4,4.5,5.9,4.7,1.5,0.6,2.6,3.3,27.5
Jason Kidd,31,66,65,36.9,5.2,13.0,0.39799999999999996,2.0,5.4,0.36,3.2,7.5,0.425,0.473,2.2,2.9,0.74,1.4,6.0,7.4,8.3,1.9,0.1,2.5,1.7,14.4
Eric Williams,32,21,21,35.2,4.1,8.8,0.47,0.8,1.9,0.425,3.3,6.9,0.483,0.516,3.5,5.1,0.685,1.3,3.2,4.5,2.0,0.8,0.1,1.6,3.8,12.6
Jason Collins,26,80,80,31.8,2.3,5.6,0.41200000000000003,0.0,0.1,0.33299999999999996,2.3,5.6,0.413,0.415,1.7,2.6,0.6559999999999999,1.9,4.2,6.1,1.3,0.9,0.9,1.1,4.0,6.4
Nenad Krstić,21,75,57,26.2,3.7,7.6,0.493,0.0,0.0,0.0,3.7,7.6,0.495,0.493,2.5,3.4,0.725,2.1,3.2,5.3,1.0,0.4,0.8,1.5,3.7,10.0
Alonzo Mourning,34,18,14,25.4,3.8,8.3,0.45299999999999996,0.0,0.0,,3.8,8.3,0.45299999999999996,0.45299999999999996,2.8,4.8,0.593,1.7,5.3,7.1,0.8,0.3,2.3,2.5,2.8,10.4
Ron Mercer,28,18,3,21.7,3.6,8.8,0.41100000000000003,0.0,0.2,0.0,3.6,8.6,0.419,0.41100000000000003,0.4,0.6,0.7,0.5,1.7,2.2,1.1,0.9,0.1,0.8,1.1,7.6
Brian Scalabrine,26,54,14,21.6,2.4,6.1,0.39799999999999996,0.4,1.3,0.324,2.0,4.9,0.41700000000000004,0.431,1.0,1.3,0.768,1.5,3.0,4.5,1.6,0.6,0.3,1.2,2.1,6.3
Clifford Robinson,38,29,0,20.7,2.1,5.8,0.361,0.9,2.3,0.379,1.2,3.6,0.35,0.435,0.9,1.3,0.6920000000000001,0.8,2.5,3.3,1.0,0.6,0.5,0.9,2.6,6.0
Rodney Buford,27,64,17,20.5,2.9,7.6,0.382,0.5,1.7,0.315,2.4,6.0,0.402,0.41700000000000004,0.6,0.7,0.8220000000000001,0.5,2.4,3.0,1.0,0.6,0.1,0.5,1.6,7.0
Jacque Vaughn,29,71,34,19.9,2.1,4.6,0.449,0.1,0.2,0.33299999999999996,2.0,4.4,0.455,0.457,1.1,1.3,0.835,0.2,1.3,1.5,1.9,0.6,0.0,0.9,1.9,5.3
Travis Best,32,76,6,19.2,2.5,5.9,0.42,0.3,1.1,0.306,2.2,4.8,0.447,0.449,1.4,1.6,0.885,0.3,1.2,1.4,1.9,0.9,0.1,0.9,1.9,6.8
Jabari Smith,27,45,2,14.4,1.4,3.3,0.419,0.0,0.0,0.5,1.4,3.2,0.418,0.42200000000000004,0.9,1.2,0.745,0.6,1.8,2.5,0.8,0.6,0.3,0.9,2.3,3.7
Billy Thomas,29,25,0,14.2,1.4,3.8,0.36200000000000004,0.7,2.2,0.304,0.7,1.5,0.447,0.452,0.3,0.4,0.778,0.3,1.2,1.4,0.7,0.6,0.0,0.4,1.2,3.7
Zoran Planinić,22,43,8,12.0,1.8,4.0,0.44799999999999995,0.3,0.9,0.375,1.5,3.1,0.47,0.491,1.1,1.5,0.6970000000000001,0.4,1.2,1.6,1.0,0.6,0.0,1.0,1.8,5.0
Aaron Williams,33,19,0,7.9,0.7,1.4,0.519,0.0,0.0,,0.7,1.4,0.519,0.519,0.5,0.5,0.9,0.4,1.3,1.6,0.3,0.2,0.3,0.6,1.3,1.9
Kaniel Dickens,26,11,0,5.5,0.4,1.3,0.28600000000000003,0.3,0.8,0.33299999999999996,0.1,0.5,0.2,0.39299999999999996,0.2,0.2,1.0,0.3,0.5,0.8,0.1,0.2,0.1,0.2,0.5,1.2
Donnell Harvey,24,3,0,5.3,0.7,0.7,1.0,0.0,0.0,,0.7,0.7,1.0,1.0,1.3,1.3,1.0,0.7,1.7,2.3,0.3,0.3,0.3,0.3,0.7,2.7
Elden Campbell,36,10,0,5.0,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,0.2,0.4,0.5,0.3,0.8,1.1,0.3,0.0,0.1,0.1,1.0,0.2
Awvee Storey,27,9,0,3.6,0.3,1.1,0.3,0.1,0.2,0.5,0.2,0.9,0.25,0.35,0.1,0.2,0.5,0.4,0.1,0.6,0.1,0.0,0.0,0.0,0.3,0.9
Clifford Robinson,26,8,0,3.0,0.4,0.5,0.75,0.0,0.0,,0.4,0.5,0.75,0.75,0.3,0.5,0.5,0.4,0.5,0.9,0.0,0.0,0.1,0.1,0.3,1.0
