Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1984-85,21.0,CHI,NBA,SG,82.0,82.0,3144.0,837.0,1625.0,0.515,9.0,52.0,0.173,828.0,1573.0,0.526,0.518,630.0,746.0,0.845,167.0,367.0,534.0,481.0,196.0,69.0,291.0,285.0,2313.0,,3.0
1985-86,22.0,CHI,NBA,SG,18.0,7.0,451.0,150.0,328.0,0.457,3.0,18.0,0.167,147.0,310.0,0.474,0.462,105.0,125.0,0.84,23.0,41.0,64.0,53.0,37.0,21.0,45.0,46.0,408.0,,0.0
1986-87,23.0,CHI,NBA,SG,82.0,82.0,3281.0,1098.0,2279.0,0.482,12.0,66.0,0.182,1086.0,2213.0,0.491,0.484,833.0,972.0,0.857,166.0,264.0,430.0,377.0,236.0,125.0,272.0,237.0,3041.0,,0.0
1987-88,24.0,CHI,NBA,SG,82.0,82.0,3311.0,1069.0,1998.0,0.535,7.0,53.0,0.132,1062.0,1945.0,0.546,0.537,723.0,860.0,0.841,139.0,310.0,449.0,485.0,259.0,131.0,252.0,270.0,2868.0,,2.0
1988-89,25.0,CHI,NBA,SG,81.0,81.0,3255.0,966.0,1795.0,0.538,27.0,98.0,0.276,939.0,1697.0,0.553,0.546,674.0,793.0,0.85,149.0,503.0,652.0,650.0,234.0,65.0,290.0,247.0,2633.0,,15.0
1989-90,26.0,CHI,NBA,SG,82.0,82.0,3197.0,1034.0,1964.0,0.526,92.0,245.0,0.376,942.0,1719.0,0.548,0.55,593.0,699.0,0.848,143.0,422.0,565.0,519.0,227.0,54.0,247.0,241.0,2753.0,,1.0
1990-91,27.0,CHI,NBA,SG,82.0,82.0,3034.0,990.0,1837.0,0.539,29.0,93.0,0.312,961.0,1744.0,0.551,0.547,571.0,671.0,0.851,118.0,374.0,492.0,453.0,223.0,83.0,202.0,229.0,2580.0,,0.0
1991-92,28.0,CHI,NBA,SG,80.0,80.0,3102.0,943.0,1818.0,0.519,27.0,100.0,0.27,916.0,1718.0,0.533,0.526,491.0,590.0,0.832,91.0,420.0,511.0,489.0,182.0,75.0,200.0,201.0,2404.0,,2.0
1992-93,29.0,CHI,NBA,SG,78.0,78.0,3067.0,992.0,2003.0,0.495,81.0,230.0,0.352,911.0,1773.0,0.514,0.515,476.0,569.0,0.837,135.0,387.0,522.0,428.0,221.0,61.0,207.0,188.0,2541.0,,4.0
1994-95,31.0,CHI,NBA,SG,17.0,17.0,668.0,166.0,404.0,0.411,16.0,32.0,0.5,150.0,372.0,0.403,0.431,109.0,136.0,0.801,25.0,92.0,117.0,90.0,30.0,13.0,35.0,47.0,457.0,,0.0
1995-96,32.0,CHI,NBA,SG,82.0,82.0,3090.0,916.0,1850.0,0.495,111.0,260.0,0.427,805.0,1590.0,0.506,0.525,548.0,657.0,0.834,148.0,395.0,543.0,352.0,180.0,42.0,197.0,195.0,2491.0,,0.0
1996-97,33.0,CHI,NBA,SG,82.0,82.0,3106.0,920.0,1892.0,0.486,111.0,297.0,0.374,809.0,1595.0,0.507,0.516,480.0,576.0,0.833,113.0,369.0,482.0,352.0,140.0,44.0,166.0,156.0,2431.0,,1.0
1997-98,34.0,CHI,NBA,SG,82.0,82.0,3181.0,881.0,1893.0,0.465,30.0,126.0,0.238,851.0,1767.0,0.482,0.473,565.0,721.0,0.784,130.0,345.0,475.0,283.0,141.0,45.0,185.0,151.0,2357.0,,0.0
2001-02,38.0,WAS,NBA,SF,60.0,53.0,2093.0,551.0,1324.0,0.416,10.0,53.0,0.189,541.0,1271.0,0.426,0.42,263.0,333.0,0.79,50.0,289.0,339.0,310.0,85.0,26.0,162.0,119.0,1375.0,,0.0
2002-03,39.0,WAS,NBA,SF,82.0,67.0,3031.0,679.0,1527.0,0.445,16.0,55.0,0.291,663.0,1472.0,0.45,0.45,266.0,324.0,0.821,71.0,426.0,497.0,311.0,123.0,39.0,173.0,171.0,1640.0,,0.0
