Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1987,11,1469,HOU,Houston Rockets,23.0,NBA,SF,5.0,0.0,10.0,10.0,29.9,0.33,0.0,0.0,,10.0,29.9,0.33,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,19.9,,52.0,118.0
1988,11,1469,HOU,Houston Rockets,24.0,NBA,SF,4.0,0.0,20.0,5.0,7.6,0.67,0.0,0.0,,5.0,7.6,0.67,2.5,5.0,0.5,5.0,5.0,10.1,0.0,2.5,0.0,10.1,2.5,12.6,,67.0,112.0
1989,11,1469,HOU,Houston Rockets,25.0,NBA,SF,4.0,4.0,118.0,7.9,16.6,0.48,0.0,0.4,0.0,7.9,16.2,0.49,3.3,5.8,0.57,2.9,3.3,6.2,5.4,1.2,0.8,2.5,6.2,19.1,,105.0,112.0
1990,11,1469,HOU,Houston Rockets,26.0,NBA,SF,4.0,4.0,148.0,7.0,16.8,0.42,0.0,0.4,0.0,7.0,16.5,0.43,3.9,4.6,0.85,2.8,2.8,5.6,3.2,2.1,0.7,1.4,5.6,17.9,,109.0,116.0
1991,11,1469,HOU,Houston Rockets,27.0,NBA,SF,3.0,3.0,86.0,6.1,17.2,0.36,0.0,0.0,,6.1,17.2,0.36,2.5,2.5,1.0,2.5,6.1,8.6,4.9,1.2,0.6,3.1,8.0,14.8,,89.0,110.0
