Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,23.0,TOT,NBA,SG,16.0,0.0,70.0,7.0,16.0,0.438,1.0,3.0,0.333,6.0,13.0,0.462,0.469,4.0,6.0,0.667,1.0,5.0,6.0,2.0,1.0,0.0,6.0,8.0,19.0
2004,23.0,POR,NBA,SG,13.0,0.0,48.0,5.0,11.0,0.455,1.0,3.0,0.333,4.0,8.0,0.5,0.5,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,3.0,13.0
2004,23.0,SAS,NBA,SG,3.0,0.0,22.0,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,2.0,4.0,0.5,1.0,2.0,3.0,1.0,1.0,0.0,4.0,5.0,6.0
2005,24.0,CHA,NBA,SG,25.0,0.0,430.0,70.0,180.0,0.389,13.0,39.0,0.333,57.0,141.0,0.404,0.425,71.0,83.0,0.855,13.0,47.0,60.0,17.0,17.0,2.0,25.0,37.0,224.0
2006,25.0,CHA,NBA,SG,78.0,6.0,1275.0,192.0,476.0,0.403,72.0,185.0,0.389,120.0,291.0,0.412,0.479,138.0,168.0,0.821,34.0,123.0,157.0,35.0,47.0,11.0,48.0,120.0,594.0
2007,26.0,CHA,NBA,SG,72.0,47.0,1878.0,285.0,658.0,0.433,111.0,267.0,0.416,174.0,391.0,0.445,0.517,188.0,208.0,0.904,35.0,172.0,207.0,91.0,53.0,9.0,73.0,176.0,869.0
2008,27.0,CHA,NBA,SG,80.0,18.0,2016.0,252.0,589.0,0.428,105.0,241.0,0.436,147.0,348.0,0.422,0.517,111.0,138.0,0.804,33.0,193.0,226.0,73.0,46.0,19.0,58.0,187.0,720.0
2009,28.0,TOT,NBA,SG,55.0,10.0,616.0,65.0,171.0,0.38,13.0,53.0,0.245,52.0,118.0,0.441,0.418,21.0,25.0,0.84,7.0,62.0,69.0,27.0,21.0,6.0,33.0,67.0,164.0
2009,28.0,CHA,NBA,SG,34.0,10.0,475.0,56.0,138.0,0.406,12.0,45.0,0.267,44.0,93.0,0.473,0.449,15.0,19.0,0.789,5.0,50.0,55.0,24.0,18.0,5.0,26.0,53.0,139.0
2009,28.0,DAL,NBA,SG,21.0,0.0,141.0,9.0,33.0,0.273,1.0,8.0,0.125,8.0,25.0,0.32,0.288,6.0,6.0,1.0,2.0,12.0,14.0,3.0,3.0,1.0,7.0,14.0,25.0
2010,29.0,DAL,NBA,SG,25.0,0.0,121.0,18.0,50.0,0.36,4.0,19.0,0.211,14.0,31.0,0.452,0.4,6.0,6.0,1.0,4.0,8.0,12.0,6.0,5.0,0.0,7.0,13.0,46.0
2011,30.0,CHA,NBA,SG,54.0,1.0,582.0,89.0,199.0,0.447,17.0,46.0,0.37,72.0,153.0,0.471,0.49,40.0,52.0,0.769,12.0,56.0,68.0,23.0,17.0,6.0,23.0,43.0,235.0
2012,31.0,CHA,NBA,SG,53.0,2.0,596.0,52.0,157.0,0.331,8.0,43.0,0.186,44.0,114.0,0.386,0.357,30.0,38.0,0.789,8.0,50.0,58.0,38.0,16.0,7.0,24.0,52.0,142.0
2013,32.0,CHA,NBA,SG,1.0,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
