Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2002,31,1494,TOT,Total After Trade,Joe Johnson,"June 29, 1981",20.0,NBA,SG,77.0,60.0,1916.0,6.8,15.9,0.43,1.0,3.5,0.29,5.8,12.4,0.47,1.1,1.4,0.77,2.0,5.0,7.0,4.9,1.6,0.5,1.9,3.1,15.8,102.0,105.0
2002,2,1494,BOS,Boston Celtics,Joe Johnson,"June 29, 1981",20.0,NBA,SG,48.0,33.0,1003.0,6.7,15.3,0.44,1.2,4.6,0.27,5.5,10.8,0.51,1.0,1.3,0.77,2.1,5.1,7.2,3.8,1.7,0.5,1.4,3.1,15.7,105.0,104.0
2002,24,1494,PHO,Phoenix Suns,Joe Johnson,"June 29, 1981",20.0,NBA,SG,29.0,27.0,913.0,7.0,16.6,0.42,0.8,2.4,0.33,6.2,14.1,0.44,1.2,1.6,0.78,2.0,4.8,6.8,6.0,1.5,0.6,2.5,3.2,15.9,99.0,107.0
2003,24,1494,PHO,Phoenix Suns,Joe Johnson,"June 29, 1981",21.0,NBA,SG,82.0,34.0,2255.0,7.3,18.5,0.4,1.7,4.8,0.37,5.6,13.7,0.41,2.2,2.9,0.77,1.3,4.8,6.1,4.9,1.4,0.4,2.5,3.3,18.7,99.0,105.0
2004,24,1494,PHO,Phoenix Suns,Joe Johnson,"June 29, 1981",22.0,NBA,SG,82.0,77.0,3331.0,8.6,20.1,0.43,1.3,4.2,0.3,7.3,15.9,0.46,2.7,3.6,0.75,1.2,4.7,6.0,5.6,1.4,0.4,3.1,2.8,21.3,100.0,109.0
2005,24,1494,PHO,Phoenix Suns,Joe Johnson,"June 29, 1981",23.0,NBA,SF,82.0,82.0,3240.0,8.4,18.2,0.46,2.7,5.7,0.48,5.7,12.5,0.45,2.1,2.8,0.75,1.9,4.7,6.5,4.5,1.2,0.4,2.3,2.6,21.6,113.0,110.0
2006,1,1494,ATL,Atlanta Hawks,Joe Johnson,"June 29, 1981",24.0,NBA,SG,82.0,82.0,3340.0,10.0,22.2,0.45,2.0,5.7,0.36,8.0,16.4,0.49,4.1,5.2,0.79,1.6,3.8,5.3,8.5,1.6,0.5,4.2,3.0,26.3,109.0,114.0
2007,1,1494,ATL,Atlanta Hawks,Joe Johnson,"June 29, 1981",25.0,NBA,SG,57.0,57.0,2359.0,12.1,25.8,0.47,2.7,7.1,0.38,9.4,18.7,0.5,5.3,7.1,0.75,1.2,4.2,5.4,5.6,1.4,0.2,4.0,2.6,32.2,109.0,111.0
2008,1,1494,ATL,Atlanta Hawks,Joe Johnson,"June 29, 1981",26.0,NBA,SG,82.0,82.0,3343.0,10.2,23.6,0.43,2.7,7.0,0.38,7.5,16.6,0.45,5.0,6.0,0.83,1.3,4.5,5.8,7.5,1.3,0.3,3.5,2.6,28.1,109.0,112.0
2009,1,1494,ATL,Atlanta Hawks,Joe Johnson,"June 29, 1981",27.0,NBA,SG,79.0,79.0,3124.0,10.6,24.3,0.44,2.6,7.1,0.36,8.1,17.2,0.47,5.1,6.2,0.83,1.1,4.8,5.9,7.8,1.4,0.3,3.3,3.0,28.9,110.0,110.0
