SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003,14,LAL,Kobe Bryant,24.0,82,82.0,3401,868,1924,0.45,124,324,0.38,744,1600,0.46,0.48,601,713,0.84,106,458,564,481,181,67,288,218,2461
2003,14,LAL,Derek Fisher,28.0,82,82.0,2829,339,775,0.44,85,212,0.4,254,563,0.45,0.49,100,125,0.8,40,199,239,298,93,15,94,195,863
2003,14,LAL,Shaquille O'Neal,30.0,67,66.0,2535,695,1211,0.57,0,0,,695,1211,0.57,0.57,451,725,0.62,259,483,742,206,38,159,196,229,1841
2003,14,LAL,Robert Horry,32.0,80,26.0,2343,184,476,0.39,51,177,0.29,133,299,0.44,0.44,103,134,0.77,181,333,514,233,96,61,112,247,522
2003,14,LAL,Rick Fox,33.0,76,75.0,2181,262,621,0.42,105,280,0.38,157,341,0.46,0.51,52,69,0.75,64,259,323,253,69,14,121,215,681
2003,14,LAL,Devean George,25.0,71,7.0,1613,180,461,0.39,49,132,0.37,131,329,0.4,0.44,83,105,0.79,91,195,286,92,56,38,65,180,492
2003,14,LAL,Samaki Walker,26.0,67,39.0,1243,115,274,0.42,0,1,0.0,115,273,0.42,0.42,66,101,0.65,115,253,368,64,20,55,56,143,296
2003,14,LAL,Brian Shaw,36.0,72,0.0,900,101,261,0.39,38,109,0.35,63,152,0.41,0.46,10,15,0.67,20,99,119,103,32,13,54,62,250
2003,14,LAL,Kareem Rush,22.0,76,0.0,872,96,244,0.39,19,68,0.28,77,176,0.44,0.43,16,23,0.7,26,68,94,68,10,11,63,71,227
2003,14,LAL,Mark Madsen,27.0,54,22.0,781,69,163,0.42,0,0,,69,163,0.42,0.42,36,61,0.59,86,73,159,38,15,19,27,116,174
2003,14,LAL,Stanislav Medvedenko,23.0,58,10.0,620,112,258,0.43,0,2,0.0,112,256,0.44,0.43,31,43,0.72,66,75,141,18,11,8,37,118,255
2003,14,LAL,Jannero Pargo,23.0,34,0.0,342,37,93,0.4,7,24,0.29,30,69,0.44,0.44,4,4,1.0,9,28,37,39,13,2,23,45,85
2003,14,LAL,Tracy Murray,31.0,31,0.0,193,23,71,0.32,8,38,0.21,15,33,0.46,0.38,7,9,0.78,5,18,23,12,5,3,14,22,61
2003,14,LAL,Soumaila Samake,24.0,13,1.0,77,10,24,0.42,0,0,,10,24,0.42,0.42,2,2,1.0,10,13,23,4,0,5,2,13,22
2003,14,LAL,Team Totals,,82,,19930,3091,6856,0.45,486,1367,0.36,2605,5489,0.48,0.49,1562,2129,0.73,1078,2554,3632,1909,639,470,1192,1874,8230
