Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2008,4,CHA,Charlotte Bobcats,Jason Richardson,27,82,3149,18.4,0.55,0.41,0.22,2.9,13.3,8.0,15.2,1.9,1.4,9.3,25.9,4.8,2.6,7.4,0.11,3.3,-0.3,3.0,4.0
2008,4,CHA,Charlotte Bobcats,Raymond Felton,23,79,2972,13.8,0.5,0.2,0.33,1.4,7.7,4.6,32.4,1.7,0.3,15.7,20.8,2.0,1.4,3.4,0.05,-0.6,-1.5,-2.1,-0.1
2008,4,CHA,Charlotte Bobcats,Emeka Okafor,25,82,2718,17.4,0.55,0.0,0.44,10.7,26.4,18.5,4.5,1.2,3.9,13.8,20.0,2.2,3.6,5.8,0.1,-0.7,-0.4,-1.1,0.6
2008,4,CHA,Charlotte Bobcats,Gerald Wallace,25,62,2376,17.5,0.55,0.24,0.47,2.8,15.3,9.0,15.9,2.9,1.9,14.1,24.6,1.8,2.8,4.6,0.09,0.8,1.3,2.1,2.5
2008,4,CHA,Charlotte Bobcats,Matt Carroll,27,80,2016,10.7,0.55,0.41,0.23,1.9,11.1,6.4,5.8,1.2,0.7,8.2,16.1,1.9,1.0,3.0,0.07,-1.2,-0.8,-2.0,0.0
2008,4,CHA,Charlotte Bobcats,Nazr Mohammed,30,61,1422,16.2,0.54,0.0,0.28,13.3,20.8,17.0,8.1,1.4,2.8,14.6,19.9,1.3,1.6,2.8,0.1,-1.6,-0.6,-2.2,-0.1
2008,4,CHA,Charlotte Bobcats,Jeff McInnis,33,54,1410,6.5,0.46,0.08,0.12,1.3,6.6,3.9,23.4,0.9,0.2,22.5,11.0,-0.2,0.3,0.1,0.0,-4.3,-1.1,-5.4,-1.2
2008,4,CHA,Charlotte Bobcats,Jared Dudley,22,73,1384,13.6,0.53,0.12,0.34,10.0,13.8,11.9,9.3,2.1,0.5,11.1,14.9,1.8,1.1,2.9,0.1,-0.7,0.0,-0.7,0.4
2008,4,CHA,Charlotte Bobcats,Earl Boykins,31,36,577,10.0,0.47,0.26,0.34,1.8,5.0,3.4,26.0,1.2,0.0,17.2,19.0,-0.1,0.1,0.0,0.0,-2.0,-2.8,-4.8,-0.4
2008,4,CHA,Charlotte Bobcats,Ryan Hollins,23,60,532,11.4,0.56,0.0,0.87,11.4,11.7,11.6,4.0,1.0,4.3,16.1,13.3,0.6,0.4,1.1,0.1,-3.9,0.1,-3.8,-0.2
2008,4,CHA,Charlotte Bobcats,Derek Anderson,33,28,396,10.0,0.5,0.42,0.3,2.6,12.6,7.5,17.8,1.6,0.2,15.0,19.3,0.0,0.3,0.3,0.03,-2.6,-0.7,-3.2,-0.1
2008,4,CHA,Charlotte Bobcats,Jermareo Davidson,23,38,322,9.8,0.44,0.0,0.22,7.5,14.7,11.1,6.9,1.1,3.5,11.0,21.9,-0.4,0.3,-0.1,-0.01,-4.6,-0.6,-5.2,-0.3
2008,4,CHA,Charlotte Bobcats,Primoz Brezec,28,20,267,1.5,0.41,0.0,0.12,6.0,13.0,9.5,3.3,0.0,0.9,24.9,10.3,-0.4,0.1,-0.3,-0.05,-7.1,-1.7,-8.8,-0.5
2008,4,CHA,Charlotte Bobcats,Walter Herrmann,28,17,174,12.1,0.49,0.4,0.15,6.6,17.3,11.9,3.8,1.2,0.0,5.4,19.3,0.1,0.1,0.2,0.06,0.2,-1.2,-1.0,0.0
2008,4,CHA,Charlotte Bobcats,Othella Harrington,34,22,166,5.8,0.47,0.0,0.38,7.6,21.6,14.5,3.8,0.3,1.8,18.3,16.6,-0.2,0.1,0.0,-0.01,-7.6,-1.6,-9.2,-0.3
