Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1990,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",21.0,NBA,C,82.0,5.0,1611.0,8.5,17.0,0.5,0.0,0.2,0.0,8.5,16.8,0.5,4.7,6.7,0.71,5.2,10.7,15.8,2.3,2.4,3.5,3.4,7.4,21.7,,108.0,100.0
1991,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",22.0,NBA,C,82.0,81.0,2310.0,7.9,14.1,0.56,0.1,0.3,0.36,7.8,13.8,0.57,4.3,6.2,0.7,4.5,10.2,14.7,2.0,2.3,2.8,3.2,5.5,20.3,,114.0,99.0
1992,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",23.0,NBA,C,36.0,18.0,979.0,8.3,16.8,0.5,0.3,1.0,0.26,8.1,15.8,0.51,4.6,5.9,0.77,4.6,8.5,13.1,3.2,2.9,1.9,4.7,6.0,21.5,,103.0,104.0
1993,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",24.0,NBA,C,82.0,69.0,2525.0,7.8,16.2,0.48,0.4,1.5,0.28,7.4,14.7,0.5,4.6,6.7,0.69,4.3,10.1,14.4,4.6,2.5,2.8,4.2,6.1,20.8,,104.0,103.0
1994,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",25.0,NBA,C,79.0,73.0,2685.0,8.5,16.8,0.51,0.2,0.9,0.19,8.3,15.9,0.52,3.9,5.7,0.69,5.3,10.7,15.9,5.7,1.7,2.1,3.6,5.4,21.0,,110.0,105.0
1995,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",26.0,NBA,C,80.0,80.0,2807.0,8.7,17.2,0.51,0.2,1.0,0.19,8.5,16.2,0.52,5.3,6.9,0.78,4.7,10.2,14.9,5.9,2.0,3.1,3.7,5.5,22.9,,114.0,104.0
1996,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",27.0,NBA,C,79.0,79.0,2470.0,8.7,17.0,0.51,0.1,0.4,0.17,8.6,16.6,0.52,4.0,6.2,0.64,4.2,10.1,14.3,5.5,1.6,2.8,4.2,5.8,21.5,,106.0,103.0
1997,,753,CHH,None,Vlade Divac,"February 3, 1968",28.0,NBA,C,81.0,80.0,2840.0,8.0,16.2,0.49,0.2,0.9,0.23,7.8,15.3,0.51,3.4,4.9,0.68,4.6,9.2,13.8,5.7,2.0,3.4,3.7,5.3,19.5,,108.0,104.0
1998,,753,CHH,None,Vlade Divac,"February 3, 1968",29.0,NBA,C,64.0,41.0,1805.0,7.9,15.9,0.5,0.1,0.4,0.21,7.9,15.5,0.51,3.9,5.6,0.69,5.4,10.0,15.4,5.1,2.5,2.8,3.4,5.3,19.8,,110.0,100.0
1999,26.0,753,SAC,Sacramento Kings,Vlade Divac,"February 3, 1968",30.0,NBA,C,50.0,50.0,1761.0,7.4,15.8,0.47,0.3,1.2,0.26,7.1,14.6,0.49,5.1,7.2,0.7,4.0,10.3,14.2,6.1,1.2,1.4,3.7,4.7,20.3,,108.0,101.0
2001,26.0,753,SAC,Sacramento Kings,Vlade Divac,"February 3, 1968",32.0,NBA,C,81.0,81.0,2420.0,7.6,15.9,0.48,0.1,0.3,0.29,7.6,15.6,0.49,5.1,7.4,0.69,4.3,9.8,14.1,4.9,1.8,2.0,4.0,5.1,20.5,,105.0,97.0
2002,26.0,753,SAC,Sacramento Kings,Vlade Divac,"February 3, 1968",33.0,NBA,C,80.0,80.0,2420.0,7.0,14.9,0.47,0.1,0.3,0.23,7.0,14.6,0.48,4.3,7.1,0.62,4.3,9.7,13.9,6.2,1.6,2.0,3.3,4.8,18.4,,107.0,99.0
2003,26.0,753,SAC,Sacramento Kings,Vlade Divac,"February 3, 1968",34.0,NBA,C,80.0,80.0,2384.0,6.4,13.8,0.47,0.1,0.5,0.24,6.3,13.3,0.48,3.8,5.3,0.71,3.3,8.8,12.1,5.8,1.8,2.2,3.2,5.0,16.8,,105.0,97.0
2004,26.0,753,SAC,Sacramento Kings,Vlade Divac,"February 3, 1968",35.0,NBA,C,81.0,81.0,2317.0,7.0,14.9,0.47,0.0,0.3,0.15,7.0,14.6,0.48,3.8,5.8,0.65,3.0,7.3,10.3,9.6,1.3,1.7,3.9,5.0,17.9,,106.0,105.0
2005,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",36.0,NBA,C,15.0,0.0,130.0,5.3,12.6,0.42,0.0,0.0,,5.3,12.6,0.42,3.3,4.9,0.67,7.3,5.7,13.0,7.7,1.6,0.4,5.7,10.2,13.8,,97.0,112.0
