PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chauncey Billups,32,16,16,38.7,5.6,12.3,0.457,2.8,5.9,0.46799999999999997,2.9,6.4,0.447,0.569,6.6,7.3,0.9059999999999999,0.3,3.5,3.8,6.8,1.3,0.3,1.9,2.4,20.6
Carmelo Anthony,24,16,16,38.3,9.1,20.1,0.45299999999999996,1.5,4.1,0.364,7.6,16.0,0.47700000000000004,0.491,7.4,9.0,0.826,1.6,4.2,5.8,4.1,1.8,0.6,2.3,3.8,27.2
Kenyon Martin,31,16,16,33.6,4.7,9.4,0.49700000000000005,0.1,0.3,0.2,4.6,9.1,0.507,0.5,1.4,2.2,0.657,1.5,4.4,5.9,2.1,1.1,0.9,1.6,3.8,10.9
Nenê Hilário,26,16,16,32.8,4.3,7.9,0.5479999999999999,0.0,0.0,,4.3,7.9,0.5479999999999999,0.5479999999999999,2.9,4.4,0.657,2.3,5.2,7.5,2.6,1.3,0.6,1.9,4.1,11.5
J.R. Smith,23,16,0,27.2,5.5,12.1,0.45399999999999996,2.4,6.6,0.358,3.1,5.5,0.568,0.552,1.6,2.9,0.5429999999999999,0.7,2.6,3.3,2.8,1.1,0.3,1.6,3.2,14.9
Chris Andersen,30,15,0,21.9,2.3,3.6,0.63,0.0,0.1,0.0,2.3,3.5,0.642,0.63,1.9,2.9,0.659,1.9,4.4,6.3,0.6,0.3,2.1,0.5,2.8,6.5
Dahntay Jones,28,16,16,17.5,2.4,4.9,0.48100000000000004,0.2,0.8,0.25,2.2,4.2,0.522,0.5,2.1,2.7,0.767,1.0,1.4,2.4,0.6,0.8,0.3,0.8,2.6,7.0
Linas Kleiza,24,14,0,15.0,2.2,4.7,0.47,1.2,2.9,0.425,1.0,1.9,0.5379999999999999,0.598,1.3,1.7,0.75,0.6,2.6,3.2,0.5,0.4,0.1,0.1,1.2,6.9
Anthony Carter,33,16,0,14.3,1.3,3.1,0.408,0.1,0.8,0.16699999999999998,1.1,2.3,0.486,0.429,0.1,0.3,0.5,0.7,1.3,2.0,2.1,0.9,0.1,0.7,1.7,2.8
Johan Petro,23,10,0,2.6,0.2,0.9,0.222,0.0,0.0,,0.2,0.9,0.222,0.222,0.5,0.8,0.625,0.2,0.4,0.6,0.1,0.0,0.1,0.1,0.4,0.9
Renaldo Balkman,24,8,0,2.5,0.3,0.8,0.33299999999999996,0.0,0.1,0.0,0.3,0.6,0.4,0.33299999999999996,0.0,0.0,,0.3,0.3,0.5,0.1,0.5,0.0,0.0,0.4,0.5
Jason Hart,30,9,0,2.1,0.1,0.2,0.5,0.0,0.0,,0.1,0.2,0.5,0.5,0.0,0.0,,0.0,0.3,0.3,0.6,0.2,0.1,0.1,0.6,0.2
