PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ron Harper,23,82,82,3064,8.6,19.0,0.455,0.2,1.1,0.213,8.4,17.9,0.47,4.5,6.6,0.684,2.0,2.6,4.6,4.6,2.5,1.0,4.1,2.9,22.0
Hot Rod Williams,24,80,80,2714,5.8,11.9,0.485,0.0,0.0,0.0,5.8,11.9,0.485,4.0,5.3,0.745,2.9,5.4,8.3,2.0,0.8,2.2,1.8,2.6,15.5
Brad Daugherty,21,80,80,2695,6.5,12.1,0.5379999999999999,0.0,0.0,,6.5,12.1,0.5379999999999999,3.7,5.4,0.696,2.0,6.6,8.6,4.1,0.7,0.8,3.3,3.3,16.7
John Bagley,26,72,67,2182,5.1,12.1,0.426,0.5,1.7,0.301,4.6,10.4,0.447,1.9,2.2,0.831,0.9,3.3,4.2,6.3,1.5,0.1,2.7,1.9,12.7
Phil Hubbard,30,68,68,2083,5.5,10.5,0.531,0.0,0.1,0.0,5.5,10.4,0.534,2.8,4.7,0.596,3.1,3.6,6.7,2.4,1.1,0.1,2.7,3.9,13.9
Mark West,26,78,13,1333,5.6,10.4,0.5429999999999999,0.0,0.1,0.0,5.6,10.3,0.546,2.4,4.7,0.514,3.4,5.8,9.2,1.1,0.6,2.2,2.9,6.2,13.7
Mark Price,22,67,0,1217,5.1,12.5,0.408,0.7,2.1,0.32899999999999996,4.4,10.5,0.424,2.8,3.4,0.833,1.0,2.5,3.5,6.0,1.3,0.1,3.1,2.2,13.7
Craig Ehlo,25,44,15,890,4.0,9.7,0.414,0.2,1.2,0.172,3.8,8.5,0.44799999999999995,2.8,4.0,0.7070000000000001,2.2,4.3,6.5,3.7,1.6,1.2,2.5,3.2,11.0
Keith Lee,24,67,1,870,7.0,15.5,0.455,0.0,0.0,0.0,7.0,15.4,0.456,3.0,4.2,0.713,3.8,6.5,10.4,2.9,1.0,1.7,3.5,6.1,17.0
Melvin Turpin,26,64,1,801,7.6,16.4,0.462,0.0,0.0,,7.6,16.4,0.462,2.5,3.5,0.7140000000000001,2.8,5.8,8.5,1.5,0.5,1.8,2.8,4.0,17.7
Johnny Newman,23,59,0,630,6.5,15.7,0.41100000000000003,0.1,1.3,0.045,6.4,14.5,0.44299999999999995,3.8,4.3,0.868,2.1,1.9,4.0,1.5,1.1,0.4,2.6,3.8,16.7
Tyrone Corbin,24,32,0,438,3.5,9.6,0.368,0.1,0.3,0.25,3.5,9.3,0.37200000000000005,3.5,4.7,0.737,3.0,4.9,7.9,1.4,1.4,0.2,1.6,3.9,10.6
Ben Poquette,31,37,1,437,3.4,6.8,0.5,0.0,0.2,0.0,3.4,6.5,0.519,2.6,3.2,0.795,1.6,4.7,6.3,2.3,0.5,1.8,1.4,4.2,9.3
Scooter McCray,26,24,2,279,3.9,8.4,0.462,0.0,0.0,,3.9,8.4,0.462,2.6,5.3,0.488,2.5,5.0,7.5,3.0,1.2,0.5,3.1,3.6,10.3
Dirk Minniefield,26,11,0,122,3.8,12.4,0.31,0.0,1.5,0.0,3.8,10.9,0.35100000000000003,0.3,1.2,0.25,0.3,2.7,3.0,3.8,1.8,0.3,3.5,2.4,8.0
