Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1994,16,MIA,Miami Heat,John Salley,29,5,201,10.2,0.43,0.0,0.28,8.6,13.5,11.0,7.0,0.5,1.7,8.6,15.5,0.1,0.1,0.2,0.04,-0.7,-1.0,-1.7,0.0
1994,16,MIA,Miami Heat,Glen Rice,26,5,195,11.4,0.45,0.34,0.12,3.3,17.4,10.2,9.4,3.0,0.7,16.4,19.5,-0.1,0.2,0.1,0.02,-0.6,0.8,0.2,0.1
1994,16,MIA,Miami Heat,Steve Smith,24,5,192,18.2,0.53,0.28,0.31,9.6,7.7,8.6,11.3,1.1,0.7,9.9,23.4,0.5,0.0,0.5,0.13,5.4,-1.3,4.1,0.3
1994,16,MIA,Miami Heat,Rony Seikaly,28,5,165,12.1,0.49,0.0,0.72,12.4,19.2,15.8,8.2,1.3,2.9,20.7,14.3,0.0,0.2,0.2,0.06,-1.3,0.1,-1.2,0.0
1994,16,MIA,Miami Heat,Bimbo Coles,25,5,140,19.6,0.6,0.08,0.49,1.5,9.7,5.5,24.3,2.7,0.5,16.1,21.6,0.4,0.1,0.5,0.16,2.3,2.5,4.8,0.2
1994,16,MIA,Miami Heat,Brian Shaw,27,5,112,8.3,0.42,0.32,0.29,2.9,17.2,9.9,15.0,1.9,0.6,21.9,23.5,-0.3,0.1,-0.2,-0.08,-3.5,-1.0,-4.5,-0.1
1994,16,MIA,Miami Heat,Grant Long,27,4,110,14.0,0.51,0.0,0.75,9.8,8.2,9.0,11.5,1.5,1.2,17.3,23.4,0.1,0.0,0.1,0.06,0.2,-0.5,-0.3,0.0
1994,16,MIA,Miami Heat,Harold Miner,22,4,57,18.6,0.52,0.0,0.42,5.7,9.9,7.8,7.5,0.9,0.0,6.1,25.6,0.1,0.0,0.2,0.13,3.2,-1.4,1.8,0.1
1994,16,MIA,Miami Heat,Willie Burton,25,2,11,-11.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.2,-0.1,0.0,-0.1,-0.29,-15.4,-4.6,-20.0,-0.1
1994,16,MIA,Miami Heat,Matt Geiger,24,2,11,0.7,0.17,0.0,1.0,0.0,41.2,20.1,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,-0.08,-6.0,-2.9,-8.9,0.0
1994,16,MIA,Miami Heat,Keith Askins,26,1,6,-17.7,0.0,0.0,0.0,18.0,0.0,9.2,0.0,0.0,0.0,66.7,22.2,-0.1,0.0,-0.1,-0.62,-15.9,-8.0,-23.9,0.0
