PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Larry Bird,29,18,18,770,10.8,21.0,0.517,1.5,3.5,0.41100000000000003,9.4,17.4,0.5379999999999999,6.4,6.9,0.927,2.2,8.5,10.6,9.4,2.3,0.7,3.0,3.5,29.5,,127,103
Dennis Johnson,31,18,18,715,7.4,16.7,0.445,0.4,1.1,0.375,7.0,15.6,0.45,4.6,5.7,0.7979999999999999,1.6,3.6,5.2,7.3,2.7,0.3,3.5,4.0,19.9,,106,106
Kevin McHale,28,18,18,715,11.5,19.8,0.579,0.0,0.1,0.0,11.5,19.7,0.581,7.6,9.6,0.794,3.5,7.1,10.6,3.3,0.5,2.9,3.3,4.4,30.6,,123,105
Danny Ainge,26,18,18,652,8.0,14.4,0.5539999999999999,1.0,2.5,0.41200000000000003,7.0,11.9,0.585,3.9,4.5,0.867,1.6,4.0,5.7,7.0,3.1,0.1,2.3,4.3,21.0,,128,105
Robert Parish,32,18,18,591,8.7,18.6,0.47100000000000003,0.0,0.0,,8.7,18.6,0.47100000000000003,4.8,7.3,0.652,4.3,8.7,13.0,2.1,0.7,2.5,3.6,3.9,22.3,,102,104
Bill Walton,33,16,0,291,9.1,15.6,0.581,0.0,0.2,0.0,9.1,15.4,0.5870000000000001,3.2,3.9,0.826,4.2,13.1,17.3,4.5,1.0,2.0,3.7,7.5,21.3,,115,101
Jerry Sichting,29,18,0,274,4.8,10.9,0.44299999999999995,0.0,0.2,0.0,4.8,10.7,0.45,0.5,1.2,0.429,0.9,2.0,2.8,7.1,0.9,0.0,1.4,3.2,10.1,,105,111
Scott Wedman,33,12,0,142,6.9,17.5,0.392,0.7,1.4,0.5,6.2,16.1,0.38299999999999995,1.0,1.4,0.75,3.8,3.8,7.6,2.7,3.1,1.0,2.1,4.8,15.5,,96,104
Greg Kite,24,13,0,78,4.4,6.3,0.7,0.0,0.0,,4.4,6.3,0.7,2.5,4.4,0.5710000000000001,3.1,8.8,11.9,1.9,1.3,2.5,1.9,12.5,11.3,,124,102
Rick Carlisle,26,10,0,54,7.2,13.6,0.5329999999999999,0.0,0.0,,7.2,13.6,0.5329999999999999,2.7,3.6,0.75,2.7,1.8,4.5,7.2,1.8,0.0,2.7,8.1,17.2,,116,109
David Thirdkill,25,13,0,47,6.2,18.7,0.33299999999999996,0.0,1.0,0.0,6.2,17.6,0.353,5.2,11.4,0.455,1.0,7.3,8.3,3.1,2.1,0.0,3.1,5.2,17.6,,79,104
Sam Vincent,22,9,0,41,9.5,33.3,0.28600000000000003,0.0,1.2,0.0,9.5,32.1,0.29600000000000004,7.1,7.1,1.0,1.2,7.1,8.3,5.9,2.4,0.0,4.8,10.7,26.2,,80,104
