PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Kelly Tripucka,26,4,4,175,9.0,19.3,0.465,0.0,0.0,,9.0,19.3,0.465,5.7,6.2,0.9129999999999999,2.7,3.5,6.2,2.4,0.8,0.5,4.3,3.8,23.6,,103.0,117
Bill Laimbeer,28,4,4,168,9.6,19.2,0.5,0.3,0.3,1.0,9.3,18.9,0.493,5.9,6.5,0.9129999999999999,5.7,10.2,15.8,0.3,0.6,0.8,2.3,5.4,25.4,,121.0,113
Isiah Thomas,24,4,4,163,11.9,26.5,0.451,0.0,1.5,0.0,11.9,25.1,0.47700000000000004,7.0,10.5,0.667,2.3,4.1,6.4,14.0,2.6,0.9,5.0,5.0,30.9,,108.0,113
Joe Dumars,22,4,4,147,8.1,13.2,0.61,0.0,0.0,,8.1,13.2,0.61,3.2,4.8,0.667,1.9,2.3,4.2,8.1,1.3,0.0,2.3,5.2,19.4,,127.0,117
Earl Cureton,28,4,4,126,6.4,11.7,0.5479999999999999,0.0,0.4,0.0,6.4,11.3,0.5670000000000001,0.8,3.0,0.25,4.5,6.8,11.3,3.4,1.1,0.0,1.9,5.3,13.6,,110.0,115
Vinnie Johnson,29,4,0,85,12.3,27.4,0.449,0.0,0.6,0.0,12.3,26.8,0.45799999999999996,3.9,7.3,0.5379999999999999,4.5,5.0,9.5,6.1,1.7,0.0,2.8,5.0,28.5,,104.0,115
Rick Mahorn,27,4,0,61,3.9,10.1,0.385,0.0,0.0,,3.9,10.1,0.385,1.6,1.6,1.0,2.3,7.0,9.3,0.0,0.8,0.0,2.3,10.9,9.3,,85.0,115
Kent Benson,31,4,0,55,3.5,8.6,0.4,0.0,0.0,,3.5,8.6,0.4,0.0,0.0,,2.6,8.6,11.2,0.0,0.0,1.7,0.9,9.5,6.9,,92.0,114
Tony Campbell,23,2,0,16,11.9,29.7,0.4,0.0,0.0,,11.9,29.7,0.4,3.0,5.9,0.5,0.0,5.9,5.9,0.0,0.0,0.0,3.0,14.8,26.7,,83.0,117
John Long,29,1,0,13,7.3,18.3,0.4,0.0,0.0,,7.3,18.3,0.4,11.0,11.0,1.0,0.0,3.7,3.7,0.0,3.7,0.0,7.3,3.7,25.6,,90.0,112
Chuck Nevitt,26,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,121
