PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Mike Woodson,27,3,3,110,10.2,22.7,0.449,0.0,0.9,0.0,10.2,21.8,0.46799999999999997,5.6,5.6,1.0,3.2,1.9,5.1,2.3,1.9,0.9,5.1,6.0,26.0,,102,119
Reggie Theus,28,3,3,102,9.0,23.0,0.391,0.0,0.5,0.0,9.0,22.5,0.4,4.5,6.0,0.75,1.5,2.5,4.0,9.5,1.5,1.0,7.0,4.5,22.5,,89,119
LaSalle Thompson,24,3,3,99,5.7,16.5,0.344,0.0,0.0,,5.7,16.5,0.344,3.6,6.2,0.583,7.2,10.8,18.0,1.0,1.0,3.1,2.1,4.1,14.9,,96,113
Eddie Johnson,26,3,1,96,12.7,29.2,0.436,0.0,1.6,0.0,12.7,27.6,0.462,4.2,4.8,0.889,5.3,5.8,11.2,2.1,1.6,0.5,3.2,3.7,29.7,,107,117
Mark Olberding,29,3,3,74,2.1,6.2,0.33299999999999996,0.0,0.0,,2.1,6.2,0.33299999999999996,6.2,8.3,0.75,2.8,6.2,9.0,2.1,1.4,0.7,4.8,6.2,10.3,,86,117
Larry Drew,27,3,0,56,12.7,22.8,0.56,0.9,2.7,0.33299999999999996,11.8,20.0,0.591,1.8,1.8,1.0,0.0,0.9,0.9,12.7,4.6,0.0,0.0,1.8,28.2,,149,115
Terry Tyler,29,3,2,51,2.0,10.0,0.2,0.0,0.0,,2.0,10.0,0.2,4.0,4.0,1.0,3.0,5.0,8.0,4.0,2.0,3.0,1.0,5.0,8.0,,100,115
Joe Kleine,24,3,0,45,5.7,14.7,0.385,0.0,0.0,,5.7,14.7,0.385,5.7,6.8,0.833,9.1,6.8,15.9,1.1,1.1,1.1,2.3,9.1,17.0,,113,117
Rich Kelley,32,3,0,35,4.4,13.1,0.33299999999999996,0.0,0.0,,4.4,13.1,0.33299999999999996,7.3,8.7,0.833,8.7,8.7,17.5,5.8,2.9,0.0,2.9,7.3,16.0,,114,113
Otis Thorpe,23,3,0,35,4.4,18.9,0.231,0.0,0.0,,4.4,18.9,0.231,8.7,18.9,0.462,11.7,5.8,17.5,0.0,0.0,1.5,1.5,5.8,17.5,,89,120
Mike Bratz,30,3,0,15,10.2,20.4,0.5,0.0,0.0,,10.2,20.4,0.5,3.4,3.4,1.0,6.8,6.8,13.6,3.4,0.0,0.0,6.8,0.0,23.8,,98,121
Carl Henry,25,1,0,2,25.5,25.5,1.0,25.5,25.5,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,,300,125
