Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1998,31,2205,TOT,Total After Trade,Kevin Ollie,"December 27, 1972",25.0,NBA,PG,35.0,0.0,430.0,4.7,12.4,0.38,0.0,0.1,0.0,4.7,12.2,0.38,6.2,8.8,0.7,1.1,3.8,4.9,8.2,1.6,0.0,5.5,3.9,15.5,,90.0,109.0
1998,7,2205,DAL,Dallas Mavericks,Kevin Ollie,"December 27, 1972",25.0,NBA,PG,16.0,0.0,214.0,3.5,10.5,0.33,0.0,0.0,,3.5,10.5,0.33,4.5,6.2,0.72,1.5,3.7,5.2,8.0,1.5,0.0,4.0,4.0,11.5,,90.0,111.0
1998,22,2205,ORL,Orlando Magic,Kevin Ollie,"December 27, 1972",25.0,NBA,PG,19.0,0.0,216.0,5.9,14.3,0.41,0.0,0.3,0.0,5.9,14.0,0.42,7.9,11.5,0.69,0.8,3.8,4.6,8.4,1.8,0.0,7.1,3.8,19.6,,90.0,107.0
1999,31,2205,TOT,Total After Trade,Kevin Ollie,"December 27, 1972",26.0,NBA,PG,8.0,0.0,72.0,2.8,9.8,0.29,0.0,0.0,,2.8,9.8,0.29,3.5,4.9,0.71,0.0,4.9,4.9,2.1,2.1,0.7,2.1,6.3,9.1,,78.0,104.0
1999,26,2205,SAC,Sacramento Kings,Kevin Ollie,"December 27, 1972",26.0,NBA,PG,7.0,0.0,68.0,2.9,9.6,0.31,0.0,0.0,,2.9,9.6,0.31,2.9,3.7,0.8,0.0,4.4,4.4,2.2,2.2,0.7,2.2,5.9,8.8,,79.0,104.0
1999,22,2205,ORL,Orlando Magic,Kevin Ollie,"December 27, 1972",26.0,NBA,PG,1.0,0.0,4.0,0.0,13.5,0.0,0.0,0.0,,0.0,13.5,0.0,13.5,27.0,0.5,0.0,13.5,13.5,0.0,0.0,0.0,0.0,13.5,13.5,,66.0,97.0
2000,23,2205,PHI,Philadelphia 76Ers,Kevin Ollie,"December 27, 1972",27.0,NBA,PG,40.0,0.0,290.0,3.9,8.8,0.45,0.0,0.0,,3.9,8.8,0.45,5.0,6.6,0.76,0.7,4.8,5.5,8.2,1.8,0.0,1.8,4.8,12.9,,120.0,103.0
2001,31,2205,TOT,Total After Trade,Kevin Ollie,"December 27, 1972",28.0,NBA,PG,70.0,4.0,925.0,4.3,11.0,0.4,0.1,0.2,0.33,4.3,10.8,0.4,3.6,5.1,0.71,0.9,4.5,5.4,8.3,1.7,0.1,2.8,4.8,12.3,,100.0,103.0
2001,3,2205,NJN,New Jersey Nets,Kevin Ollie,"December 27, 1972",28.0,NBA,PG,19.0,0.0,161.0,1.6,8.8,0.18,0.0,0.0,,1.6,8.8,0.18,3.9,6.2,0.63,1.0,6.5,7.5,8.1,1.6,0.0,2.9,4.5,7.1,,78.0,107.0
2001,23,2205,PHI,Philadelphia 76Ers,Kevin Ollie,"December 27, 1972",28.0,NBA,PG,51.0,4.0,764.0,4.9,11.4,0.43,0.1,0.2,0.33,4.9,11.2,0.43,3.5,4.9,0.73,0.9,4.1,5.0,8.4,1.7,0.1,2.8,4.9,13.5,,105.0,102.0
