PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Mark Jackson,27,5,188,16.9,0.516,0.031,0.344,4.3,13.7,8.6,32.1,2.2,0.4,15.0,19.8,,0.2,0.3,0.5,0.122,,1.9,1.5,3.4,0.3
Ron Harper,29,5,174,19.3,0.526,0.128,0.218,2.3,11.3,6.4,16.2,4.4,4.2,11.4,23.8,,0.1,0.4,0.5,0.129,,3.6,5.0,8.6,0.5
Danny Manning,26,5,171,14.1,0.47200000000000003,0.024,0.306,7.1,17.3,11.7,8.1,2.1,2.1,11.9,27.4,,-0.1,0.3,0.2,0.051,,-0.5,0.3,-0.2,0.1
Ken Norman,28,5,164,13.5,0.41700000000000004,0.11900000000000001,0.32799999999999996,8.7,20.3,13.9,11.7,1.2,0.0,1.3,20.3,,0.1,0.2,0.3,0.083,,1.1,-0.9,0.2,0.1
Stanley Roberts,22,5,149,10.3,0.49200000000000005,0.02,0.36,11.6,19.8,15.3,1.1,1.0,1.5,14.7,19.5,,-0.1,0.2,0.1,0.031,,-4.1,-1.4,-5.5,-0.1
Gary Grant,27,5,101,4.6,0.32899999999999996,0.0,0.065,1.0,1.2,1.1,33.5,1.5,0.0,18.0,16.5,,-0.2,0.1,-0.1,-0.055999999999999994,,-5.8,-2.0,-7.8,-0.1
John Williams,26,5,98,1.9,0.29100000000000004,0.16699999999999998,0.111,5.2,11.3,8.0,9.7,2.6,0.0,24.1,10.9,,-0.2,0.1,-0.1,-0.035,,-7.6,0.7,-6.9,-0.1
Lester Conner,33,5,64,20.2,0.815,0.083,0.16699999999999998,4.8,7.7,6.1,24.5,2.4,1.1,0.0,8.6,,0.3,0.1,0.4,0.275,,4.3,5.3,9.6,0.2
Loy Vaught,24,3,50,12.8,0.465,0.0,0.33299999999999996,8.1,34.5,20.0,0.0,4.1,1.5,14.9,17.3,,0.0,0.1,0.1,0.091,,-3.2,0.8,-2.4,0.0
Jaren Jackson,25,4,28,6.7,0.385,0.077,0.0,14.5,4.4,9.9,11.9,3.6,0.0,18.8,24.5,,-0.1,0.0,0.0,-0.07200000000000001,,-5.8,0.0,-5.8,0.0
Kiki Vandeweghe,34,1,9,5.7,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,20.0,5.7,0.0,14.3,33.3,,-0.1,0.0,0.0,-0.2,,-4.9,-0.5,-5.4,0.0
Elmore Spencer,23,2,4,-11.9,0.0,0.0,0.0,25.4,0.0,13.9,0.0,0.0,0.0,0.0,21.4,,0.0,0.0,0.0,-0.364,,-16.1,-9.9,-25.9,0.0
