Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,5,2149,CHI,Charlotte Bobcats,25.0,NBA,SF,6.0,6.0,202.0,4.8,11.9,0.4,1.1,3.0,0.35,3.7,8.9,0.42,3.0,4.1,0.74,1.4,7.3,8.7,2.5,0.2,1.1,2.0,3.6,13.7
2006,5,2149,CHI,Charlotte Bobcats,26.0,NBA,PF,6.0,6.0,230.0,7.4,13.1,0.56,1.6,3.3,0.48,5.8,9.9,0.59,4.7,5.5,0.86,0.8,7.5,8.3,1.4,0.8,0.3,2.2,3.3,21.0
2007,5,2149,CHI,Charlotte Bobcats,27.0,NBA,PF,10.0,0.0,197.0,5.7,15.7,0.36,2.4,7.1,0.33,3.3,8.6,0.38,2.4,3.3,0.72,0.5,5.8,6.4,1.5,0.4,0.9,2.4,4.6,16.1
2011,23,2149,PHI,Philadelphia 76Ers,31.0,NBA,SF,1.0,0.0,10.0,0.0,10.8,0.0,0.0,7.2,0.0,0.0,3.6,0.0,0.0,0.0,,0.0,7.2,7.2,0.0,0.0,0.0,3.6,3.6,0.0
