Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2004,21.0,LAC,NBA,C,82.0,61.0,1843.0,5.7,12.5,0.46,0.0,0.1,0.0,5.7,12.4,0.462,2.8,4.1,0.697,3.6,9.6,13.2,2.4,0.7,2.1,4.4,6.0,14.3,,90.0,107.0
2005,22.0,LAC,NBA,C,63.0,50.0,1632.0,8.1,16.3,0.497,0.0,0.0,0.0,8.1,16.3,0.498,2.6,4.0,0.661,4.5,9.5,14.0,2.4,0.9,2.2,3.8,6.0,18.9,,98.0,105.0
2006,23.0,LAC,NBA,C,78.0,78.0,2560.0,7.5,14.4,0.523,0.0,0.0,0.0,7.5,14.4,0.524,4.0,5.2,0.77,3.8,11.5,15.3,1.6,0.9,2.2,3.6,5.5,19.0,,104.0,101.0
2007,24.0,LAC,NBA,C,75.0,66.0,2176.0,7.1,15.8,0.451,0.0,0.0,0.0,7.1,15.8,0.452,4.0,5.4,0.741,3.9,10.4,14.3,1.9,1.0,2.8,3.6,6.1,18.3,,97.0,103.0
2008,25.0,LAC,NBA,C,56.0,55.0,2083.0,8.5,17.5,0.483,0.0,0.1,0.0,8.5,17.4,0.486,5.1,6.6,0.762,4.3,13.5,17.8,2.7,0.8,3.9,4.1,4.5,22.0,,100.0,103.0
2009,26.0,LAC,NBA,C,31.0,24.0,921.0,9.1,17.3,0.528,0.0,0.0,,9.1,17.3,0.528,2.9,4.2,0.68,4.2,9.7,14.0,2.6,1.0,2.5,4.8,5.3,21.1,,97.0,109.0
2010,27.0,LAC,NBA,C,76.0,76.0,2608.0,11.7,23.9,0.49,0.0,0.1,0.0,11.7,23.8,0.492,4.6,6.1,0.749,3.7,10.3,14.0,2.4,0.7,1.9,4.4,4.2,28.0,,99.0,109.0
2011,28.0,LAC,NBA,C,32.0,15.0,838.0,10.9,23.2,0.471,0.0,0.0,,10.9,23.2,0.471,2.7,3.5,0.754,3.1,10.7,13.9,2.8,1.0,3.0,3.6,4.6,24.5,,97.0,105.0
2012,29.0,NOH,NBA,C,47.0,33.0,1372.0,10.5,23.7,0.446,0.0,0.0,,10.5,23.7,0.446,3.3,4.2,0.785,3.5,10.9,14.4,4.0,1.0,3.1,5.1,4.2,24.4,,91.0,102.0
2013,30.0,DAL,NBA,C,66.0,52.0,1363.0,11.7,23.1,0.507,0.0,0.0,0.0,11.7,23.1,0.508,2.5,3.2,0.788,3.6,10.3,13.9,1.9,1.1,1.9,3.9,5.3,25.9,,98.0,105.0
2014,31.0,LAL,NBA,C,39.0,13.0,736.0,11.6,22.9,0.509,0.0,0.2,0.0,11.6,22.7,0.513,3.4,4.5,0.765,3.6,11.6,15.1,3.8,0.7,2.6,4.9,6.1,26.7,,97.0,107.0
2015,32.0,POR,NBA,C,74.0,13.0,1398.0,10.3,20.0,0.515,0.0,0.0,,10.3,20.0,0.515,2.6,3.7,0.706,5.4,12.2,17.6,2.4,0.7,2.0,3.9,5.1,23.3,,103.0,101.0
2016,33.0,POR,NBA,C,16.0,2.0,112.0,8.9,19.2,0.465,0.4,1.8,0.25,8.5,17.4,0.487,1.3,1.3,1.0,3.1,7.6,10.7,4.9,0.4,0.4,3.6,6.7,19.6,,100.0,110.0
