Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1990,18,3081,MIN,Minnesota Timberwolves,Doug West,1967-05-27,22.0,NBA,SG,52.0,378.0,7.5,0.45,0.08,0.24,7.2,15.6,11.1,7.5,1.4,1.1,17.2,21.0,-0.5,0.4,-0.1,-0.02,-5.8,-1.2,-7.0,-0.5
1991,18,3081,MIN,Minnesota Timberwolves,Doug West,1967-05-27,23.0,NBA,SG,75.0,824.0,12.6,0.52,0.0,0.34,7.4,12.1,9.6,8.6,2.2,1.8,12.7,16.9,0.6,0.6,1.2,0.07,-2.1,0.2,-1.9,0.0
1992,18,3081,MIN,Minnesota Timberwolves,Doug West,1967-05-27,24.0,NBA,SG,80.0,2540.0,14.6,0.56,0.03,0.26,4.5,6.7,5.6,16.6,1.3,0.6,10.8,18.7,4.2,0.3,4.6,0.09,0.3,-1.2,-0.9,0.7
1993,18,3081,MIN,Minnesota Timberwolves,Doug West,1967-05-27,25.0,NBA,SG,80.0,3104.0,14.2,0.56,0.02,0.24,3.5,6.1,4.8,13.6,1.4,0.4,10.7,22.1,3.8,0.4,4.3,0.07,-0.4,-1.8,-2.2,-0.1
1994,18,3081,MIN,Minnesota Timberwolves,Doug West,1967-05-27,26.0,NBA,SG,72.0,2182.0,13.3,0.53,0.01,0.26,3.4,8.9,6.2,14.1,1.5,0.7,12.1,22.6,1.6,0.9,2.6,0.06,-1.3,-1.2,-2.6,-0.3
1995,18,3081,MIN,Minnesota Timberwolves,Doug West,1967-05-27,27.0,NBA,SG,71.0,2328.0,11.6,0.53,0.08,0.32,3.2,8.7,6.0,14.3,1.5,0.8,12.6,19.6,1.2,0.6,1.8,0.04,-2.2,-1.2,-3.4,-0.8
1996,18,3081,MIN,Minnesota Timberwolves,Doug West,1967-05-27,28.0,NBA,SG,73.0,1639.0,7.6,0.51,0.03,0.37,3.5,8.2,5.9,11.3,0.9,0.8,15.1,14.5,0.3,0.5,0.8,0.02,-4.1,-0.9,-5.1,-1.3
1997,18,3081,MIN,Minnesota Timberwolves,Doug West,1967-05-27,29.0,NBA,SG,68.0,1920.0,8.5,0.5,0.09,0.19,2.3,6.8,4.6,9.4,1.7,0.9,11.2,14.1,0.5,1.2,1.7,0.04,-3.9,0.3,-3.6,-0.8
1998,18,3081,MIN,Minnesota Timberwolves,Doug West,1967-05-27,30.0,NBA,SG,38.0,688.0,5.6,0.42,0.01,0.23,3.8,9.6,6.8,9.4,0.8,0.5,10.0,13.5,-0.2,0.2,0.1,0.0,-5.0,-1.1,-6.0,-0.7
1999,15,3081,VAN,Vancouver Grizzlies,Doug West,1967-05-27,31.0,NBA,SG,14.0,294.0,11.5,0.53,0.03,0.38,2.0,8.2,5.0,11.4,2.9,1.8,13.6,13.7,0.3,0.1,0.4,0.07,-3.0,1.5,-1.5,0.0
2000,15,3081,VAN,Vancouver Grizzlies,Doug West,1967-05-27,32.0,NBA,SG,38.0,581.0,8.6,0.47,0.02,0.28,3.7,11.0,7.3,11.8,1.1,1.0,10.5,14.2,0.3,0.1,0.5,0.04,-3.6,-0.6,-4.2,-0.3
2001,15,3081,VAN,Vancouver Grizzlies,Doug West,1967-05-27,33.0,NBA,SG,15.0,171.0,4.2,0.34,0.05,0.18,2.7,7.3,5.0,12.4,0.9,1.6,8.9,12.0,-0.1,0.0,-0.1,-0.03,-5.1,0.2,-4.8,-0.1
