Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2007,25,POR,Portland Trail Blazers,12,LaMarcus Aldridge,C,6-11,250,1985-07-19,US,R,Texas
2007,25,POR,Portland Trail Blazers,2,Dan Dickau,PG,6-0,190,1978-09-16,US,4,"Washington, Gonzaga"
2007,25,POR,Portland Trail Blazers,3,Juan Dixon,SG,6-3,164,1978-10-09,US,4,Maryland
2007,25,POR,Portland Trail Blazers,24,Stephen Graham,SG,6-6,215,1982-06-11,US,1,"Central Florida, Oklahoma State"
2007,25,POR,Portland Trail Blazers,1,Jarrett Jack,PG,6-3,200,1983-10-28,US,1,Georgia Tech
2007,25,POR,Portland Trail Blazers,0,Fred Jones,SG,6-4,210,1979-03-11,US,4,Oregon
2007,25,POR,Portland Trail Blazers,9,Raef LaFrentz,PF,6-11,240,1976-05-29,US,8,Kansas
2007,25,POR,Portland Trail Blazers,21,Jamaal Magloire,C,6-11,259,1978-05-21,CA,6,Kentucky
2007,25,POR,Portland Trail Blazers,25,Travis Outlaw,PF,6-9,210,1984-09-18,US,3,
2007,25,POR,Portland Trail Blazers,10,Joel Przybilla,C,7-1,255,1979-10-10,US,6,Minnesota
2007,25,POR,Portland Trail Blazers,50,Zach Randolph,PF,6-9,250,1981-07-16,US,5,Michigan State
2007,25,POR,Portland Trail Blazers,3,Jeremy Richardson,SF,6-6,185,1984-02-11,US,R,Delta State University
2007,25,POR,Portland Trail Blazers,11,Sergio Rodriguez,PG,6-3,176,1986-06-12,ES,R,
2007,25,POR,Portland Trail Blazers,7,Brandon Roy,SG,6-6,215,1984-07-23,US,R,Washington
2007,25,POR,Portland Trail Blazers,24,Luke Schenscher,C,7-1,255,1982-12-31,AU,1,Georgia Tech
2007,25,POR,Portland Trail Blazers,5,Ime Udoka,SF,6-6,215,1977-08-09,US,2,"San Francisco, Portland State"
2007,25,POR,Portland Trail Blazers,8,Martell Webster,SF,6-7,230,1986-12-04,US,1,
