PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tom Chambers,25.0,81,60.0,2923,629,1302,0.483,6,22,0.273,623,1280,0.48700000000000004,0.485,475,571,0.8320000000000001,164,415,579,209,70,57,260,312,1739
Gerald Henderson,29.0,79,78.0,2648,427,891,0.479,9,38,0.237,418,853,0.49,0.484,199,255,0.78,71,119,190,559,140,9,231,196,1062
Al Wood,26.0,80,79.0,2545,515,1061,0.485,7,33,0.212,508,1028,0.494,0.489,166,214,0.7759999999999999,99,180,279,236,84,52,120,187,1203
Jack Sikma,29.0,68,68.0,2402,461,943,0.489,2,10,0.2,459,933,0.49200000000000005,0.49,335,393,0.852,164,559,723,285,83,91,160,239,1259
Danny Vranes,26.0,76,70.0,2163,186,402,0.46299999999999997,1,4,0.25,185,398,0.465,0.46399999999999997,67,127,0.528,154,282,436,152,76,57,119,256,440
Tim McCormick,22.0,78,27.0,1584,269,483,0.557,0,1,0.0,269,482,0.5579999999999999,0.557,188,263,0.715,146,252,398,78,18,33,114,207,726
Ricky Sobers,32.0,71,12.0,1490,280,628,0.446,8,28,0.28600000000000003,272,600,0.45299999999999996,0.452,132,162,0.815,27,76,103,252,49,9,158,156,700
Jon Sundvold,23.0,73,1.0,1150,170,400,0.425,12,38,0.316,158,362,0.436,0.44,48,59,0.8140000000000001,17,53,70,206,36,1,85,87,400
Frank Brickowski,25.0,78,9.0,1115,150,305,0.49200000000000005,0,4,0.0,150,301,0.498,0.49200000000000005,85,127,0.669,76,184,260,100,34,15,100,171,385
Reggie King,27.0,60,5.0,860,63,149,0.423,0,0,,63,149,0.423,0.423,41,59,0.695,44,78,122,53,28,11,42,74,167
Cory Blackwell,21.0,60,0.0,551,87,237,0.36700000000000005,0,2,0.0,87,235,0.37,0.36700000000000005,28,55,0.509,42,54,96,26,25,3,44,55,202
John Schweitz,24.0,19,0.0,110,25,74,0.33799999999999997,0,4,0.0,25,70,0.35700000000000004,0.33799999999999997,7,10,0.7,6,15,21,18,0,1,14,12,57
Scooter McCray,24.0,6,0.0,93,6,10,0.6,0,0,,6,10,0.6,0.6,3,4,0.75,6,11,17,7,1,3,10,13,15
Joe Cooper,27.0,3,1.0,45,7,15,0.467,0,0,,7,15,0.467,0.467,3,6,0.5,3,6,9,2,2,1,0,7,17
Danny Young,22.0,3,0.0,26,2,10,0.2,0,1,0.0,2,9,0.222,0.2,0,0,,0,3,3,2,3,0,2,2,4
Team Totals,,82,,19705,3277,6910,0.474,45,185,0.243,3232,6725,0.48100000000000004,0.47700000000000004,1777,2305,0.7709999999999999,1019,2287,3306,2185,649,343,1493,1974,8376
