PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ty Lawson,24,61,61,2124,6.3,13.0,0.488,1.2,3.4,0.365,5.1,9.6,0.531,3.0,3.7,0.8240000000000001,0.9,2.9,3.8,6.8,1.4,0.1,2.5,1.6,16.9
Arron Afflalo,26,62,62,2086,5.7,12.1,0.47100000000000003,1.5,3.8,0.39799999999999996,4.2,8.2,0.504,3.4,4.3,0.7979999999999999,0.7,2.7,3.4,2.6,0.6,0.2,1.5,2.3,16.3
Andre Miller,35,66,7,1809,4.8,11.0,0.43799999999999994,0.4,1.7,0.217,4.5,9.3,0.478,2.7,3.4,0.8109999999999999,1.1,3.3,4.4,8.8,1.3,0.2,3.5,2.6,12.7
Al Harrington,31,64,1,1761,7.1,15.8,0.446,2.1,6.2,0.33299999999999996,5.0,9.6,0.519,2.4,3.6,0.6759999999999999,1.5,6.5,8.0,1.8,1.2,0.2,2.3,3.7,18.6
Danilo Gallinari,23,43,40,1351,5.1,12.4,0.414,1.6,4.9,0.32799999999999996,3.5,7.5,0.47,4.8,5.6,0.871,0.7,4.6,5.4,3.1,1.1,0.6,1.8,2.3,16.7
Corey Brewer,25,59,17,1287,5.6,13.0,0.434,0.9,3.6,0.26,4.7,9.4,0.5,2.5,3.6,0.6920000000000001,1.2,3.0,4.2,2.5,2.0,0.5,1.6,3.2,14.7
Kenneth Faried,22,46,39,1037,6.3,10.7,0.586,0.0,0.0,,6.3,10.7,0.586,3.8,5.7,0.665,4.9,7.3,12.2,1.2,1.2,1.6,1.9,4.0,16.4
Andre Miller,29,28,27,826,6.2,12.2,0.509,0.0,0.1,0.0,6.2,12.2,0.513,3.9,5.8,0.677,1.9,7.2,9.1,2.7,1.6,1.1,3.4,3.0,16.4
Kosta Koufos,22,48,24,792,5.2,8.7,0.599,0.0,0.0,,5.2,8.7,0.599,1.5,2.5,0.6,4.3,7.4,11.7,0.7,1.1,1.9,1.5,4.4,12.0
Rudy Fernández,26,31,1,710,5.0,11.4,0.44,2.0,6.2,0.32799999999999996,3.0,5.2,0.573,1.5,2.2,0.698,0.5,2.8,3.3,3.8,1.6,0.2,2.0,1.9,13.6
Timofey Mozgov,25,44,35,687,5.2,10.0,0.526,0.0,0.0,,5.2,10.0,0.526,2.0,3.0,0.684,2.8,6.6,9.4,1.2,0.8,2.2,2.8,4.5,12.5
Chris Andersen,33,32,1,486,4.4,8.0,0.546,0.0,0.0,,4.4,8.0,0.546,3.7,6.1,0.61,3.6,7.4,11.0,0.4,1.4,3.4,1.3,3.9,12.4
JaVale McGee,24,20,5,411,8.1,13.3,0.612,0.0,0.0,,8.1,13.3,0.612,1.7,4.5,0.373,3.2,6.9,10.1,0.5,0.9,2.7,1.7,4.2,18.0
Jordan Hamilton,21,26,2,258,6.7,15.5,0.43200000000000005,2.4,6.6,0.36200000000000004,4.3,8.9,0.484,0.3,0.7,0.4,1.5,7.1,8.7,2.8,0.6,0.4,2.2,2.1,16.0
Wilson Chandler,24,8,6,215,5.2,13.2,0.392,0.5,2.0,0.25,4.7,11.2,0.418,1.7,2.0,0.833,1.0,5.9,6.9,2.8,1.0,1.0,3.0,3.0,12.6
Julyan Stone,23,22,2,179,2.6,6.2,0.419,0.4,2.2,0.182,2.2,4.0,0.55,1.6,2.2,0.727,1.0,4.0,5.0,7.4,1.6,1.2,2.2,3.6,7.2
DeMarre Carroll,25,4,0,21,10.3,10.3,1.0,0.0,0.0,,10.3,10.3,1.0,0.0,0.0,,0.0,5.1,5.1,5.1,0.0,0.0,3.4,1.7,20.6
