Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1980,10.0,2243,GSW,Golden State Warriors,26.0,NBA,C,72.0,,2119.0,510.0,1006.0,0.51,0.0,1.0,0.0,510.0,1005.0,0.51,0.51,203.0,284.0,0.72,247.0,536.0,783.0,122.0,58.0,115.0,225.0,248.0,1223.0,,0.0
1981,2.0,2243,BOS,Boston Celtics,27.0,NBA,C,82.0,78.0,2298.0,635.0,1166.0,0.55,0.0,1.0,0.0,635.0,1165.0,0.55,0.55,282.0,397.0,0.71,245.0,532.0,777.0,144.0,81.0,214.0,191.0,310.0,1552.0,,0.0
1982,2.0,2243,BOS,Boston Celtics,28.0,NBA,C,80.0,78.0,2534.0,669.0,1235.0,0.54,0.0,0.0,,669.0,1235.0,0.54,0.54,252.0,355.0,0.71,288.0,578.0,866.0,140.0,68.0,192.0,221.0,267.0,1590.0,,0.0
1983,2.0,2243,BOS,Boston Celtics,29.0,NBA,C,78.0,76.0,2459.0,619.0,1125.0,0.55,0.0,1.0,0.0,619.0,1124.0,0.55,0.55,271.0,388.0,0.7,260.0,567.0,827.0,141.0,79.0,148.0,185.0,222.0,1509.0,,0.0
1984,2.0,2243,BOS,Boston Celtics,30.0,NBA,C,80.0,79.0,2867.0,623.0,1140.0,0.55,0.0,0.0,,623.0,1140.0,0.55,0.55,274.0,368.0,0.74,243.0,614.0,857.0,139.0,55.0,116.0,184.0,266.0,1520.0,,0.0
1985,2.0,2243,BOS,Boston Celtics,31.0,NBA,C,79.0,78.0,2850.0,551.0,1016.0,0.54,0.0,0.0,,551.0,1016.0,0.54,0.54,292.0,393.0,0.74,263.0,577.0,840.0,125.0,56.0,101.0,186.0,223.0,1394.0,,0.0
1986,2.0,2243,BOS,Boston Celtics,32.0,NBA,C,81.0,80.0,2567.0,530.0,966.0,0.55,0.0,0.0,,530.0,966.0,0.55,0.55,245.0,335.0,0.73,246.0,524.0,770.0,145.0,65.0,116.0,187.0,215.0,1305.0,,0.0
1987,2.0,2243,BOS,Boston Celtics,33.0,NBA,C,80.0,80.0,2995.0,588.0,1057.0,0.56,0.0,1.0,0.0,588.0,1056.0,0.56,0.56,227.0,309.0,0.74,254.0,597.0,851.0,173.0,64.0,144.0,191.0,266.0,1403.0,,1.0
1988,2.0,2243,BOS,Boston Celtics,34.0,NBA,C,74.0,73.0,2312.0,442.0,750.0,0.59,0.0,1.0,0.0,442.0,749.0,0.59,0.59,177.0,241.0,0.73,173.0,455.0,628.0,115.0,55.0,84.0,154.0,198.0,1061.0,,0.0
1989,2.0,2243,BOS,Boston Celtics,35.0,NBA,C,80.0,80.0,2840.0,596.0,1045.0,0.57,0.0,0.0,,596.0,1045.0,0.57,0.57,294.0,409.0,0.72,342.0,654.0,996.0,175.0,79.0,116.0,200.0,209.0,1486.0,,0.0
1990,2.0,2243,BOS,Boston Celtics,36.0,NBA,C,79.0,78.0,2396.0,505.0,871.0,0.58,0.0,0.0,,505.0,871.0,0.58,0.58,233.0,312.0,0.75,259.0,537.0,796.0,103.0,38.0,69.0,169.0,189.0,1243.0,,0.0
1991,2.0,2243,BOS,Boston Celtics,37.0,NBA,C,81.0,81.0,2441.0,485.0,811.0,0.6,0.0,1.0,0.0,485.0,810.0,0.6,0.6,237.0,309.0,0.77,271.0,585.0,856.0,66.0,66.0,103.0,153.0,197.0,1207.0,,0.0
1992,2.0,2243,BOS,Boston Celtics,38.0,NBA,C,79.0,79.0,2285.0,468.0,874.0,0.54,0.0,0.0,,468.0,874.0,0.54,0.54,179.0,232.0,0.77,219.0,486.0,705.0,70.0,68.0,97.0,131.0,172.0,1115.0,,0.0
1993,2.0,2243,BOS,Boston Celtics,39.0,NBA,C,79.0,79.0,2146.0,416.0,777.0,0.54,0.0,0.0,,416.0,777.0,0.54,0.54,162.0,235.0,0.69,246.0,494.0,740.0,61.0,57.0,107.0,120.0,201.0,994.0,,0.0
1994,2.0,2243,BOS,Boston Celtics,40.0,NBA,C,74.0,74.0,1987.0,356.0,725.0,0.49,0.0,0.0,,356.0,725.0,0.49,0.49,154.0,208.0,0.74,141.0,401.0,542.0,82.0,42.0,96.0,108.0,190.0,866.0,,0.0
1995,,2243,CHH,None,41.0,NBA,C,81.0,4.0,1352.0,159.0,372.0,0.43,0.0,0.0,,159.0,372.0,0.43,0.43,71.0,101.0,0.7,93.0,257.0,350.0,44.0,27.0,36.0,66.0,132.0,389.0,,0.0
1996,,2243,CHH,None,42.0,NBA,C,74.0,34.0,1086.0,120.0,241.0,0.5,0.0,0.0,,120.0,241.0,0.5,0.5,50.0,71.0,0.7,89.0,214.0,303.0,29.0,21.0,54.0,50.0,80.0,290.0,,0.0
1997,5.0,2243,CHI,Charlotte Bobcats,43.0,NBA,C,43.0,3.0,406.0,70.0,143.0,0.49,0.0,0.0,,70.0,143.0,0.49,0.49,21.0,31.0,0.68,42.0,47.0,89.0,22.0,6.0,19.0,28.0,40.0,161.0,,0.0
