Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,22.0,CHH,NBA,C,74.0,0.0,1095.0,4.0,8.9,0.45,0.0,0.1,0.0,4.0,8.8,0.454,3.1,4.8,0.655,3.4,6.3,9.7,0.9,0.6,2.6,2.0,4.6,11.1
2002,23.0,CHH,NBA,C,82.0,8.0,1549.0,5.3,9.6,0.551,0.0,0.0,0.0,5.3,9.6,0.552,5.6,7.7,0.73,3.6,7.2,10.7,0.7,0.6,2.0,2.7,4.7,16.2
2003,24.0,NOH,NBA,C,82.0,82.0,2443.0,4.5,9.4,0.48,0.0,0.0,0.0,4.5,9.3,0.483,3.4,4.7,0.717,3.8,6.8,10.7,1.3,0.7,1.6,2.3,4.1,12.4
2004,25.0,NOH,NBA,C,82.0,82.0,2777.0,5.0,10.5,0.473,0.0,0.0,0.0,5.0,10.5,0.474,4.6,6.1,0.751,3.5,7.5,11.0,1.1,0.6,1.3,2.6,3.6,14.5
2005,26.0,NOH,NBA,C,23.0,22.0,703.0,5.0,11.6,0.432,0.0,0.0,,5.0,11.6,0.432,3.8,6.3,0.602,4.0,6.5,10.5,1.5,0.4,1.2,3.0,3.8,13.8
2006,27.0,MIL,NBA,C,82.0,82.0,2465.0,4.2,9.0,0.467,0.0,0.0,,4.2,9.0,0.467,2.6,4.9,0.535,3.2,8.1,11.4,0.8,0.4,1.2,2.4,4.0,11.0
2007,28.0,POR,NBA,C,81.0,23.0,1703.0,4.2,8.3,0.504,0.0,0.0,,4.2,8.3,0.504,2.8,5.1,0.541,3.2,7.2,10.4,0.6,0.4,1.4,2.7,4.8,11.2
2008,29.0,TOT,NBA,C,31.0,2.0,286.0,2.3,6.9,0.327,0.0,0.0,,2.3,6.9,0.327,2.5,5.5,0.455,2.4,8.8,11.2,0.9,0.1,1.3,3.8,6.3,7.0
2008,29.0,NJN,NBA,C,24.0,2.0,259.0,2.1,6.8,0.306,0.0,0.0,,2.1,6.8,0.306,1.9,4.3,0.452,2.5,8.8,11.3,1.0,0.0,1.4,3.2,5.8,6.1
2008,29.0,DAL,NBA,C,7.0,0.0,27.0,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,8.0,17.3,0.462,1.3,9.3,10.7,0.0,1.3,0.0,9.3,10.7,16.0
2009,30.0,MIA,NBA,C,55.0,12.0,709.0,3.3,6.7,0.496,0.0,0.0,,3.3,6.7,0.496,1.5,3.0,0.483,4.2,7.1,11.3,1.1,0.6,1.3,1.6,6.1,8.1
2010,31.0,MIA,NBA,C,36.0,0.0,359.0,2.8,5.6,0.5,0.0,0.0,,2.8,5.6,0.5,2.1,5.9,0.356,4.1,8.0,12.1,0.1,0.9,1.1,1.7,5.9,7.7
2011,32.0,MIA,NBA,C,18.0,0.0,158.0,3.0,5.0,0.591,0.0,0.0,,3.0,5.0,0.591,2.1,4.1,0.5,3.9,10.0,13.9,0.7,0.9,0.5,1.1,5.9,8.0
2012,33.0,TOR,NBA,C,34.0,1.0,374.0,1.6,4.3,0.378,0.0,0.0,,1.6,4.3,0.378,0.7,2.6,0.259,2.4,8.5,10.9,0.6,0.4,1.0,2.1,6.4,3.9
