Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015,5,1921,CHI,Chicago Bulls,23.0,NBA,SF,36.0,0.0,321.0,4.8,12.0,0.4,1.5,4.6,0.32,3.4,7.4,0.46,1.1,1.7,0.67,0.7,4.1,4.8,0.7,0.4,0.1,1.9,3.3,12.2
2016,5,1921,CHI,Chicago Bulls,24.0,NBA,SF,81.0,4.0,1861.0,5.6,12.5,0.45,2.1,5.0,0.42,3.5,7.4,0.47,1.4,1.6,0.86,0.7,3.1,3.8,1.1,0.3,0.1,1.0,2.5,14.8
2017,31,1921,TOT,Total After Trade,25.0,NBA,SF,66.0,5.0,1508.0,5.3,11.9,0.45,1.8,5.0,0.37,3.5,6.9,0.5,1.7,2.0,0.84,0.5,3.8,4.3,1.4,0.3,0.1,0.9,1.9,14.1
2017,5,1921,CHI,Chicago Bulls,25.0,NBA,SF,44.0,4.0,1078.0,5.5,12.5,0.44,1.9,5.0,0.37,3.7,7.4,0.49,2.0,2.2,0.88,0.5,3.9,4.3,1.5,0.4,0.1,1.1,1.9,14.9
2017,21,1921,OKC,Oklahoma City Thunder,25.0,NBA,SF,22.0,1.0,430.0,4.7,10.4,0.45,1.8,4.9,0.36,2.9,5.5,0.53,1.0,1.4,0.71,0.5,3.6,4.1,1.1,0.2,0.1,0.5,1.8,12.1
2018,31,1921,TOT,Total After Trade,26.0,NBA,SF,81.0,4.0,1768.0,4.8,10.3,0.47,1.9,4.4,0.43,3.0,5.9,0.5,1.3,1.6,0.79,0.8,3.3,4.1,1.6,0.4,0.3,1.1,2.5,12.8
2018,20,1921,NYK,New York Knicks,26.0,NBA,SF,55.0,1.0,1172.0,4.6,10.1,0.46,1.6,4.2,0.39,3.0,5.9,0.51,1.2,1.6,0.76,1.0,3.1,4.1,1.5,0.3,0.4,1.0,2.2,12.1
2018,7,1921,DAL,Dallas Mavericks,26.0,NBA,SF,26.0,3.0,596.0,5.2,10.9,0.48,2.4,4.8,0.49,2.8,6.1,0.46,1.4,1.7,0.86,0.4,3.6,4.0,1.8,0.5,0.2,1.3,3.0,14.2
2019,12,1921,IND,Indiana Pacers,27.0,NBA,SF,77.0,1.0,1340.0,5.6,11.3,0.49,2.3,5.5,0.41,3.3,5.8,0.57,1.8,2.1,0.84,0.5,2.5,2.9,1.8,0.5,0.2,1.1,2.8,15.2
2020,12,1921,IND,Indiana Pacers,28.0,NBA,PF,69.0,0.0,1372.0,7.0,14.4,0.49,3.4,7.7,0.44,3.6,6.6,0.55,1.3,1.5,0.83,0.7,3.9,4.6,2.0,0.3,0.1,1.1,3.1,18.6
2021,12,1921,IND,Indiana Pacers,29.0,NBA,PF,22.0,5.0,554.0,7.1,13.8,0.51,2.3,6.4,0.36,4.8,7.5,0.64,1.7,2.2,0.76,1.6,4.4,5.9,1.8,0.3,0.1,1.5,2.6,18.1
