Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2015,GSW,Stephen Curry,1,1198.0,1300,0.922,MVP
2015,HOU,James Harden,2,936.0,1300,0.72,MVP
2015,CLE,LeBron James,3,552.0,1300,0.425,MVP
2015,OKC,Russell Westbrook,4,352.0,1300,0.271,MVP
2015,NOP,Anthony Davis,5,203.0,1300,0.156,MVP
2015,LAC,Chris Paul,6,124.0,1300,0.095,MVP
2015,POR,LaMarcus Aldridge,7,6.0,1300,0.005,MVP
2015,MEM,Marc Gasol,8T,3.0,1300,0.002,MVP
2015,LAC,Blake Griffin,8T,3.0,1300,0.002,MVP
2015,SAS,Tim Duncan,10T,1.0,1300,0.001,MVP
2015,SAS,Kawhi Leonard,10T,1.0,1300,0.001,MVP
2015,GSW,Klay Thompson,10T,1.0,1300,0.001,MVP
