Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2007,21.0,TOR,NBA,SF,17.0,83.0,12.8,0.533,0.0,0.636,15.4,17.2,16.3,5.7,1.2,0.0,17.6,19.1,,0.1,0.1,0.1,0.085,,-2.0,-1.0,-3.0,0.0
2013,27.0,PHO,NBA,SG,79.0,1910.0,11.6,0.525,0.158,0.194,7.7,13.3,10.4,8.6,1.7,0.7,12.2,12.8,,1.8,1.2,2.9,0.074,,-1.3,-0.1,-1.5,0.2
2014,28.0,PHO,NBA,SF,81.0,2490.0,13.3,0.54,0.311,0.327,7.3,16.6,11.9,8.1,2.2,0.7,12.7,14.2,,3.3,2.8,6.1,0.117,,0.1,0.9,1.0,1.9
2015,29.0,PHO,NBA,SF,78.0,2383.0,12.5,0.541,0.423,0.24,5.2,18.0,11.5,7.4,2.2,0.7,12.7,13.9,,2.2,2.7,4.9,0.098,,-0.7,1.0,0.4,1.4
2016,30.0,PHO,NBA,SF,82.0,2540.0,10.8,0.506,0.354,0.244,6.9,15.2,10.9,10.2,2.0,0.6,14.7,12.7,,1.5,1.9,3.5,0.066,,-1.5,0.4,-1.2,0.5
2017,31.0,TOT,NBA,SF,81.0,2236.0,10.5,0.516,0.407,0.193,5.6,17.7,11.6,6.0,2.5,0.7,11.2,11.2,,1.4,2.2,3.6,0.078,,-1.5,1.2,-0.3,1.0
2017,31.0,PHO,NBA,SF,57.0,1627.0,10.6,0.517,0.384,0.218,6.1,17.0,11.4,6.1,2.5,0.7,11.8,11.3,,1.0,1.3,2.4,0.069,,-1.5,0.9,-0.6,0.6
2017,31.0,TOR,NBA,SF,24.0,609.0,10.4,0.515,0.469,0.125,4.3,19.6,12.0,5.9,2.6,0.7,9.4,10.9,,0.4,0.9,1.3,0.099,,-1.4,1.9,0.5,0.4
2018,32.0,HOU,NBA,PF,82.0,2281.0,8.3,0.537,0.703,0.136,4.6,17.8,11.3,4.6,1.7,1.0,13.7,10.5,,1.0,3.0,3.9,0.082,,-1.9,0.8,-1.1,0.5
2019,33.0,HOU,NBA,PF,82.0,2802.0,9.2,0.547,0.74,0.113,4.7,14.4,9.5,4.6,2.3,1.2,10.3,9.5,,2.0,3.0,5.0,0.086,,-1.6,1.0,-0.6,1.0
2020,34.0,HOU,NBA,PF,72.0,2467.0,8.3,0.559,0.702,0.113,4.7,15.6,10.1,6.0,1.4,1.2,13.9,8.7,,1.6,2.4,4.0,0.078,,-2.4,0.6,-1.9,0.1
2021,35.0,HOU,NBA,PF,9.0,284.0,7.8,0.691,0.735,0.147,3.1,12.2,7.6,5.5,1.8,2.4,24.9,7.4,,0.1,0.3,0.4,0.068,,-3.3,0.7,-2.5,0.0
