SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2015,16,MIA,Luol Deng,29,72,72,2421,8.0,17.2,0.47,1.7,4.8,0.36,6.3,12.4,0.51,4.2,5.5,0.76,2.2,6.0,8.2,3.0,1.4,0.5,2.4,2.4,22.0,,110,109
2015,16,MIA,Mario Chalmers,28,80,37,2368,6.0,14.8,0.4,1.6,5.5,0.29,4.3,9.3,0.47,4.6,5.9,0.77,0.5,4.1,4.6,6.8,2.7,0.2,3.9,5.6,18.1,,100,107
2015,16,MIA,Dwyane Wade,33,62,62,1971,13.6,29.0,0.47,0.8,2.7,0.28,12.9,26.3,0.49,7.6,9.9,0.77,1.6,4.3,5.9,8.0,2.0,0.6,5.6,2.8,35.7,,102,108
2015,16,MIA,Chris Bosh,30,44,44,1556,11.6,25.3,0.46,2.1,5.7,0.38,9.5,19.6,0.48,6.1,7.9,0.77,1.6,9.0,10.5,3.2,1.4,0.8,3.2,2.3,31.5,,106,106
2015,16,MIA,Norris Cole,26,47,23,1148,5.4,14.1,0.39,1.2,4.7,0.26,4.2,9.4,0.45,1.5,2.1,0.7,0.6,4.4,5.0,7.6,1.9,0.4,2.7,3.4,13.6,,96,109
2015,16,MIA,Hassan Whiteside,25,48,32,1142,11.2,17.9,0.63,0.0,0.0,,11.2,17.9,0.63,3.6,7.2,0.5,6.7,15.6,22.3,0.3,1.2,5.7,2.7,6.0,26.1,,117,97
2015,16,MIA,Chris Andersen,36,60,20,1132,5.6,9.7,0.58,0.2,0.6,0.31,5.4,9.0,0.6,3.5,5.3,0.67,3.5,10.4,13.9,2.0,1.2,2.8,1.9,4.1,14.9,,121,103
2015,16,MIA,James Ennis,24,62,3,1051,5.1,12.4,0.41,1.6,4.8,0.33,3.5,7.6,0.46,4.0,4.7,0.84,2.6,6.3,8.8,2.4,1.3,0.9,2.0,4.5,15.7,,110,108
2015,16,MIA,Shabazz Napier,23,51,10,1012,4.5,11.9,0.38,2.2,6.2,0.36,2.3,5.7,0.4,2.3,2.9,0.79,0.9,5.0,5.9,6.8,2.1,0.2,4.2,4.0,13.6,,95,108
2015,16,MIA,Udonis Haslem,34,62,25,995,5.7,12.7,0.45,0.1,0.5,0.2,5.6,12.2,0.46,2.4,3.4,0.7,3.8,9.9,13.7,2.4,1.1,0.7,2.2,6.0,13.8,,102,106
2015,16,MIA,Shawne Williams,28,44,22,924,5.8,13.7,0.42,3.4,8.7,0.4,2.4,5.0,0.48,1.6,1.9,0.85,1.5,6.4,7.9,2.1,1.2,1.0,1.3,6.6,16.7,,114,108
2015,16,MIA,Goran Dragic,28,26,26,905,9.5,18.8,0.5,1.4,4.3,0.33,8.1,14.6,0.55,4.9,6.1,0.81,1.8,3.4,5.2,8.1,1.6,0.4,3.4,4.4,25.2,,115,110
2015,16,MIA,Henry Walker,27,24,13,628,4.9,14.1,0.34,3.8,11.1,0.34,1.1,3.0,0.36,1.2,1.5,0.78,0.6,6.3,6.9,2.4,2.0,0.8,2.0,6.4,14.7,,96,107
2015,16,MIA,Danny Granger,31,30,6,613,5.6,14.0,0.4,2.6,7.2,0.36,3.0,6.7,0.45,2.4,3.2,0.76,1.7,5.2,6.9,1.5,1.1,0.5,2.1,5.8,16.2,,102,110
2015,16,MIA,Tyler Johnson,22,32,2,603,6.1,14.6,0.42,1.6,4.2,0.38,4.6,10.4,0.44,2.8,4.1,0.68,1.2,5.9,7.1,3.7,2.9,0.8,2.6,3.7,16.6,,99,105
2015,16,MIA,Michael Beasley,26,24,1,505,9.6,22.2,0.43,0.8,3.6,0.24,8.8,18.6,0.47,2.1,2.7,0.77,1.3,8.1,9.3,3.3,1.6,1.4,3.9,6.9,22.2,,89,106
2015,16,MIA,Josh McRoberts,27,17,4,296,5.0,9.5,0.53,1.4,3.4,0.42,3.6,6.1,0.59,1.4,2.3,0.62,1.2,6.8,8.0,5.9,2.1,0.5,3.9,7.3,12.8,,103,106
2015,16,MIA,Justin Hamilton,24,24,5,289,4.9,11.9,0.42,1.1,3.5,0.32,3.8,8.4,0.46,1.1,1.3,0.86,4.4,4.4,8.8,2.2,1.5,0.9,1.5,6.0,12.1,,107,109
2015,16,MIA,Shannon Brown,29,5,2,89,4.2,11.3,0.37,1.8,4.2,0.43,2.4,7.1,0.33,1.8,2.4,0.75,0.0,0.6,0.6,1.8,2.4,0.0,2.4,4.7,11.9,,87,110
2015,16,MIA,Zoran Dragic,25,10,1,62,7.7,18.7,0.41,2.6,7.7,0.33,5.1,11.1,0.46,0.9,1.7,0.5,2.6,1.7,4.3,3.4,1.7,0.0,4.3,4.3,18.7,,89,111
2015,16,MIA,Andre Dawkins,23,4,0,22,2.4,14.4,0.17,2.4,14.4,0.17,0.0,0.0,,0.0,0.0,,0.0,4.8,4.8,2.4,0.0,0.0,2.4,7.2,7.2,,53,113
