PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Mike Woodson,27,3,3,36.7,7.3,16.3,0.449,0.0,0.7,0.0,7.3,15.7,0.46799999999999997,0.449,4.0,4.0,1.0,2.3,1.3,3.7,1.7,1.3,0.7,3.7,4.3,18.7
Reggie Theus,28,3,3,34.0,6.0,15.3,0.391,0.0,0.3,0.0,6.0,15.0,0.4,0.391,3.0,4.0,0.75,1.0,1.7,2.7,6.3,1.0,0.7,4.7,3.0,15.0
LaSalle Thompson,24,3,3,33.0,3.7,10.7,0.344,0.0,0.0,,3.7,10.7,0.344,0.344,2.3,4.0,0.583,4.7,7.0,11.7,0.7,0.7,2.0,1.3,2.7,9.7
Eddie Johnson,26,3,1,32.0,8.0,18.3,0.436,0.0,1.0,0.0,8.0,17.3,0.462,0.436,2.7,3.0,0.889,3.3,3.7,7.0,1.3,1.0,0.3,2.0,2.3,18.7
Mark Olberding,29,3,3,24.7,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,3.0,0.33299999999999996,0.33299999999999996,3.0,4.0,0.75,1.3,3.0,4.3,1.0,0.7,0.3,2.3,3.0,5.0
Larry Drew,27,3,0,18.7,4.7,8.3,0.56,0.3,1.0,0.33299999999999996,4.3,7.3,0.591,0.58,0.7,0.7,1.0,0.0,0.3,0.3,4.7,1.7,0.0,0.0,0.7,10.3
Terry Tyler,29,3,2,17.0,0.7,3.3,0.2,0.0,0.0,,0.7,3.3,0.2,0.2,1.3,1.3,1.0,1.0,1.7,2.7,1.3,0.7,1.0,0.3,1.7,2.7
Joe Kleine,24,3,0,15.0,1.7,4.3,0.385,0.0,0.0,,1.7,4.3,0.385,0.385,1.7,2.0,0.833,2.7,2.0,4.7,0.3,0.3,0.3,0.7,2.7,5.0
Rich Kelley,32,3,0,11.7,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,3.0,0.33299999999999996,0.33299999999999996,1.7,2.0,0.833,2.0,2.0,4.0,1.3,0.7,0.0,0.7,1.7,3.7
Otis Thorpe,23,3,0,11.7,1.0,4.3,0.231,0.0,0.0,,1.0,4.3,0.231,0.231,2.0,4.3,0.462,2.7,1.3,4.0,0.0,0.0,0.3,0.3,1.3,4.0
Mike Bratz,30,3,0,5.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.3,0.3,1.0,0.7,0.7,1.3,0.3,0.0,0.0,0.7,0.0,2.3
Carl Henry,25,1,0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
