PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
James Donaldson,28,10,10,41.0,3.6,4.8,0.75,0.0,0.0,,3.6,4.8,0.75,0.75,3.7,4.0,0.925,3.0,8.7,11.7,1.0,0.6,1.2,1.0,2.6,10.9
Rolando Blackman,26,10,10,37.1,8.3,16.7,0.49700000000000005,0.0,0.1,0.0,8.3,16.6,0.5,0.49700000000000005,4.2,5.3,0.792,1.5,2.0,3.5,3.2,0.8,0.1,2.0,2.6,20.8
Derek Harper,24,10,10,34.8,5.7,10.7,0.5329999999999999,0.8,1.4,0.5710000000000001,4.9,9.3,0.527,0.57,1.2,1.6,0.75,1.3,0.6,1.9,7.6,2.3,0.0,2.3,2.7,13.4
Sam Perkins,24,10,10,34.7,5.7,13.3,0.429,0.2,0.8,0.25,5.5,12.5,0.44,0.436,3.3,4.3,0.767,3.0,5.3,8.3,2.4,0.9,1.4,1.6,3.2,14.9
Mark Aguirre,26,10,10,34.5,10.5,21.4,0.491,0.2,0.6,0.33299999999999996,10.3,20.8,0.495,0.495,3.5,5.5,0.636,2.1,5.0,7.1,5.4,0.9,0.0,2.3,2.8,24.7
Jay Vincent,26,10,0,20.4,3.8,9.9,0.384,0.0,0.0,,3.8,9.9,0.384,0.384,3.0,3.4,0.882,1.5,2.4,3.9,1.5,0.4,0.1,1.7,1.9,10.6
Brad Davis,30,10,0,16.3,2.4,4.4,0.545,1.0,1.5,0.667,1.4,2.9,0.483,0.659,1.9,2.4,0.792,0.1,1.8,1.9,2.3,0.3,0.0,1.5,2.2,7.7
Detlef Schrempf,23,10,0,12.0,1.3,2.8,0.46399999999999997,0.0,0.1,0.0,1.3,2.7,0.48100000000000004,0.46399999999999997,1.1,1.7,0.647,0.7,1.6,2.3,1.4,0.2,0.1,1.0,2.4,3.7
Dale Ellis,25,7,0,9.6,1.3,3.1,0.409,1.0,1.7,0.583,0.3,1.4,0.2,0.568,0.7,0.7,1.0,0.4,0.6,1.0,0.3,0.3,0.3,0.6,0.9,4.3
Uwe Blab,23,1,0,6.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
Bill Wennington,22,6,0,3.0,0.3,1.0,0.33299999999999996,0.2,0.2,1.0,0.2,0.8,0.2,0.41700000000000004,0.3,0.3,1.0,0.7,0.2,0.8,0.0,0.0,0.0,0.0,0.7,1.2
Harold Keeling,22,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
