Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981,30,1817,WSB,Washington Bullets,Rick Mahorn,"September 21, 1958",22.0,NBA,PF,52.0,,696.0,5.7,11.3,0.51,0.0,0.0,,5.7,11.3,0.51,1.4,2.1,0.68,3.5,7.7,11.1,1.3,1.1,2.3,2.0,6.9,12.9
1982,30,1817,WSB,Washington Bullets,Rick Mahorn,"September 21, 1958",23.0,NBA,PF,80.0,80.0,2664.0,5.6,11.0,0.51,0.0,0.0,0.0,5.6,11.0,0.51,2.0,3.2,0.63,2.0,7.5,9.5,2.0,0.8,1.9,2.2,4.7,13.2
1983,30,1817,WSB,Washington Bullets,Rick Mahorn,"September 21, 1958",24.0,NBA,PF,82.0,82.0,3023.0,4.5,9.1,0.49,0.0,0.0,0.0,4.5,9.1,0.49,1.7,3.0,0.57,2.0,7.2,9.3,1.4,1.0,1.8,2.0,4.0,10.7
1984,30,1817,WSB,Washington Bullets,Rick Mahorn,"September 21, 1958",25.0,NBA,PF,82.0,82.0,2701.0,4.1,8.1,0.51,0.0,0.0,,4.1,8.1,0.51,1.7,2.6,0.65,2.3,7.6,9.8,1.7,0.8,1.6,1.9,4.8,9.8
1985,30,1817,WSB,Washington Bullets,Rick Mahorn,"September 21, 1958",26.0,NBA,PF,77.0,63.0,2072.0,3.6,7.2,0.5,0.0,0.0,,3.6,7.2,0.5,1.2,1.8,0.68,2.6,8.0,10.6,2.1,1.0,1.8,2.3,5.4,8.4
1986,9,1817,DET,Detroit Pistons,Rick Mahorn,"September 21, 1958",27.0,NBA,PF,80.0,12.0,1442.0,3.9,8.6,0.46,0.0,0.0,0.0,3.9,8.6,0.46,2.0,3.0,0.68,3.0,7.3,10.3,1.6,1.0,1.5,2.7,6.5,9.9
1987,9,1817,DET,Detroit Pistons,Rick Mahorn,"September 21, 1958",28.0,NBA,PF,63.0,6.0,1278.0,4.1,9.1,0.45,0.0,0.0,,4.1,9.1,0.45,2.7,3.3,0.82,2.6,7.9,10.6,1.1,0.9,1.4,2.1,6.2,10.8
1988,9,1817,DET,Detroit Pistons,Rick Mahorn,"September 21, 1958",29.0,NBA,PF,67.0,64.0,1963.0,5.1,8.8,0.57,0.0,0.0,0.5,5.0,8.8,0.57,3.0,4.0,0.76,2.9,7.4,10.4,1.1,0.8,0.8,2.2,4.8,13.1
1989,9,1817,DET,Detroit Pistons,Rick Mahorn,"September 21, 1958",30.0,NBA,PF,72.0,61.0,1795.0,4.1,7.9,0.52,0.0,0.0,0.0,4.1,7.8,0.52,2.3,3.1,0.75,2.8,7.1,9.9,1.2,0.8,1.3,1.9,4.1,10.5
1990,23,1817,PHI,Philadelphia 76Ers,Rick Mahorn,"September 21, 1958",31.0,NBA,PF,75.0,66.0,2271.0,5.0,10.0,0.5,0.0,0.1,0.22,4.9,9.8,0.5,2.9,4.1,0.72,2.6,6.4,9.0,1.6,0.7,1.6,1.6,4.0,12.9
1991,23,1817,PHI,Philadelphia 76Ers,Rick Mahorn,"September 21, 1958",32.0,NBA,C,80.0,74.0,2439.0,3.9,8.3,0.47,0.0,0.1,0.0,3.9,8.1,0.48,2.8,3.5,0.79,2.2,6.9,9.2,1.7,1.2,0.8,1.9,4.1,10.5
1993,3,1817,NJN,New Jersey Nets,Rick Mahorn,"September 21, 1958",34.0,NBA,PF,74.0,9.0,1077.0,3.4,7.2,0.47,0.0,0.1,0.33,3.3,7.1,0.47,2.9,3.7,0.8,3.1,6.2,9.3,1.1,0.6,1.0,1.9,5.2,9.7
1994,3,1817,NJN,New Jersey Nets,Rick Mahorn,"September 21, 1958",35.0,NBA,PF,28.0,0.0,226.0,3.7,7.5,0.49,0.0,0.2,0.0,3.7,7.3,0.5,2.1,3.2,0.65,2.5,6.1,8.6,0.8,0.5,0.8,1.1,6.1,9.4
1995,3,1817,NJN,New Jersey Nets,Rick Mahorn,"September 21, 1958",36.0,NBA,PF,58.0,7.0,630.0,4.5,8.6,0.52,0.1,0.2,0.33,4.5,8.5,0.53,2.2,2.8,0.8,2.6,6.7,9.3,1.5,0.6,0.7,1.9,5.3,11.3
1996,3,1817,NJN,New Jersey Nets,Rick Mahorn,"September 21, 1958",37.0,NBA,C,50.0,0.0,450.0,3.4,9.8,0.35,0.0,0.1,0.0,3.4,9.7,0.36,2.7,3.8,0.72,2.5,6.3,8.8,1.3,1.1,1.0,2.4,5.8,9.6
1997,9,1817,DET,Detroit Pistons,Rick Mahorn,"September 21, 1958",38.0,NBA,C,22.0,7.0,218.0,3.3,8.9,0.37,0.0,0.2,0.0,3.3,8.8,0.38,2.6,3.6,0.73,3.1,5.6,8.8,1.0,0.7,0.5,1.7,5.6,9.2
1998,9,1817,DET,Detroit Pistons,Rick Mahorn,"September 21, 1958",39.0,NBA,C,59.0,0.0,707.0,3.0,6.6,0.46,0.0,0.0,,3.0,6.6,0.46,1.2,1.7,0.68,3.3,6.6,9.9,0.8,0.7,0.4,1.9,6.3,7.2
1999,23,1817,PHI,Philadelphia 76Ers,Rick Mahorn,"September 21, 1958",40.0,NBA,PF,16.0,0.0,127.0,1.4,5.1,0.28,0.0,0.0,,1.4,5.1,0.28,0.9,2.3,0.38,2.0,4.5,6.5,0.6,1.4,0.3,1.7,6.2,3.7
