PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
A.C. Green,29,5,5,44.0,3.6,8.4,0.429,0.0,1.0,0.0,3.6,7.4,0.486,0.429,2.6,4.2,0.619,5.2,9.4,14.6,2.6,1.4,0.6,1.8,2.8,9.8
Sedale Threatt,31,5,5,41.0,7.8,17.8,0.43799999999999994,0.6,2.6,0.231,7.2,15.2,0.474,0.455,1.8,2.4,0.75,0.6,2.8,3.4,8.0,2.6,0.2,2.4,3.8,18.0
Elden Campbell,24,5,5,35.6,5.8,13.8,0.42,0.0,0.0,,5.8,13.8,0.42,0.42,2.4,4.8,0.5,3.4,5.0,8.4,1.4,1.2,2.4,2.4,3.0,14.0
Byron Scott,31,5,5,35.4,4.2,8.4,0.5,1.6,3.0,0.5329999999999999,2.6,5.4,0.48100000000000004,0.595,3.6,4.6,0.7829999999999999,0.0,2.2,2.2,1.8,1.0,0.0,0.8,2.2,13.6
Vlade Divac,24,5,5,33.4,7.4,14.8,0.5,0.8,1.8,0.444,6.6,13.0,0.508,0.527,2.4,4.4,0.545,3.4,6.0,9.4,5.6,1.2,2.4,2.2,4.4,18.0
James Worthy,31,5,0,29.6,6.4,17.2,0.37200000000000005,0.4,1.6,0.25,6.0,15.6,0.385,0.384,0.6,1.0,0.6,1.4,2.0,3.4,2.6,1.0,0.0,1.4,2.2,13.8
Tony Smith,24,5,0,14.6,2.6,5.0,0.52,0.4,0.8,0.5,2.2,4.2,0.524,0.56,1.2,1.8,0.667,1.0,0.6,1.6,0.4,0.2,0.2,0.6,2.8,6.8
Doug Christie,22,5,0,7.8,0.8,2.2,0.364,0.2,0.6,0.33299999999999996,0.6,1.6,0.375,0.409,0.0,0.0,,0.2,0.6,0.8,1.2,0.4,0.4,0.8,1.0,1.8
James Edwards,37,3,0,4.7,1.0,1.3,0.75,0.0,0.0,,1.0,1.3,0.75,0.75,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.7,2.0
Duane Cooper,23,2,0,2.0,0.0,3.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
