PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Sherman Douglas,26,4,4,41.5,4.3,11.3,0.37799999999999995,0.0,0.8,0.0,4.3,10.5,0.405,0.37799999999999995,2.5,3.8,0.667,3.0,3.5,6.5,9.5,1.0,0.0,3.0,2.5,11.0
Robert Parish,39,4,4,36.5,7.8,14.3,0.544,0.0,0.0,,7.8,14.3,0.544,0.544,1.5,1.8,0.857,3.3,6.3,9.5,1.3,0.3,1.5,1.5,3.5,17.0
Kevin Gamble,27,4,4,35.5,5.8,10.5,0.5479999999999999,1.3,3.0,0.41700000000000004,4.5,7.5,0.6,0.607,1.0,1.0,1.0,0.8,1.5,2.3,2.5,1.5,0.3,1.3,2.8,13.8
Dee Brown,24,4,3,33.3,3.8,10.3,0.366,0.3,1.8,0.14300000000000002,3.5,8.5,0.41200000000000003,0.37799999999999995,3.5,3.5,1.0,0.5,1.0,1.5,3.8,0.5,1.0,1.5,2.8,11.3
Xavier McDaniel,29,4,0,31.5,5.5,13.3,0.415,0.0,0.5,0.0,5.5,12.8,0.431,0.415,1.5,2.3,0.667,1.5,3.0,4.5,2.3,0.3,0.8,1.8,4.0,12.5
Kevin McHale,35,4,0,28.3,8.0,13.8,0.5820000000000001,0.0,0.0,,8.0,13.8,0.5820000000000001,0.5820000000000001,3.0,3.5,0.857,2.3,5.0,7.3,0.8,0.5,1.8,1.3,1.5,19.0
Rick Fox,23,4,0,17.8,1.8,6.3,0.28,0.3,0.8,0.33299999999999996,1.5,5.5,0.273,0.3,0.5,0.5,1.0,2.0,2.8,4.8,1.3,0.5,0.3,1.0,1.8,4.3
Alaa Abdelnaby,24,4,4,17.0,2.8,6.0,0.45799999999999996,0.0,0.0,,2.8,6.0,0.45799999999999996,0.45799999999999996,0.0,0.0,,0.5,2.8,3.3,0.3,0.0,0.3,2.3,1.8,5.5
Reggie Lewis,27,1,1,13.0,7.0,11.0,0.636,0.0,1.0,0.0,7.0,10.0,0.7,0.636,3.0,4.0,0.75,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,17.0
Joe Kleine,31,4,0,7.3,0.8,1.3,0.6,0.0,0.0,,0.8,1.3,0.6,0.6,0.0,0.0,,0.0,1.3,1.3,0.0,0.0,0.3,0.0,1.0,1.5
Lorenzo Williams,23,1,0,3.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
