Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,23.0,NJN,NBA,PG,60.0,0.0,542.0,4.3,11.6,0.368,0.7,3.1,0.234,3.5,8.4,0.417,2.9,3.5,0.83,0.7,2.3,2.9,8.2,2.5,0.3,3.5,3.1,12.2
1995,24.0,BOS,NBA,PG,51.0,36.0,1380.0,3.3,8.2,0.409,1.3,3.1,0.429,2.0,5.1,0.397,1.9,2.5,0.755,0.8,2.2,3.1,6.9,2.1,0.2,2.3,3.8,9.9
1996,25.0,BOS,NBA,PG,82.0,53.0,2104.0,5.8,12.6,0.459,2.0,4.7,0.426,3.8,7.9,0.478,3.7,4.9,0.753,1.2,3.4,4.5,6.7,1.7,0.2,2.7,3.5,17.3
1997,26.0,BOS,NBA,PG,74.0,73.0,2991.0,5.5,11.7,0.468,1.2,3.4,0.36,4.2,8.3,0.513,2.7,3.5,0.781,0.8,2.4,3.2,6.5,1.9,0.2,2.5,2.7,14.9
1998,27.0,CHH,NBA,PG,81.0,81.0,2845.0,4.8,10.9,0.443,0.7,2.2,0.347,4.1,8.8,0.467,2.9,3.6,0.795,0.6,2.1,2.7,6.7,1.8,0.4,2.9,2.9,13.3
1999,28.0,CHH,NBA,PG,50.0,50.0,1848.0,4.7,10.6,0.446,1.2,3.3,0.359,3.5,7.3,0.485,3.1,3.7,0.832,0.4,2.7,3.1,6.3,1.9,0.2,2.8,2.5,13.8
2001,30.0,CHH,NBA,SG,82.0,82.0,3106.0,6.1,14.4,0.422,1.1,3.0,0.376,4.9,11.4,0.434,3.1,3.9,0.799,0.7,1.9,2.6,4.2,1.5,0.2,2.0,2.5,16.4
2002,31.0,CHH,NBA,SG,67.0,63.0,2487.0,5.3,13.2,0.4,1.2,3.7,0.332,4.0,9.5,0.427,2.0,2.7,0.734,0.6,1.4,2.1,3.4,1.1,0.2,1.7,2.1,13.8
2003,32.0,NOH,NBA,SG,73.0,73.0,2710.0,6.0,13.8,0.433,1.8,4.2,0.424,4.2,9.6,0.437,2.5,3.1,0.781,0.5,1.8,2.3,3.3,1.4,0.1,1.8,2.3,16.2
2004,33.0,NOH,NBA,SG,61.0,60.0,2001.0,5.6,14.4,0.389,1.7,5.1,0.323,3.9,9.3,0.425,2.5,3.3,0.753,0.5,1.9,2.4,3.1,1.3,0.3,1.8,2.6,15.3
2005,34.0,TOT,NBA,SG,80.0,79.0,2774.0,4.3,10.9,0.398,1.5,4.1,0.375,2.8,6.8,0.411,2.1,2.5,0.857,0.5,2.5,3.0,3.4,1.2,0.1,1.5,2.8,12.3
2005,34.0,NOH,NBA,SG,26.0,26.0,934.0,5.1,13.2,0.389,1.1,3.1,0.35,4.0,10.1,0.401,2.6,2.9,0.882,0.5,2.8,3.3,4.2,1.3,0.0,2.1,2.5,13.9
2005,34.0,HOU,NBA,SG,54.0,53.0,1840.0,3.9,9.7,0.404,1.8,4.6,0.383,2.2,5.1,0.422,1.9,2.2,0.841,0.5,2.3,2.8,3.1,1.2,0.2,1.2,2.9,11.5
2006,35.0,HOU,NBA,SG,71.0,59.0,2372.0,3.4,8.5,0.403,1.5,4.1,0.365,1.9,4.4,0.438,2.3,2.8,0.807,0.4,2.3,2.7,3.1,0.9,0.1,1.8,3.2,10.7
2007,36.0,CLE,NBA,SG,35.0,5.0,352.0,2.3,7.7,0.293,0.9,3.9,0.237,1.3,3.8,0.351,2.0,2.9,0.714,0.3,3.3,3.6,3.8,1.2,0.4,1.7,3.3,7.5
