Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1999,1,3177,ATL,Atlanta Hawks,23.0,NBA,PG,2.0,4.0,33.8,0.54,0.0,4.0,0.0,0.0,0.0,39.2,0.0,0.0,0.0,32.5,,0.0,0.0,0.0,0.45,,7.0,-0.3,6.8,0.0
2001,21,3177,SEA,Seattle Supersonics,25.0,NBA,PG,69.0,1238.0,15.4,0.57,0.36,0.26,3.2,9.0,6.1,24.2,1.3,0.2,16.7,17.9,,2.6,0.3,2.9,0.11,,2.0,-1.2,0.8,0.9
2002,21,3177,SEA,Seattle Supersonics,26.0,NBA,SG,50.0,603.0,14.3,0.53,0.39,0.2,3.2,9.0,6.2,21.0,1.9,0.3,14.3,18.9,,0.8,0.3,1.2,0.1,,1.3,-0.7,0.6,0.4
2003,31,3177,TOT,Total After Trade,27.0,NBA,PG,78.0,1881.0,12.4,0.5,0.45,0.18,1.4,9.3,5.2,25.4,2.2,0.3,15.4,17.9,,1.1,2.0,3.1,0.08,,-1.2,0.0,-1.3,0.3
2003,2,3177,BOS,Boston Celtics,27.0,NBA,PG,51.0,1169.0,12.3,0.51,0.47,0.17,1.1,9.8,5.3,19.3,2.8,0.2,14.4,16.9,,0.7,1.4,2.1,0.09,,-1.9,1.0,-0.9,0.3
2003,8,3177,DEN,Denver Nuggets,27.0,NBA,PG,27.0,712.0,12.5,0.49,0.42,0.19,1.9,8.4,5.0,35.3,1.2,0.3,16.9,19.6,,0.4,0.5,1.0,0.06,,-0.2,-1.8,-1.9,0.0
2004,31,3177,TOT,Total After Trade,28.0,NBA,"PG,SG",53.0,763.0,13.1,0.5,0.43,0.25,1.3,7.8,4.5,25.3,2.6,0.2,15.4,18.1,,0.7,0.2,1.0,0.06,,-0.9,-0.6,-1.5,0.1
2004,22,3177,ORL,Orlando Magic,28.0,NBA,SG,37.0,525.0,14.0,0.54,0.49,0.3,1.9,7.5,4.6,19.7,2.3,0.1,13.2,16.9,,0.9,0.0,0.9,0.08,,0.0,-0.9,-0.8,0.2
2004,19,3177,NOH,New Orleans Hornets,28.0,NBA,PG,16.0,238.0,11.1,0.42,0.32,0.16,0.0,8.4,4.1,37.6,3.2,0.3,19.5,20.7,,-0.2,0.3,0.1,0.02,,-2.9,0.1,-2.8,-0.1
2007,14,3177,LAL,Los Angeles Lakers,31.0,NBA,PG,30.0,345.0,10.8,0.53,0.58,0.07,3.8,9.8,6.8,13.3,1.8,0.0,12.8,13.2,,0.3,0.2,0.5,0.07,,-0.5,-0.4,-1.0,0.1
