Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2007,7,163,DAL,Dallas Mavericks,J.J. Barea,1984-06-26,22.0,NBA,PG,33.0,1.0,191.0,7.9,21.9,0.36,1.7,5.9,0.29,6.2,16.0,0.39,4.5,6.7,0.67,2.0,5.1,7.0,6.7,0.3,0.3,3.9,5.3,21.9,94.0,108.0
2008,7,163,DAL,Dallas Mavericks,J.J. Barea,1984-06-26,23.0,NBA,PG,44.0,9.0,460.0,8.2,19.7,0.42,2.4,6.2,0.39,5.8,13.4,0.43,3.2,4.1,0.8,0.5,5.0,5.4,6.7,1.6,0.1,4.1,5.6,22.1,99.0,108.0
2009,7,163,DAL,Dallas Mavericks,J.J. Barea,1984-06-26,24.0,NBA,SG,79.0,15.0,1600.0,8.1,18.3,0.44,1.8,5.1,0.36,6.3,13.2,0.47,2.3,3.1,0.75,1.2,4.6,5.8,8.8,1.2,0.2,3.4,4.0,20.2,106.0,112.0
2010,7,163,DAL,Dallas Mavericks,J.J. Barea,1984-06-26,25.0,NBA,PG,78.0,18.0,1546.0,7.8,17.7,0.44,1.9,5.3,0.36,5.9,12.4,0.48,2.6,3.0,0.84,0.6,4.3,4.9,8.7,1.2,0.2,3.4,4.0,20.0,104.0,110.0
2011,7,163,DAL,Dallas Mavericks,J.J. Barea,1984-06-26,26.0,NBA,PG,81.0,2.0,1669.0,9.0,20.4,0.44,2.1,6.0,0.35,6.9,14.5,0.48,4.2,4.9,0.85,0.9,4.1,5.0,10.0,0.9,0.0,4.3,4.3,24.2,106.0,109.0
2012,18,163,MIN,Minnesota Timberwolves,J.J. Barea,1984-06-26,27.0,NBA,PG,41.0,11.0,1032.0,8.3,20.8,0.4,2.6,7.1,0.37,5.7,13.7,0.42,3.8,4.9,0.78,0.7,5.0,5.7,11.6,1.0,0.0,5.1,3.0,23.1,101.0,110.0
2013,18,163,MIN,Minnesota Timberwolves,J.J. Barea,1984-06-26,28.0,NBA,PG,74.0,2.0,1713.0,9.5,22.9,0.42,2.9,8.5,0.35,6.6,14.4,0.46,3.2,4.0,0.78,1.0,5.2,6.2,8.9,1.0,0.0,4.4,4.0,25.2,101.0,109.0
2014,18,163,MIN,Minnesota Timberwolves,J.J. Barea,1984-06-26,29.0,NBA,PG,79.0,1.0,1471.0,8.5,22.0,0.39,2.4,7.7,0.32,6.1,14.2,0.43,2.6,3.4,0.79,0.5,4.6,5.2,10.2,0.9,0.0,4.2,4.3,22.1,98.0,110.0
2015,7,163,DAL,Dallas Mavericks,J.J. Barea,1984-06-26,30.0,NBA,PG,77.0,10.0,1362.0,8.3,19.8,0.42,2.0,6.2,0.32,6.3,13.7,0.46,2.8,3.5,0.81,0.9,4.1,5.0,9.7,1.2,0.0,2.6,3.9,21.5,109.0,110.0
2016,7,163,DAL,Dallas Mavericks,J.J. Barea,1984-06-26,31.0,NBA,PG,74.0,16.0,1667.0,9.7,21.7,0.45,3.1,7.9,0.38,6.6,13.8,0.48,2.3,2.9,0.77,0.8,3.8,4.6,9.2,0.8,0.1,3.5,3.4,24.7,106.0,111.0
2017,7,163,DAL,Dallas Mavericks,J.J. Barea,1984-06-26,32.0,NBA,PG,35.0,6.0,771.0,9.6,23.2,0.41,3.6,10.0,0.36,6.0,13.2,0.46,3.0,3.4,0.86,0.6,5.1,5.7,13.0,0.9,0.1,4.3,2.0,25.7,106.0,112.0
2018,7,163,DAL,Dallas Mavericks,J.J. Barea,1984-06-26,33.0,NBA,PG,69.0,10.0,1603.0,9.5,21.6,0.44,3.6,9.8,0.37,5.9,11.8,0.5,2.5,3.2,0.78,0.5,5.8,6.3,13.6,1.1,0.1,4.5,2.6,25.1,109.0,112.0
2019,7,163,DAL,Dallas Mavericks,J.J. Barea,1984-06-26,34.0,NBA,PG,38.0,0.0,752.0,10.4,24.8,0.42,2.5,8.3,0.3,7.9,16.6,0.48,3.5,5.0,0.7,0.8,5.3,6.1,13.6,1.4,0.1,4.6,3.2,26.8,105.0,113.0
2020,7,163,DAL,Dallas Mavericks,J.J. Barea,1984-06-26,35.0,NBA,PG,29.0,6.0,450.0,9.1,22.2,0.41,3.4,9.1,0.38,5.7,13.1,0.43,2.1,2.4,0.91,1.1,4.6,5.7,12.0,0.5,0.2,4.1,2.9,23.8,109.0,116.0
