Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2020,8,2339,DEN,Denver Nuggets,Michael Porter Jr.,"June 29, 1998",21.0,NBA,SF,55,903,19.8,0.62,0.38,0.19,8.2,23.9,16.1,7.9,1.5,2.6,10.6,22.3,1.8,1.1,2.9,0.15,2.4,-0.8,1.5,0.8
2021,8,2339,DEN,Denver Nuggets,Michael Porter Jr.,"June 29, 1998",22.0,NBA,SF,11,282,22.1,0.67,0.48,0.16,4.9,22.9,13.8,5.5,2.3,3.2,9.1,21.9,0.7,0.4,1.1,0.19,4.6,-0.4,4.2,0.4
