PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Dale Ellis,26,14,14,530,13.7,28.2,0.48700000000000004,1.2,3.3,0.361,12.5,24.9,0.504,4.1,5.0,0.815,3.4,4.9,8.3,3.4,0.9,0.6,3.1,5.0,32.7,,111,115
Xavier McDaniel,23,14,14,528,11.5,23.6,0.488,0.2,0.9,0.2,11.4,22.7,0.5,3.2,5.2,0.607,4.8,6.1,10.9,3.9,2.0,0.8,3.9,5.9,26.4,,104,112
Tom Chambers,27,14,14,498,11.6,26.0,0.449,0.6,1.8,0.33299999999999996,11.1,24.2,0.457,7.9,9.8,0.8079999999999999,3.2,5.7,8.9,3.2,1.2,1.3,3.4,5.0,31.8,,110,113
Nate McMillan,22,14,14,356,3.7,8.6,0.435,0.0,0.0,,3.7,8.6,0.435,2.3,3.3,0.708,1.8,5.7,7.5,15.5,1.9,1.4,3.6,5.8,9.8,,110,111
Maurice Lucas,34,14,0,265,6.5,16.7,0.389,0.0,0.2,0.0,6.5,16.5,0.39299999999999996,5.2,7.0,0.737,3.5,8.5,12.1,3.5,2.2,0.9,3.3,8.0,18.2,,98,109
Clemon Johnson,30,14,7,262,4.5,9.9,0.45299999999999996,0.0,0.0,,4.5,9.9,0.45299999999999996,2.3,3.6,0.632,4.7,4.5,9.2,0.8,1.3,2.8,0.4,3.4,11.3,,120,112
Kevin Williams,25,14,0,255,8.7,18.1,0.479,0.0,0.4,0.0,8.7,17.7,0.489,5.8,7.7,0.75,3.7,2.9,6.6,5.8,3.1,0.2,1.9,8.5,23.1,,119,112
Danny Young,24,14,0,208,5.0,12.3,0.40399999999999997,1.2,3.8,0.313,3.8,8.5,0.444,2.4,2.4,1.0,0.9,2.8,3.8,11.3,3.5,0.0,1.7,5.0,13.5,,122,111
Alton Lister,28,9,7,206,4.8,11.9,0.4,0.0,0.0,,4.8,11.9,0.4,3.3,4.8,0.7,6.9,6.4,13.4,1.7,1.7,3.1,2.4,8.8,12.9,,104,110
Eddie Johnson,31,14,0,181,8.4,15.8,0.534,0.5,1.4,0.4,7.9,14.4,0.547,7.1,8.1,0.867,1.4,2.4,3.8,12.2,1.4,0.0,2.4,4.3,24.4,,135,116
Russ Schoene,26,14,0,123,4.0,11.2,0.35700000000000004,0.8,2.4,0.33299999999999996,3.2,8.8,0.364,3.6,4.8,0.75,2.4,8.0,10.4,1.2,0.4,1.6,0.8,6.4,12.4,,110,113
Curtis Kitchen,23,8,0,23,2.1,4.3,0.5,0.0,0.0,,2.1,4.3,0.5,0.0,8.5,0.0,4.3,8.5,12.8,0.0,0.0,4.3,0.0,15.0,4.3,,75,110
