Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1981,24,12,PHO,Phoenix Suns,33,Alvan Adams,C,6-9,210,"July 19, 1954",US,5,Oklahoma
1981,24,594,PHO,Phoenix Suns,45,Jeff Cook,SF,6-10,215,"October 21, 1956",US,1,Idaho State University
1981,24,702,PHO,Phoenix Suns,6,Walter Davis,SG,6-6,193,"September 9, 1954",US,3,UNC
1981,24,1284,PHO,Phoenix Suns,22,Johnny High,PG,6-3,185,"April 25, 1957",US,1,Nevada
1981,24,1481,PHO,Phoenix Suns,24,Dennis Johnson,PG,6-4,185,"September 18, 1954",US,4,Pepperdine
1981,24,1588,PHO,Phoenix Suns,53,Rich Kelley,C,7-0,235,"March 23, 1953",US,5,Stanford
1981,24,1654,PHO,Phoenix Suns,50,Joel Kramer,PF,6-7,203,"November 30, 1955",US,2,San Diego State
1981,24,1807,PHO,Phoenix Suns,4,Kyle Macy,PG,6-3,175,"April 9, 1957",US,R,"Purdue, Kentucky"
1981,24,2143,PHO,Phoenix Suns,40,Mike Niles,SF,6-6,225,"March 31, 1955",US,R,Cal State Fullerton
1981,24,2488,PHO,Phoenix Suns,21,Truck Robinson,PF,6-7,225,"October 4, 1951",US,6,Tennessee State
1981,24,2579,PHO,Phoenix Suns,14,Alvin Scott,SF,6-7,185,"September 14, 1955",US,3,Oral Roberts
