PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Blue Edwards,30.0,82,82.0,2773,401,956,0.419,84,245,0.34299999999999997,317,711,0.446,0.46299999999999997,157,208,0.755,98,248,346,212,118,46,170,243,1043
Bryant Reeves,22.0,77,63.0,2460,401,877,0.457,0,3,0.0,401,874,0.45899999999999996,0.457,219,299,0.732,178,392,570,109,43,55,157,226,1021
Greg Anthony,28.0,69,68.0,2096,324,781,0.415,90,271,0.332,234,510,0.45899999999999996,0.47200000000000003,229,297,0.7709999999999999,29,145,174,476,116,11,160,137,967
Chris King,26.0,80,66.0,1930,250,585,0.42700000000000005,44,113,0.389,206,472,0.436,0.465,90,136,0.662,102,183,285,104,68,33,103,163,634
Byron Scott,34.0,80,0.0,1894,271,676,0.401,74,221,0.335,197,455,0.433,0.456,203,243,0.835,40,152,192,123,63,22,100,126,819
Anthony Avent,26.0,71,32.0,1586,179,466,0.384,0,0,,179,466,0.384,0.384,57,77,0.74,108,247,355,69,30,42,107,202,415
Eric Murdock,27.0,64,14.0,1480,220,521,0.42200000000000004,39,122,0.32,181,399,0.45399999999999996,0.46,106,131,0.809,21,134,155,292,129,9,120,124,585
Ashraf Amaya,24.0,54,34.0,1104,121,252,0.48,0,1,0.0,121,251,0.48200000000000004,0.48,97,149,0.6509999999999999,114,189,303,33,22,10,57,151,339
Gerald Wilkins,32.0,28,14.0,738,77,205,0.376,14,64,0.21899999999999997,63,141,0.447,0.41,20,23,0.87,22,43,65,68,22,2,37,55,188
Eric Mobley,25.0,34,1.0,611,72,131,0.55,1,2,0.5,71,129,0.55,0.5529999999999999,37,83,0.446,51,77,128,22,13,23,49,82,182
Lawrence Moten,23.0,44,3.0,573,112,247,0.45299999999999996,18,55,0.327,94,192,0.49,0.49,49,75,0.653,36,25,61,50,29,8,44,54,291
Kenny Gattison,31.0,25,14.0,570,91,190,0.479,0,0,,91,190,0.479,0.479,47,78,0.603,35,79,114,14,10,11,40,75,229
Doug Edwards,25.0,31,0.0,519,32,91,0.35200000000000004,0,4,0.0,32,87,0.368,0.35200000000000004,29,38,0.763,35,52,87,39,10,18,29,51,93
Antonio Harvey,25.0,18,6.0,410,39,95,0.41100000000000003,0,2,0.0,39,93,0.419,0.41100000000000003,20,43,0.465,27,67,94,9,14,21,18,38,98
Benoit Benjamin,31.0,13,13.0,404,71,161,0.441,0,0,,71,161,0.441,0.441,39,56,0.696,31,72,103,16,10,15,34,40,181
Darrick Martin,24.0,24,0.0,402,59,131,0.45,5,22,0.22699999999999998,54,109,0.495,0.469,38,46,0.826,13,25,38,61,27,1,37,47,161
Rich Manning,25.0,29,0.0,311,49,113,0.434,0,1,0.0,49,112,0.43799999999999994,0.434,9,14,0.643,16,39,55,7,3,6,17,37,107
Cuonzo Martin,24.0,4,0.0,19,3,5,0.6,3,3,1.0,0,2,0.0,0.9,0,2,0.0,1,1,2,2,1,0,1,1,9
Team Totals,,82,,19880,2772,6483,0.428,372,1129,0.32899999999999996,2400,5354,0.44799999999999995,0.456,1446,1998,0.7240000000000001,957,2170,3127,1706,728,333,1347,1852,7362
