PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Brandon Roy,23,74,2792,19.4,0.531,0.184,0.319,3.4,11.2,7.3,28.2,1.5,0.4,9.3,24.9,,5.9,2.1,8.0,0.138,,3.2,0.1,3.3,3.6
LaMarcus Aldridge,22,76,2649,18.5,0.523,0.006,0.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,,3.5,2.8,6.2,0.113,,0.6,-0.4,0.2,1.5
Steve Blake,27,81,2424,12.0,0.518,0.466,0.1,1.5,7.9,4.7,27.1,1.2,0.1,14.5,15.3,,2.5,1.3,3.8,0.075,,0.1,-0.6,-0.5,0.9
Jarrett Jack,24,82,2229,13.0,0.5579999999999999,0.306,0.4,1.6,10.7,6.2,22.7,1.5,0.0,19.6,19.3,,1.6,1.5,3.2,0.069,,-0.8,-0.4,-1.2,0.5
Travis Outlaw,23,82,2186,15.7,0.499,0.105,0.305,5.2,15.0,10.1,8.9,1.5,2.2,8.9,26.0,,0.9,2.3,3.2,0.071,,-0.2,-0.1,-0.3,1.0
Martell Webster,21,75,2132,12.0,0.5479999999999999,0.483,0.253,3.0,13.3,8.2,7.0,1.1,1.0,10.2,18.0,,1.8,1.7,3.5,0.079,,0.1,-0.2,-0.2,1.0
Joel Przybilla,28,77,1819,12.3,0.611,0.004,0.488,12.7,29.3,21.0,2.3,0.4,4.0,23.8,10.4,,1.6,2.7,4.3,0.113,,-2.6,0.9,-1.7,0.1
Channing Frye,24,78,1342,14.8,0.529,0.022000000000000002,0.24100000000000002,9.4,21.6,15.5,7.4,1.2,1.6,9.9,19.6,,1.6,1.6,3.2,0.114,,-1.9,0.1,-1.8,0.1
James Jones,27,58,1276,13.6,0.625,0.627,0.3,4.0,10.8,7.4,4.3,1.0,0.9,7.0,14.8,,2.9,0.8,3.7,0.139,,1.4,-0.2,1.3,1.1
Sergio Rodríguez,21,72,628,9.0,0.423,0.29600000000000004,0.19399999999999998,2.4,8.4,5.4,31.2,2.1,0.0,19.9,20.0,,-0.7,0.5,-0.2,-0.017,,-3.1,-0.5,-3.7,-0.3
Raef LaFrentz,31,39,291,10.4,0.469,0.066,0.311,11.4,15.7,13.6,3.2,2.3,4.5,12.6,12.9,,0.1,0.4,0.5,0.085,,-4.8,2.1,-2.7,-0.1
Von Wafer,22,8,64,4.7,0.384,0.478,0.174,0.0,16.5,8.3,5.0,0.0,2.4,7.5,19.8,,-0.1,0.0,-0.1,-0.067,,-3.8,-1.2,-5.0,0.0
Taurean Green,21,8,44,5.8,0.435,0.5,0.5,0.0,10.7,5.4,28.1,1.2,0.0,26.4,28.5,,-0.1,0.0,-0.1,-0.125,,-5.0,-2.8,-7.8,-0.1
Josh McRoberts,20,8,28,20.3,0.6,0.1,0.0,8.4,33.5,21.0,13.7,2.0,0.0,16.7,20.3,,0.0,0.0,0.1,0.131,,2.0,1.8,3.7,0.0
