SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1984,8,DEN,Alex English,30,5,,203,13.4,22.7,0.59,0.0,0.2,0.0,13.4,22.5,0.59,5.6,6.2,0.89,3.6,5.4,8.9,6.2,0.7,0.4,1.6,3.8,32.3,,135,118
1984,8,DEN,Kiki Vandeweghe,25,5,,180,12.3,24.1,0.51,0.5,1.3,0.4,11.8,22.9,0.52,6.8,7.0,0.96,1.5,4.3,5.8,5.0,2.3,1.3,2.5,3.5,31.9,,121,114
1984,8,DEN,T.R. Dunn,28,5,,178,3.6,6.4,0.56,0.0,0.0,,3.6,6.4,0.56,1.3,1.8,0.71,5.1,4.8,9.9,2.0,2.5,1.0,2.0,4.8,8.4,,117,114
1984,8,DEN,Dan Issel,35,5,,153,15.4,30.2,0.51,0.3,0.6,0.5,15.1,29.6,0.51,9.5,11.5,0.82,3.0,8.9,11.8,2.4,1.8,1.8,4.4,4.4,40.5,,112,112
1984,8,DEN,Rob Williams,22,5,,149,6.4,14.3,0.45,1.5,3.9,0.38,4.9,10.3,0.47,3.0,3.6,0.83,1.5,4.3,5.8,7.3,0.9,0.3,2.4,5.8,17.3,,115,118
1984,8,DEN,Bill Hanzlik,26,5,,82,6.1,10.5,0.58,0.0,1.1,0.0,6.1,9.4,0.65,3.3,3.3,1.0,1.7,2.8,4.4,11.6,1.7,0.0,3.3,8.8,15.5,,125,118
1984,8,DEN,Danny Schayes,24,5,,81,6.1,10.1,0.61,0.0,0.0,,6.1,10.1,0.61,3.4,4.5,0.75,1.7,11.7,13.4,2.2,2.2,1.7,3.9,11.2,15.6,,105,109
1984,8,DEN,Mike Evans,28,5,,77,5.3,16.5,0.32,0.6,4.7,0.12,4.7,11.8,0.4,2.4,2.4,1.0,0.6,1.2,1.8,7.1,0.0,0.0,4.7,7.6,13.5,,80,122
1984,8,DEN,Howard Carter,22,5,,60,5.3,16.6,0.32,0.8,3.8,0.2,4.5,12.8,0.35,0.0,0.0,,0.8,3.0,3.8,3.8,3.0,0.8,3.8,2.3,11.3,,70,114
1984,8,DEN,Richard Anderson,23,4,,37,7.3,18.3,0.4,0.0,1.2,0.0,7.3,17.1,0.43,4.9,7.3,0.67,1.2,9.8,11.0,6.1,0.0,1.2,1.2,7.3,19.6,,106,116
