SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1984,7,DAL,Rolando Blackman,24,10,,397,12.0,22.6,0.53,0.0,0.0,,12.0,22.6,0.53,6.8,8.1,0.84,1.9,3.4,5.3,5.2,0.8,0.5,3.1,1.9,30.8,,118,116
1984,7,DAL,Jay Vincent,24,10,,353,7.0,18.0,0.39,0.0,0.1,0.0,7.0,17.8,0.39,8.1,9.0,0.9,4.2,5.9,10.2,2.8,1.0,0.1,3.6,5.2,22.0,,104,114
1984,7,DAL,Mark Aguirre,24,10,,350,12.9,26.9,0.48,0.0,0.7,0.0,12.9,26.2,0.49,6.4,8.3,0.77,3.1,8.0,11.1,4.7,0.7,0.7,3.9,5.0,32.2,,107,113
1984,7,DAL,Brad Davis,28,10,,304,5.6,12.3,0.45,0.0,0.3,0.0,5.6,12.0,0.46,2.5,3.2,0.79,1.0,2.2,3.2,8.4,1.0,0.0,3.0,3.0,13.6,,102,117
1984,7,DAL,Pat Cummings,27,10,,300,8.0,19.6,0.41,0.0,0.0,,8.0,19.6,0.41,2.4,2.6,0.93,4.4,7.8,12.3,2.6,0.7,0.3,1.5,5.1,18.4,,103,114
1984,7,DAL,Derek Harper,22,10,,226,4.8,12.2,0.39,0.7,1.8,0.38,4.1,10.4,0.39,1.1,1.6,0.71,1.8,2.7,4.5,6.3,2.5,0.5,1.4,3.6,11.3,,105,113
1984,7,DAL,Dale Ellis,23,8,,178,7.5,23.0,0.32,0.3,3.5,0.08,7.2,19.6,0.37,1.7,2.3,0.75,5.5,6.6,12.1,1.2,2.9,0.6,1.4,4.9,17.0,,87,110
1984,7,DAL,Kurt Nimphius,25,10,,178,4.0,9.5,0.42,0.0,0.0,,4.0,9.5,0.42,4.0,4.9,0.82,5.8,9.5,15.2,3.7,0.0,4.0,2.6,6.9,12.1,,111,111
1984,7,DAL,Bill Garnett,23,8,,74,10.4,20.8,0.5,0.7,0.7,1.0,9.7,20.1,0.48,4.8,5.5,0.88,6.9,8.3,15.2,2.8,0.0,1.4,0.7,6.9,26.3,,130,114
1984,7,DAL,Elston Turner,24,8,,53,6.8,19.3,0.35,0.0,0.0,,6.8,19.3,0.35,0.0,0.0,,4.8,4.8,9.7,7.7,5.8,1.0,2.9,3.9,13.5,,88,105
1984,7,DAL,Mark West,23,4,,32,8.0,14.4,0.56,0.0,0.0,,8.0,14.4,0.56,3.2,4.8,0.67,0.0,11.2,11.2,4.8,0.0,4.8,4.8,17.6,19.2,,97,108
1984,7,DAL,Roger Phegley,27,1,,5,0.0,41.0,0.0,0.0,10.2,0.0,0.0,30.7,0.0,20.5,20.5,1.0,0.0,0.0,0.0,10.2,20.5,0.0,0.0,0.0,20.5,,64,79
