TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
NYK,82,241.5,38.2,80.4,0.48,0.5,2.0,0.23,37.7,78.4,0.48,20.7,27.6,0.75,13.1,28.5,41.6,22.8,8.5,4.9,20.5,25.8,97.5
WAB,82,241.5,40.2,85.9,0.47,0.5,2.0,0.23,39.8,83.9,0.47,18.4,25.4,0.72,13.6,30.7,44.2,22.8,8.5,6.8,18.8,24.1,99.3
PHO,82,240.6,40.3,88.6,0.46,0.5,2.4,0.22,39.8,86.2,0.46,20.8,27.7,0.75,14.8,28.4,43.1,24.2,8.7,4.2,19.0,24.9,102.0
MIL,82,241.8,40.7,89.2,0.46,0.5,2.5,0.18,40.2,86.7,0.46,20.3,27.4,0.74,15.9,28.6,44.5,24.9,7.6,3.7,18.6,26.2,102.2
ALT,82,241.2,41.3,87.8,0.47,0.5,2.0,0.24,40.8,85.8,0.48,19.6,27.3,0.72,15.9,31.4,47.2,23.5,8.0,4.7,17.9,24.2,102.6
NJN,82,240.3,40.6,84.9,0.48,0.5,2.5,0.22,40.0,82.4,0.49,21.3,28.9,0.74,13.4,26.5,40.0,24.1,10.5,6.0,22.8,26.0,103.0
PHI,82,241.8,42.0,91.1,0.46,0.7,3.0,0.22,41.3,88.1,0.47,19.8,27.5,0.72,16.2,27.6,43.8,25.5,9.2,6.2,19.4,27.4,104.4
CLE,82,240.9,41.2,84.3,0.49,0.4,1.8,0.22,40.8,82.5,0.5,21.7,29.2,0.74,11.9,29.0,40.9,24.5,7.6,5.3,15.5,22.3,104.6
POR,82,240.9,42.7,87.9,0.49,0.7,2.3,0.29,42.0,85.6,0.49,19.2,25.0,0.77,13.7,28.8,42.6,25.3,8.0,6.1,18.9,27.2,105.3
BOS,82,241.8,42.4,90.3,0.47,0.6,2.2,0.27,41.8,88.1,0.48,21.3,28.1,0.76,14.5,29.2,43.6,24.7,8.5,4.1,19.6,26.1,106.7
SEA,82,241.5,43.2,93.9,0.46,0.6,2.4,0.25,42.6,91.5,0.47,19.7,26.6,0.74,16.0,29.2,45.3,26.2,8.9,4.4,17.6,26.2,106.8
LAL,82,240.6,45.5,92.9,0.49,0.7,2.6,0.26,44.9,90.3,0.5,17.7,24.5,0.72,15.8,26.4,42.2,29.1,9.3,4.6,19.0,22.7,109.5
SAS,82,241.2,44.6,91.8,0.48,0.6,2.5,0.25,43.9,89.4,0.49,20.9,27.3,0.77,14.1,27.6,41.7,28.4,8.0,5.6,17.4,26.8,110.7
HOU,82,240.6,44.4,88.3,0.5,0.4,1.5,0.26,44.0,86.8,0.51,21.7,29.0,0.75,14.6,33.0,47.7,27.5,9.4,5.0,18.3,23.6,110.9
GSW,82,241.2,45.2,88.5,0.51,0.5,2.0,0.25,44.7,86.5,0.52,21.4,29.2,0.73,15.2,30.4,45.7,26.5,9.2,6.0,20.6,24.7,112.3
KCK,82,241.2,43.1,88.4,0.49,0.5,2.3,0.21,42.6,86.1,0.49,25.7,35.2,0.73,15.2,29.3,44.5,24.4,9.9,5.4,20.9,27.4,112.3
DET,82,242.4,46.4,93.6,0.5,0.3,2.2,0.12,46.1,91.4,0.5,20.1,27.9,0.72,15.4,31.6,47.1,27.5,9.3,6.8,19.3,28.4,113.1
DAL,82,240.6,45.8,91.2,0.5,0.6,2.5,0.26,45.2,88.8,0.51,20.8,28.6,0.73,14.8,29.7,44.5,27.9,7.4,6.9,16.9,27.2,113.1
UTA,82,240.9,46.3,96.7,0.48,0.6,2.4,0.24,45.7,94.3,0.48,20.1,27.9,0.72,17.5,32.6,50.1,26.9,10.1,5.5,19.5,25.6,113.2
SDC,82,241.8,44.5,84.3,0.53,0.4,1.6,0.25,44.1,82.7,0.53,23.9,32.0,0.75,13.4,28.8,42.2,25.7,9.6,6.3,21.0,23.9,113.4
IND,82,241.8,46.0,88.8,0.52,0.5,1.7,0.28,45.5,87.1,0.52,22.1,29.4,0.75,14.7,31.3,46.0,27.3,9.3,5.4,20.0,23.0,114.5
CHI,82,242.7,46.5,94.0,0.5,0.6,2.1,0.26,46.0,91.9,0.5,22.3,29.7,0.75,14.6,30.0,44.5,27.2,10.3,7.7,17.8,27.6,115.9
DEN,82,240.6,50.0,99.0,0.5,0.9,3.1,0.28,49.1,95.9,0.51,21.8,29.2,0.75,16.7,32.9,49.6,29.1,8.9,7.5,20.0,28.7,122.6
