TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
SAS,82,240.3,35.7,81.8,0.44,6.6,19.9,0.33,29.1,61.9,0.47,14.9,19.6,0.76,9.1,31.4,40.5,20.8,7.2,3.9,14.8,19.5,92.9
UTA,82,243.4,35.6,79.9,0.45,7.9,22.2,0.36,27.7,57.7,0.48,16.8,22.5,0.75,9.3,30.8,40.1,19.1,8.0,4.7,14.0,19.9,95.9
TOR,82,241.2,36.5,82.1,0.44,8.7,23.4,0.37,27.7,58.7,0.47,16.5,22.1,0.75,9.5,31.2,40.8,21.7,6.5,5.4,13.3,22.0,98.2
CLE,82,242.1,36.8,82.1,0.45,7.9,22.7,0.35,28.9,59.4,0.49,16.8,22.6,0.74,9.3,31.8,41.0,21.4,7.2,4.4,13.3,20.6,98.3
MIA,82,241.8,37.2,84.3,0.44,7.4,21.2,0.35,29.9,63.1,0.47,16.5,21.5,0.77,9.8,31.5,41.3,20.2,7.5,4.1,12.9,19.6,98.4
ALT,82,241.8,37.1,86.1,0.43,8.3,24.5,0.34,28.9,61.6,0.47,16.7,22.1,0.76,11.5,35.0,46.5,22.0,8.6,5.0,16.1,18.3,99.2
LAC,82,241.8,36.8,84.7,0.43,7.9,23.3,0.34,28.9,61.4,0.47,18.8,25.1,0.75,11.8,34.9,46.7,21.2,7.1,3.2,15.4,22.5,100.2
IND,82,242.4,37.4,84.9,0.44,8.3,24.8,0.33,29.1,60.1,0.48,17.4,23.2,0.75,10.7,33.8,44.5,20.8,7.7,4.5,15.8,20.4,100.5
CHO,82,242.1,37.8,85.0,0.44,8.9,25.4,0.35,28.9,59.6,0.48,16.3,21.2,0.77,8.9,35.8,44.7,23.2,6.7,5.5,13.5,20.4,100.7
NYK,82,241.5,38.0,85.8,0.44,7.6,22.4,0.34,30.3,63.4,0.48,17.5,23.2,0.75,10.9,33.3,44.2,20.8,7.2,4.2,11.3,18.5,101.1
