OPP_SEASON,OPP_TEAM ID,TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
2012,5,CHI,66,241.5,34.6,82.1,0.42,4.6,14.2,0.32,30.0,67.9,0.44,14.3,19.4,0.74,11.4,28.6,40.0,18.9,7.4,5.2,13.3,17.7,88.2
2012,2,BOS,66,241.5,33.4,79.7,0.42,5.2,16.9,0.31,28.2,62.8,0.45,17.2,22.7,0.76,11.8,31.4,43.2,18.7,7.8,4.6,15.7,18.4,89.3
2012,23,PHI,66,241.1,34.3,80.3,0.43,5.4,16.2,0.33,28.9,64.1,0.45,15.4,20.5,0.75,10.7,33.0,43.7,19.6,5.9,4.8,13.9,16.2,89.4
2012,16,MIA,66,243.0,34.6,79.8,0.43,7.3,20.0,0.36,27.4,59.8,0.46,16.0,22.1,0.72,11.0,28.7,39.8,19.7,8.3,4.2,16.8,20.5,92.5
2012,15,MEM,66,241.5,34.5,77.8,0.44,6.3,18.3,0.34,28.2,59.4,0.47,17.6,23.1,0.76,11.0,29.6,40.7,19.3,7.8,5.5,17.1,19.3,93.0
2012,1,ALT,66,244.9,36.1,81.3,0.44,5.9,17.2,0.34,30.1,64.1,0.47,15.1,20.1,0.75,10.8,31.5,42.3,20.5,7.5,4.7,15.1,19.1,93.2
2012,22,ORL,66,241.9,35.9,80.1,0.45,6.3,18.1,0.35,29.7,62.0,0.48,15.2,19.7,0.77,10.1,31.2,41.3,20.5,7.5,4.1,13.1,19.8,93.4
2012,19,NOH,66,241.5,34.9,78.6,0.44,6.4,20.3,0.32,28.5,58.3,0.49,17.1,22.5,0.76,11.1,28.9,40.0,20.9,7.9,5.8,13.9,18.7,93.4
2012,28,TOR,66,241.9,33.8,77.7,0.44,6.1,18.5,0.33,27.8,59.2,0.47,20.2,27.2,0.74,10.3,30.3,40.5,20.1,7.2,4.9,13.2,18.4,94.0
2012,12,IND,66,242.3,34.9,80.4,0.44,6.7,19.1,0.35,28.2,61.3,0.46,17.9,24.5,0.73,12.0,30.3,42.3,19.6,6.6,6.0,14.9,21.6,94.4
2012,20,NYK,66,241.5,35.1,79.4,0.44,6.7,18.8,0.36,28.4,60.6,0.47,17.7,24.1,0.74,10.9,31.0,41.8,18.9,8.1,5.1,17.0,21.8,94.7
2012,7,DAL,66,243.4,35.6,81.7,0.44,7.2,20.7,0.35,28.4,60.9,0.47,16.5,22.1,0.75,11.0,32.9,43.9,20.5,8.5,4.0,14.7,18.4,94.8
2012,13,LAC,66,241.9,34.5,77.2,0.45,7.0,19.1,0.36,27.6,58.1,0.47,19.0,25.4,0.75,10.8,29.0,39.8,20.7,6.0,4.5,14.6,21.2,95.0
2012,9,DET,66,241.9,36.0,78.0,0.46,6.0,16.9,0.36,30.0,61.1,0.49,17.6,23.0,0.76,10.7,30.1,40.7,22.5,8.5,5.3,14.5,19.4,95.7
2012,14,LAL,66,243.4,37.8,86.4,0.44,6.7,19.3,0.35,31.0,67.1,0.46,13.7,18.4,0.74,11.5,29.5,41.0,21.9,8.4,4.6,11.3,20.2,95.9
