SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1993,24,PHO,Dan Majerle,27,24,24,1071,6.5,15.0,0.43,2.6,6.6,0.39,3.9,8.4,0.46,2.3,3.3,0.7,1.4,5.4,6.8,4.3,1.6,1.4,1.5,2.8,17.9,,115,111
1993,24,PHO,Charles Barkley,29,24,24,1026,11.6,24.3,0.48,0.5,2.3,0.22,11.1,22.0,0.5,8.5,11.0,0.77,4.7,11.8,16.4,5.1,2.0,1.3,2.5,3.7,32.2,,119,106
1993,24,PHO,Kevin Johnson,26,23,23,914,8.1,16.9,0.48,0.0,0.2,0.0,8.1,16.7,0.48,7.0,8.8,0.8,0.6,2.9,3.5,10.3,2.0,0.7,4.8,3.2,23.2,,109,113
1993,24,PHO,Danny Ainge,33,24,0,591,5.6,14.9,0.38,2.9,7.0,0.41,2.7,7.9,0.34,3.0,3.4,0.87,1.8,3.5,5.3,4.9,1.1,0.2,1.9,5.3,17.1,,112,114
1993,24,PHO,Oliver Miller,22,24,0,513,7.2,12.2,0.59,0.0,0.2,0.0,7.2,12.0,0.6,3.1,5.5,0.56,3.3,9.2,12.5,5.1,2.1,6.0,4.2,7.7,17.4,,106,103
1993,24,PHO,Richard Dumas,23,23,20,499,11.1,21.2,0.52,0.0,0.2,0.0,11.1,20.9,0.53,3.8,5.1,0.76,3.7,3.0,6.7,2.5,2.2,1.3,2.8,5.4,26.0,,111,112
1993,24,PHO,Mark West,32,24,24,469,4.7,8.7,0.54,0.0,0.0,,4.7,8.7,0.54,3.1,5.1,0.61,4.0,7.0,10.9,1.2,0.4,3.6,1.9,7.6,12.6,,114,110
1993,24,PHO,Tom Chambers,33,24,1,376,8.8,22.7,0.39,0.3,0.7,0.4,8.5,22.0,0.39,6.1,7.4,0.82,3.2,5.8,8.9,1.7,0.8,1.4,3.6,8.0,23.9,,94,112
1993,24,PHO,Cedric Ceballos,23,16,3,185,11.2,19.6,0.57,0.0,0.0,,11.2,19.6,0.57,4.5,6.2,0.73,3.6,6.7,10.3,3.6,1.4,2.0,1.4,3.4,26.8,,126,110
1993,24,PHO,Frank Johnson,34,22,0,172,6.6,15.0,0.44,0.3,0.9,0.33,6.3,14.1,0.45,7.5,8.7,0.86,0.9,2.4,3.3,5.1,1.8,0.0,2.1,7.8,21.1,,117,114
1993,24,PHO,Negele Knight,25,9,1,34,13.7,24.3,0.56,0.0,0.0,,13.7,24.3,0.56,0.0,0.0,,1.5,3.0,4.6,10.7,0.0,1.5,4.6,1.5,27.4,,109,116
1993,24,PHO,Jerrod Mustaf,23,7,0,10,15.5,25.9,0.6,0.0,0.0,,15.5,25.9,0.6,0.0,0.0,,0.0,10.3,10.3,0.0,0.0,5.2,0.0,0.0,31.0,,119,108
