Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1988,24,PHO,Phoenix Suns,Jeff Hornacek,24,82,49,2243,6.5,12.8,0.51,0.4,1.2,0.29,6.1,11.6,0.53,3.2,3.9,0.82,1.5,4.0,5.5,11.4,2.3,0.2,3.3,3.2,16.5,,115,112
1988,24,PHO,Phoenix Suns,Eddie Johnson,28,73,59,2177,11.6,24.2,0.48,0.5,2.0,0.26,11.1,22.1,0.5,4.4,5.2,0.85,2.6,4.3,6.9,3.9,0.7,0.2,3.0,4.1,28.2,,107,115
1988,24,PHO,Phoenix Suns,Walter Davis,33,68,48,1951,11.9,25.1,0.47,0.9,2.3,0.38,11.0,22.7,0.48,5.0,5.6,0.89,0.8,3.1,3.9,6.8,2.1,0.1,3.1,3.2,29.6,,110,113
1988,24,PHO,Phoenix Suns,Armen Gilliam,23,55,53,1807,9.0,18.9,0.48,0.0,0.0,,9.0,18.9,0.48,3.4,5.1,0.68,3.5,7.9,11.4,1.9,1.5,0.8,3.2,3.8,21.4,,99,110
1988,24,PHO,Phoenix Suns,Alvan Adams,33,82,25,1646,7.2,14.6,0.5,0.0,0.1,0.5,7.2,14.5,0.5,3.1,3.7,0.84,3.4,7.1,10.5,5.3,2.4,1.2,4.0,7.1,17.6,,103,109
1988,24,PHO,Phoenix Suns,Jay Humphries,25,50,33,1557,8.0,14.7,0.55,0.1,0.5,0.19,7.9,14.3,0.56,3.1,4.2,0.74,1.3,3.3,4.6,10.8,1.9,0.1,3.3,4.7,19.3,,116,113
1988,24,PHO,Phoenix Suns,Larry Nance,28,40,34,1477,10.5,19.8,0.53,0.1,0.2,0.4,10.4,19.6,0.53,6.0,8.0,0.75,3.8,8.8,12.7,3.9,1.4,3.1,3.4,4.9,27.1,,113,108
1988,24,PHO,Phoenix Suns,James Edwards,32,43,42,1377,8.7,18.7,0.47,0.0,0.0,0.0,8.7,18.6,0.47,5.7,9.0,0.64,3.3,8.2,11.5,2.5,0.5,1.1,3.7,5.5,23.2,,100,112
1988,24,PHO,Phoenix Suns,Mark West,27,29,29,915,6.9,13.3,0.52,0.0,0.1,0.0,6.9,13.3,0.52,3.9,6.8,0.57,4.3,8.3,12.5,1.2,1.1,3.5,4.3,5.5,17.8,,96,108
1988,24,PHO,Phoenix Suns,Kevin Johnson,21,28,25,874,7.2,15.5,0.46,0.2,0.8,0.2,7.0,14.7,0.48,4.6,5.4,0.86,1.4,5.0,6.5,13.2,2.3,0.4,3.5,3.2,19.1,,114,111
1988,24,PHO,Phoenix Suns,James Bailey,30,65,0,869,5.9,13.2,0.45,0.0,0.2,0.0,5.9,12.9,0.46,3.8,4.9,0.79,4.0,7.5,11.5,2.3,0.9,1.5,3.8,9.8,15.7,,97,111
1988,24,PHO,Phoenix Suns,Tyrone Corbin,25,30,1,591,7.9,16.3,0.49,0.1,0.2,0.33,7.9,16.0,0.49,2.6,3.2,0.82,3.9,6.6,10.4,4.7,2.4,0.2,3.0,4.3,18.6,,106,110
1988,24,PHO,Phoenix Suns,Bernard Thompson,25,37,7,566,6.2,13.3,0.46,0.0,0.2,0.0,6.2,13.2,0.47,3.6,5.0,0.72,3.4,3.0,6.4,4.3,1.8,0.1,1.8,6.3,16.0,,112,114
1988,24,PHO,Phoenix Suns,Mike Sanders,27,35,5,466,8.3,17.4,0.48,0.0,0.1,0.0,8.3,17.3,0.48,4.0,5.4,0.74,2.8,3.5,6.3,3.1,1.8,0.4,2.7,7.4,20.7,,105,113
1988,24,PHO,Phoenix Suns,Craig Hodges,27,23,0,462,8.9,18.3,0.49,3.2,5.9,0.54,5.7,12.4,0.46,2.8,3.3,0.84,0.7,2.6,3.3,4.5,1.6,0.2,2.9,3.9,23.8,,114,114
1988,24,PHO,Phoenix Suns,Jeff Cook,31,33,0,359,1.8,7.8,0.24,0.0,0.1,0.0,1.8,7.7,0.24,3.0,3.7,0.82,4.9,9.1,14.0,1.8,1.2,1.1,1.8,8.5,6.7,,92,110
1988,24,PHO,Phoenix Suns,Winston Crite,22,29,0,258,6.2,12.5,0.5,0.0,0.0,,6.2,12.5,0.5,3.5,4.6,0.76,5.0,6.8,11.8,2.8,0.9,1.5,4.6,7.7,16.0,,98,111
1988,24,PHO,Phoenix Suns,Bill Martin,25,10,0,101,7.5,23.9,0.31,0.0,0.5,0.0,7.5,23.5,0.32,3.8,6.1,0.62,4.2,8.5,12.7,2.8,2.3,0.0,4.2,7.5,18.8,,77,109
1988,24,PHO,Phoenix Suns,Ron Moore,26,5,0,34,7.0,22.3,0.31,0.0,0.0,,7.0,22.3,0.31,5.6,5.6,1.0,0.0,8.4,8.4,0.0,4.2,0.0,1.4,18.1,19.5,,85,105
