PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Mike Mitchell,24.0,82.0,2802.0,0.523,0.525,0.0,0.523,0.787,0.557,0.231,0.004,109.0,108.0,,108.0,103.0,105.0,75.0,13.0,110.1,84.8
Randy Smith,31.0,82.0,2677.0,0.452,0.46299999999999997,0.18899999999999997,0.456,0.823,0.49700000000000005,0.213,0.04,94.0,95.0,67.0,94.0,108.0,93.0,70.0,131.0,-80.3,-100.4
Dave Robisch,30.0,82.0,2670.0,0.52,0.522,0.0,0.52,0.8420000000000001,0.579,0.35,0.003,108.0,107.0,,107.0,110.0,109.0,114.0,10.0,64.7,102.3
Kenny Carr,24.0,74.0,1781.0,0.493,0.496,0.0,0.493,0.655,0.527,0.34700000000000003,0.005,102.0,102.0,,102.0,86.0,99.0,113.0,17.0,11.4,-8.1
Austin Carr,31.0,77.0,1595.0,0.465,0.466,0.33299999999999996,0.466,0.738,0.49700000000000005,0.205,0.006999999999999999,97.0,95.0,119.0,96.0,97.0,94.0,67.0,23.0,-33.2,-63.0
Campy Russell,28.0,41.0,1331.0,0.451,0.456,0.111,0.452,0.745,0.508,0.379,0.013999999999999999,94.0,93.0,40.0,93.0,97.0,96.0,124.0,47.0,-43.1,-34.2
Foots Walker,28.0,76.0,2422.0,0.45399999999999996,0.46,0.111,0.455,0.802,0.527,0.428,0.016,94.0,94.0,40.0,94.0,105.0,99.0,139.0,52.0,-34.9,-5.2
Bill Willoughby,22.0,78.0,1447.0,0.479,0.48700000000000004,0.111,0.48,0.7559999999999999,0.522,0.278,0.02,100.0,100.0,40.0,99.0,99.0,98.0,91.0,64.0,-5.0,-10.0
John Lambert,27.0,74.0,1324.0,0.41200000000000003,0.41600000000000004,0.0,0.41200000000000003,0.723,0.45299999999999996,0.253,0.006999999999999999,86.0,85.0,,85.0,95.0,85.0,82.0,25.0,-58.6,-69.3
Willie Smith,26.0,62.0,1051.0,0.384,0.426,0.239,0.41100000000000003,0.769,0.44299999999999995,0.165,0.225,80.0,87.0,85.0,85.0,101.0,83.0,54.0,737.0,-47.0,-60.0
Don Ford,27.0,21.0,419.0,0.451,0.451,0.5,0.455,0.88,0.493,0.174,0.013999999999999999,94.0,92.0,178.0,94.0,115.0,93.0,57.0,45.0,-8.9,-11.7
Earl Tatum,26.0,33.0,225.0,0.38299999999999995,0.386,0.33299999999999996,0.39399999999999996,0.579,0.415,0.20199999999999999,0.064,80.0,79.0,119.0,81.0,76.0,78.0,66.0,209.0,-17.3,-23.8
Bingo Smith,33.0,8.0,135.0,0.45799999999999996,0.478,0.2,0.465,0.875,0.49,0.111,0.069,95.0,98.0,71.0,96.0,115.0,92.0,36.0,227.0,-3.0,-6.2
Walt Frazier,34.0,3.0,27.0,0.364,0.4,0.0,0.364,1.0,0.42100000000000004,0.182,0.091,76.0,82.0,,75.0,131.0,79.0,59.0,297.0,-2.7,-2.6
Butch Lee,23.0,3.0,24.0,0.182,0.182,,0.182,0.0,0.175,0.091,0.0,38.0,37.0,,37.0,,33.0,30.0,,-6.7,-8.2
Team,,,,0.473,0.48,0.193,0.475,0.7859999999999999,0.52,0.27,0.025,98.0,98.0,69.0,98.0,103.0,98.0,88.0,81.0,-147.3,-181.3
League Average,,,,0.48100000000000004,0.488,0.28,0.486,0.764,0.531,0.307,0.031,,,,,,,,,,
