PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Mike Newlin,31.0,78.0,2510.0,0.46,0.48100000000000004,0.29600000000000004,0.47700000000000004,0.884,0.54,0.312,0.114,95.0,99.0,106.0,98.0,116.0,102.0,102.0,374.0,-24.2,27.7
Eddie Jordan,25.0,82.0,2657.0,0.43,0.439,0.25,0.436,0.779,0.48100000000000004,0.254,0.047,89.0,90.0,89.0,90.0,102.0,90.0,83.0,154.0,-102.1,-114.3
Calvin Natt,23.0,53.0,2046.0,0.479,0.48,0.2,0.48,0.711,0.52,0.319,0.006,99.0,99.0,71.0,99.0,93.0,98.0,104.0,19.0,-11.0,-23.0
Cliff Robinson,19.0,70.0,1661.0,0.469,0.47,0.25,0.47,0.6940000000000001,0.506,0.29,0.005,97.0,96.0,89.0,97.0,91.0,95.0,95.0,16.0,-26.3,-47.3
George Johnson,31.0,81.0,2119.0,0.457,0.45799999999999996,0.0,0.457,0.706,0.489,0.23199999999999998,0.002,95.0,94.0,,94.0,92.0,92.0,76.0,6.0,-31.6,-50.9
Rich Kelley,26.0,57.0,1466.0,0.466,0.47,0.0,0.466,0.7879999999999999,0.5589999999999999,0.627,0.006999999999999999,97.0,96.0,,96.0,103.0,105.0,204.0,25.0,-15.7,28.1
Jan van Breda Kolff,28.0,82.0,2399.0,0.46299999999999997,0.46799999999999997,0.35,0.47100000000000003,0.8390000000000001,0.5329999999999999,0.33799999999999997,0.044000000000000004,96.0,96.0,125.0,97.0,110.0,100.0,110.0,143.0,-14.0,1.8
Winford Boynes,22.0,64.0,1102.0,0.473,0.47700000000000004,0.0,0.473,0.765,0.518,0.29100000000000004,0.009000000000000001,98.0,98.0,,97.0,100.0,98.0,95.0,28.0,-11.7,-13.8
John Williamson,28.0,28.0,771.0,0.447,0.44799999999999995,0.42100000000000004,0.456,0.8640000000000001,0.496,0.191,0.040999999999999995,93.0,92.0,150.0,94.0,113.0,93.0,62.0,135.0,-27.9,-35.0
Maurice Lucas,27.0,22.0,708.0,0.49,0.498,0.0,0.49,0.774,0.5479999999999999,0.391,0.015,102.0,102.0,,101.0,101.0,103.0,127.0,50.0,2.4,10.0
Roger Phegley,23.0,28.0,541.0,0.485,0.484,0.5,0.488,0.879,0.551,0.319,0.015,101.0,99.0,178.0,101.0,115.0,104.0,104.0,50.0,1.4,11.9
Robert Smith,24.0,59.0,736.0,0.445,0.461,0.308,0.461,0.862,0.529,0.34299999999999997,0.102,92.0,94.0,110.0,95.0,113.0,99.0,112.0,335.0,-12.8,-1.6
Bob Elliott,24.0,54.0,722.0,0.44299999999999995,0.446,0.25,0.445,0.684,0.521,0.667,0.018000000000000002,92.0,92.0,89.0,92.0,90.0,98.0,217.0,57.0,-18.5,-6.3
Phil Jackson,34.0,16.0,194.0,0.63,0.659,0.0,0.63,0.7,0.645,0.217,0.043,131.0,135.0,,130.0,92.0,121.0,71.0,142.0,13.3,11.4
Ralph Simpson,30.0,8.0,81.0,0.38299999999999995,0.4,0.0,0.38299999999999995,0.5,0.39899999999999997,0.213,0.043,80.0,82.0,,79.0,65.0,75.0,69.0,139.0,-9.7,-13.6
Tim Bassett,28.0,7.0,92.0,0.364,0.364,,0.364,0.667,0.44,0.545,0.0,76.0,75.0,,75.0,87.0,83.0,178.0,,-5.4,-5.0
Team,,,,0.457,0.465,0.27899999999999997,0.46299999999999997,0.7809999999999999,0.513,0.303,0.048,95.0,95.0,99.0,95.0,102.0,97.0,99.0,156.0,-224.8,-205.3
League Average,,,,0.48100000000000004,0.488,0.28,0.486,0.764,0.531,0.307,0.031,,,,,,,,,,
