Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2005,23,1376,PHI,Philadelphia 76Ers,Andre Iguodala,"January 28, 1984",21.0,NBA,SG,82.0,2686.0,13.5,0.58,0.26,0.38,3.7,15.9,9.7,14.3,2.6,1.4,17.9,12.8,2.7,4.0,6.6,0.12,-0.7,2.1,1.4,2.3
2006,23,1376,PHI,Philadelphia 76Ers,Andre Iguodala,"January 28, 1984",22.0,NBA,SF,82.0,3086.0,14.8,0.6,0.23,0.51,4.4,13.8,9.1,12.9,2.3,0.5,15.4,14.7,4.9,2.6,7.5,0.12,0.2,0.4,0.6,2.0
2007,23,1376,PHI,Philadelphia 76Ers,Andre Iguodala,"January 28, 1984",23.0,NBA,SG,76.0,3062.0,18.1,0.56,0.16,0.56,3.0,14.0,8.5,23.8,2.6,0.8,17.5,22.6,4.1,3.6,7.7,0.12,1.3,1.1,2.4,3.4
2008,23,1376,PHI,Philadelphia 76Ers,Andre Iguodala,"January 28, 1984",24.0,NBA,SF,82.0,3242.0,19.0,0.54,0.24,0.4,3.1,13.4,8.2,20.3,2.8,1.2,12.5,23.8,5.3,4.4,9.6,0.14,2.5,1.5,4.0,4.9
2009,23,1376,PHI,Philadelphia 76Ers,Andre Iguodala,"January 28, 1984",25.0,NBA,SF,82.0,3269.0,18.4,0.56,0.23,0.45,3.3,14.0,8.6,22.4,2.1,0.9,13.9,22.3,5.6,3.5,9.2,0.13,2.6,0.6,3.2,4.3
2010,23,1376,PHI,Philadelphia 76Ers,Andre Iguodala,"January 28, 1984",26.0,NBA,SF,82.0,3193.0,17.8,0.54,0.27,0.38,3.0,16.8,9.8,23.7,2.3,1.4,14.3,21.8,4.0,2.8,6.7,0.1,2.0,0.4,2.4,3.5
2011,23,1376,PHI,Philadelphia 76Ers,Andre Iguodala,"January 28, 1984",27.0,NBA,SF,67.0,2469.0,17.2,0.53,0.24,0.4,2.8,15.2,9.0,26.4,2.1,1.2,13.4,19.2,3.3,3.5,6.7,0.13,1.7,1.6,3.2,3.2
2012,23,1376,PHI,Philadelphia 76Ers,Andre Iguodala,"January 28, 1984",28.0,NBA,SF,62.0,2209.0,17.6,0.54,0.3,0.31,2.8,16.4,9.6,23.7,2.6,1.0,13.8,17.7,3.1,4.2,7.3,0.16,1.5,2.5,4.0,3.3
2013,8,1376,DEN,Denver Nuggets,Andre Iguodala,"January 28, 1984",29.0,NBA,SG,80.0,2779.0,15.2,0.52,0.33,0.31,3.4,13.5,8.5,22.4,2.5,1.5,17.1,18.8,2.4,3.2,5.6,0.1,1.2,1.4,2.6,3.3
2014,10,1376,GSW,Golden State Warriors,Andre Iguodala,"January 28, 1984",30.0,NBA,SF,63.0,2040.0,13.7,0.57,0.38,0.29,2.9,12.6,7.8,18.2,2.3,0.7,16.2,13.3,2.7,3.1,5.8,0.14,-0.1,2.4,2.3,2.2
2015,10,1376,GSW,Golden State Warriors,Andre Iguodala,"January 28, 1984",31.0,NBA,SF,77.0,2069.0,12.3,0.55,0.43,0.23,2.4,10.8,6.7,14.6,2.1,0.9,13.9,13.3,2.3,2.8,5.1,0.12,-0.4,1.4,0.9,1.5
2016,10,1376,GSW,Golden State Warriors,Andre Iguodala,"January 28, 1984",32.0,NBA,SF,65.0,1732.0,12.2,0.56,0.42,0.23,3.4,12.4,8.2,16.3,2.0,0.8,16.3,12.1,2.3,2.1,4.4,0.12,-0.2,1.3,1.1,1.4
2017,10,1376,GSW,Golden State Warriors,Andre Iguodala,"January 28, 1984",33.0,NBA,SF,76.0,1998.0,14.3,0.62,0.43,0.25,3.0,13.1,8.3,16.7,1.8,1.5,11.2,11.2,4.1,2.9,6.9,0.17,0.8,1.7,2.5,2.3
2018,10,1376,GSW,Golden State Warriors,Andre Iguodala,"January 28, 1984",34.0,NBA,SF,64.0,1622.0,11.2,0.54,0.37,0.27,3.7,12.6,8.5,16.2,1.6,1.9,15.8,11.5,1.6,1.6,3.2,0.09,-1.1,0.8,-0.3,0.7
2019,10,1376,GSW,Golden State Warriors,Andre Iguodala,"January 28, 1984",35.0,NBA,SF,68.0,1578.0,13.1,0.59,0.48,0.22,3.4,13.2,8.5,16.8,1.8,2.7,13.6,10.4,2.4,1.8,4.2,0.13,0.1,1.7,1.8,1.5
2020,16,1376,MIA,Miami Heat,Andre Iguodala,"January 28, 1984",36.0,NBA,SF,21.0,418.0,10.5,0.51,0.53,0.17,4.7,15.7,10.4,16.9,1.6,5.0,21.6,12.7,0.0,0.6,0.6,0.06,-1.9,1.4,-0.5,0.2
2021,16,1376,MIA,Miami Heat,Andre Iguodala,"January 28, 1984",37.0,NBA,SF,22.0,468.0,9.7,0.5,0.79,0.12,2.6,16.8,10.1,16.2,2.7,1.9,17.9,11.7,-0.1,0.7,0.6,0.06,-2.2,2.5,0.3,0.3
