Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,7,204,DAL,Dallas Mavericks,21.0,NBA,PG,4,0,31,10.5,22.1,0.47,2.3,7.0,0.33,8.1,15.1,0.54,1.2,3.5,0.33,2.3,4.6,7.0,4.6,0.0,0.0,3.5,5.8,24.4
2012,7,204,DAL,Dallas Mavericks,23.0,NBA,PG,2,0,12,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,3.0,6.0,0.0,0.0,3.0,3.0,0.0
