PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rudy Gay,23.0,80,80.0,3175,600,1288,0.466,66,202,0.327,534,1086,0.49200000000000005,0.491,301,400,0.753,115,357,472,153,118,64,169,201,1567
O.J. Mayo,22.0,82,82.0,3113,542,1183,0.45799999999999996,136,355,0.38299999999999995,406,828,0.49,0.516,212,262,0.809,61,250,311,242,98,17,176,174,1432
Zach Randolph,28.0,81,81.0,3051,652,1336,0.488,15,52,0.28800000000000003,637,1284,0.496,0.494,362,465,0.778,330,620,950,149,80,34,174,226,1681
Mike Conley,22.0,80,80.0,2569,369,830,0.445,82,212,0.387,287,618,0.46399999999999997,0.494,139,187,0.743,30,161,191,425,109,12,170,178,959
Marc Gasol,25.0,69,69.0,2469,378,651,0.581,0,1,0.0,378,650,0.5820000000000001,0.581,252,376,0.67,208,432,640,165,69,109,135,254,1008
Sam Young,24.0,80,1.0,1321,224,497,0.451,11,56,0.196,213,441,0.483,0.462,136,175,0.777,77,124,201,52,34,20,94,106,595
Hasheem Thabeet,22.0,68,13.0,883,77,131,0.588,0,0,,77,131,0.588,0.588,54,93,0.581,85,158,243,11,15,89,43,162,208
Marcus Williams,24.0,62,1.0,872,104,271,0.384,24,81,0.29600000000000004,80,190,0.42100000000000004,0.428,37,55,0.6729999999999999,13,80,93,161,32,1,74,43,269
DeMarre Carroll,23.0,71,1.0,795,88,222,0.396,0,6,0.0,88,216,0.40700000000000003,0.396,33,53,0.623,53,97,150,33,28,9,24,107,209
Jamaal Tinsley,31.0,38,1.0,589,52,140,0.371,7,39,0.179,45,101,0.446,0.396,22,27,0.815,11,55,66,108,33,5,63,67,133
Darrell Arthur,21.0,32,1.0,457,63,146,0.43200000000000005,0,1,0.0,63,145,0.434,0.43200000000000005,17,30,0.5670000000000001,37,73,110,15,14,14,22,60,143
Hamed Haddadi,24.0,36,0.0,240,24,62,0.387,0,3,0.0,24,59,0.40700000000000003,0.387,14,19,0.737,26,49,75,10,1,14,20,57,62
Steven Hunter,28.0,21,0.0,158,17,43,0.395,0,0,,17,43,0.395,0.395,19,36,0.528,18,24,42,0,1,10,9,10,53
Ronnie Brewer,24.0,5,0.0,80,3,13,0.231,0,0,,3,13,0.231,0.231,4,5,0.8,1,6,7,3,6,0,2,0,10
Allen Iverson,34.0,3,0.0,67,15,26,0.5770000000000001,1,1,1.0,14,25,0.56,0.596,6,12,0.5,1,3,4,11,1,0,7,5,37
Lester Hudson,25.0,9,0.0,61,14,35,0.4,2,11,0.182,12,24,0.5,0.429,6,7,0.857,4,6,10,5,5,1,5,5,36
Trey Gilder,25.0,2,0.0,5,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,0,1,0,0,0,2
Team Totals,,82,,19905,3223,6875,0.469,344,1020,0.337,2879,5855,0.49200000000000005,0.494,1614,2202,0.733,1070,2496,3566,1543,645,399,1248,1655,8404
