NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
34,Ray Allen,SG,6-5,205,1975-07-20,US,3,UConn
11,Rafer Alston,PG,6-2,171,1976-07-24,US,R,Fresno State
10,Sam Cassell,PG,6-3,185,1969-11-18,US,6,Florida State
15,Vinny Del Negro,PG,6-4,185,1966-08-09,US,9,NC State
9,Dale Ellis,SG,6-7,205,1960-08-06,US,16,Tennessee
21,Darvin Ham,SF,6-7,220,1973-07-23,US,2,Texas Tech
40,Ervin Johnson,C,6-11,245,1967-12-21,US,6,New Orleans
25,Danny Manning,PF,6-10,230,1966-05-17,US,11,Kansas
7,J.R. Reid,PF,6-9,247,1968-03-31,US,9,UNC
13,Glenn Robinson,SF,6-7,225,1973-01-10,US,5,Purdue
5,Tim Thomas,SF,6-10,230,1977-02-26,US,2,Villanova
54,Robert Traylor,PF,6-8,284,1977-02-01,US,1,Michigan
6,Mirsad Türkcan,PF,6-9,236,1976-06-07,RS,R,
42,Scott Williams,C,6-10,230,1968-03-21,US,9,UNC
3,Haywoode Workman,PG,6-2,180,1966-01-23,US,7,"Winston-Salem State, Oral Roberts"
