PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Julius Randle,23.0,82.0,2190.0,0.557,0.575,0.222,0.563,0.718,0.606,0.47,0.05,121.0,113.0,61.0,108.0,94.0,109.0,187.0,15.0,75.7,109.5
Kyle Kuzma,22.0,77.0,2401.0,0.45,0.511,0.366,0.527,0.7070000000000001,0.5489999999999999,0.2,0.418,98.0,100.0,101.0,101.0,92.0,99.0,79.0,124.0,12.0,-15.5
Kentavious Caldwell-Pope,24.0,74.0,2458.0,0.426,0.473,0.38299999999999995,0.526,0.789,0.561,0.243,0.52,93.0,93.0,106.0,101.0,103.0,101.0,97.0,154.0,7.2,9.4
Brook Lopez,29.0,74.0,1735.0,0.465,0.5489999999999999,0.345,0.536,0.703,0.557,0.19899999999999998,0.41,101.0,108.0,95.0,103.0,92.0,100.0,79.0,122.0,23.4,1.6
Brandon Ingram,20.0,59.0,1975.0,0.47,0.483,0.391,0.49700000000000005,0.6809999999999999,0.536,0.371,0.138,102.0,95.0,108.0,95.0,89.0,96.0,147.0,41.0,-36.2,-35.5
Jordan Clarkson,25.0,53.0,1256.0,0.44799999999999995,0.505,0.324,0.499,0.795,0.532,0.198,0.315,97.0,99.0,90.0,96.0,104.0,96.0,79.0,93.0,-29.3,-35.5
Lonzo Ball,20.0,52.0,1780.0,0.36,0.42,0.305,0.44,0.451,0.444,0.126,0.523,78.0,82.0,84.0,84.0,59.0,80.0,50.0,155.0,-91.9,-134.1
Josh Hart,22.0,63.0,1461.0,0.469,0.551,0.396,0.573,0.7020000000000001,0.596,0.251,0.525,102.0,108.0,109.0,110.0,92.0,107.0,100.0,156.0,39.1,32.9
Larry Nance,25.0,42.0,922.0,0.601,0.606,0.25,0.603,0.632,0.618,0.344,0.016,131.0,119.0,69.0,116.0,82.0,111.0,137.0,5.0,41.3,36.0
Isaiah Thomas,28.0,17.0,456.0,0.38299999999999995,0.429,0.327,0.456,0.9209999999999999,0.52,0.278,0.445,83.0,84.0,90.0,87.0,120.0,94.0,110.0,132.0,-29.6,-18.3
Tyler Ennis,23.0,54.0,683.0,0.42,0.47600000000000003,0.25,0.451,0.759,0.473,0.13,0.25,91.0,93.0,69.0,87.0,99.0,85.0,51.0,74.0,-31.5,-39.3
Corey Brewer,31.0,54.0,694.0,0.45399999999999996,0.5429999999999999,0.18600000000000003,0.47700000000000004,0.667,0.509,0.29600000000000004,0.25,99.0,106.0,51.0,91.0,87.0,92.0,118.0,74.0,-15.3,-18.3
Ivica Zubac,20.0,43.0,410.0,0.5,0.504,0.0,0.5,0.765,0.557,0.418,0.008,109.0,99.0,,96.0,100.0,100.0,166.0,2.0,-5.2,0.3
Alex Caruso,23.0,37.0,562.0,0.431,0.507,0.302,0.48700000000000004,0.7,0.519,0.259,0.371,94.0,99.0,84.0,93.0,91.0,93.0,103.0,110.0,-7.9,-9.7
Travis Wear,27.0,17.0,228.0,0.34700000000000003,0.32,0.36200000000000004,0.465,1.0,0.49700000000000005,0.111,0.653,75.0,63.0,100.0,89.0,130.0,89.0,44.0,194.0,-8.0,-9.0
Channing Frye,34.0,9.0,150.0,0.465,0.611,0.36,0.57,0.75,0.581,0.09300000000000001,0.581,101.0,120.0,100.0,109.0,98.0,104.0,37.0,173.0,4.2,2.2
Gary Payton II,25.0,11.0,115.0,0.415,0.46399999999999997,0.308,0.46299999999999997,0.16699999999999998,0.447,0.146,0.317,90.0,91.0,85.0,89.0,22.0,80.0,58.0,94.0,-4.7,-9.5
Andrew Bogut,33.0,24.0,216.0,0.68,0.68,,0.68,1.0,0.696,0.08,0.0,148.0,133.0,,130.0,130.0,125.0,32.0,,7.9,7.2
Andre Ingram,32.0,2.0,64.0,0.47100000000000003,0.375,0.556,0.618,1.0,0.655,0.17600000000000002,0.529,102.0,73.0,154.0,119.0,130.0,118.0,70.0,157.0,3.3,3.6
Thomas Bryant,20.0,15.0,72.0,0.381,0.636,0.1,0.405,0.556,0.441,0.429,0.47600000000000003,83.0,125.0,28.0,78.0,72.0,79.0,170.0,141.0,-4.9,-5.8
Vander Blue,25.0,5.0,45.0,0.2,0.33299999999999996,0.0,0.2,0.5,0.255,0.4,0.4,43.0,65.0,,38.0,65.0,46.0,159.0,119.0,-3.2,-3.5
Nigel Hayes,23.0,2.0,11.0,0.33299999999999996,1.0,0.0,0.33299999999999996,1.0,0.436,0.33299999999999996,0.667,72.0,196.0,,64.0,130.0,78.0,132.0,198.0,-1.1,-0.8
Derrick Williams,26.0,2.0,9.0,0.25,0.5,0.0,0.25,,0.25,0.0,0.5,54.0,98.0,,48.0,,45.0,,148.0,-2.2,-2.4
Luol Deng,32.0,1.0,13.0,0.5,0.5,,0.5,,0.5,0.0,0.0,109.0,98.0,,96.0,,90.0,,,-0.1,-0.2
Team,,,,0.45899999999999996,0.515,0.35200000000000004,0.519,0.7070000000000001,0.5489999999999999,0.268,0.34,100.0,101.0,97.0,100.0,92.0,99.0,106.0,101.0,-22.5,-90.4
League Average,,,,0.46,0.51,0.36200000000000004,0.521,0.767,0.556,0.252,0.337,,,,,,,,,,
