PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Tim Duncan,28,23,869,24.9,0.526,0.012,0.48200000000000004,12.2,26.6,19.6,14.8,0.5,4.3,10.7,31.1,,1.9,1.6,3.5,0.191,,4.0,1.5,5.5,1.6
Tony Parker,22,23,858,12.0,0.49,0.131,0.23800000000000002,1.8,7.2,4.6,22.3,1.1,0.2,14.9,26.0,,-0.2,0.7,0.6,0.032,,-1.5,-1.3,-2.7,-0.2
Bruce Bowen,33,23,814,5.4,0.48700000000000004,0.523,0.133,1.3,8.1,4.8,6.7,0.7,1.1,10.0,8.7,,0.3,0.7,1.0,0.06,,-2.4,1.5,-0.8,0.2
Manu Ginóbili,27,23,772,24.8,0.652,0.336,0.647,3.0,17.2,10.3,23.8,2.0,0.6,15.2,26.3,,3.0,1.2,4.2,0.26,,6.1,3.1,9.2,2.2
Robert Horry,34,23,618,17.9,0.591,0.521,0.252,9.1,14.9,12.0,12.7,1.9,2.3,9.9,15.2,,1.6,1.0,2.6,0.19899999999999998,,4.2,3.4,7.6,1.5
Brent Barry,33,23,555,10.5,0.617,0.629,0.2,2.9,9.0,6.0,12.6,1.5,0.5,19.1,11.9,,0.6,0.6,1.2,0.107,,0.0,1.5,1.6,0.5
Nazr Mohammed,27,23,528,16.3,0.5589999999999999,0.008,0.376,17.3,17.4,17.4,2.6,1.5,3.1,14.1,15.1,,0.9,0.9,1.7,0.158,,-0.1,1.5,1.3,0.4
Beno Udrih,22,21,241,7.7,0.46299999999999997,0.474,0.179,2.0,6.3,4.2,15.2,2.1,0.3,19.2,20.3,,-0.3,0.3,0.0,0.0,,-3.1,-0.2,-3.3,-0.1
Rasho Nesterović,28,15,114,5.6,0.38799999999999996,0.0,0.16699999999999998,11.8,15.3,13.6,2.6,0.5,3.1,23.7,6.9,,0.0,0.2,0.1,0.048,,-3.8,1.3,-2.5,0.0
Glenn Robinson,32,13,113,11.7,0.47600000000000003,0.222,0.37799999999999995,2.2,19.6,11.1,1.5,1.5,4.4,10.3,24.3,,0.0,0.2,0.2,0.073,,-3.8,1.6,-2.2,0.0
Devin Brown,26,12,60,10.0,0.455,0.35,0.35,2.0,11.6,6.9,8.3,0.9,0.0,4.2,18.8,,0.0,0.1,0.1,0.07,,0.4,0.0,0.4,0.0
Tony Massenburg,37,9,28,5.6,0.218,0.0,0.33299999999999996,17.4,29.1,23.4,0.0,0.0,0.0,0.0,11.5,,0.0,0.0,0.0,0.015,,-4.1,-3.1,-7.1,0.0
