Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1985,23,165,PHI,Philadelphia 76Ers,21.0,NBA,PF,13.0,2.0,408.0,75.0,139.0,0.54,4.0,6.0,0.67,71.0,133.0,0.53,0.55,40.0,63.0,0.64,52.0,92.0,144.0,26.0,23.0,15.0,35.0,49.0,194.0,,0.0
1986,23,165,PHI,Philadelphia 76Ers,22.0,NBA,PF,12.0,12.0,497.0,104.0,180.0,0.58,1.0,15.0,0.07,103.0,165.0,0.62,0.58,91.0,131.0,0.7,60.0,129.0,189.0,67.0,27.0,15.0,65.0,52.0,300.0,,1.0
1987,23,165,PHI,Philadelphia 76Ers,23.0,NBA,PF,5.0,5.0,210.0,43.0,75.0,0.57,1.0,8.0,0.12,42.0,67.0,0.63,0.58,36.0,45.0,0.8,27.0,36.0,63.0,12.0,4.0,8.0,22.0,21.0,123.0,,0.0
1989,23,165,PHI,Philadelphia 76Ers,25.0,NBA,PF,3.0,3.0,135.0,29.0,45.0,0.64,1.0,5.0,0.2,28.0,40.0,0.7,0.66,22.0,31.0,0.71,8.0,27.0,35.0,16.0,5.0,2.0,11.0,9.0,81.0,,0.0
1990,23,165,PHI,Philadelphia 76Ers,26.0,NBA,SF,10.0,10.0,419.0,88.0,162.0,0.54,6.0,18.0,0.33,82.0,144.0,0.57,0.56,65.0,108.0,0.6,66.0,89.0,155.0,43.0,8.0,7.0,30.0,36.0,247.0,,0.0
1991,23,165,PHI,Philadelphia 76Ers,27.0,NBA,SF,8.0,8.0,326.0,74.0,125.0,0.59,2.0,20.0,0.1,72.0,105.0,0.69,0.6,49.0,75.0,0.65,31.0,53.0,84.0,48.0,15.0,3.0,25.0,23.0,199.0,,1.0
1993,24,165,PHO,Phoenix Suns,29.0,NBA,PF,24.0,24.0,1026.0,230.0,482.0,0.48,10.0,45.0,0.22,220.0,437.0,0.5,0.49,168.0,218.0,0.77,93.0,233.0,326.0,102.0,39.0,25.0,50.0,73.0,638.0,,2.0
1994,24,165,PHO,Phoenix Suns,30.0,NBA,PF,10.0,10.0,425.0,110.0,216.0,0.51,14.0,40.0,0.35,96.0,176.0,0.55,0.54,42.0,55.0,0.76,34.0,96.0,130.0,48.0,25.0,9.0,27.0,26.0,276.0,,0.0
1995,24,165,PHO,Phoenix Suns,31.0,NBA,PF,10.0,10.0,390.0,91.0,182.0,0.5,9.0,35.0,0.26,82.0,147.0,0.56,0.52,66.0,90.0,0.73,39.0,95.0,134.0,32.0,13.0,11.0,25.0,28.0,257.0,,0.0
1996,24,165,PHO,Phoenix Suns,32.0,NBA,PF,4.0,4.0,164.0,31.0,70.0,0.44,3.0,12.0,0.25,28.0,58.0,0.48,0.46,37.0,47.0,0.79,18.0,36.0,54.0,15.0,4.0,4.0,6.0,15.0,102.0,,0.0
1997,11,165,HOU,Houston Rockets,33.0,NBA,PF,16.0,16.0,605.0,86.0,198.0,0.43,11.0,38.0,0.29,75.0,160.0,0.47,0.46,103.0,134.0,0.77,64.0,128.0,192.0,54.0,19.0,7.0,43.0,52.0,286.0,,0.0
1998,11,165,HOU,Houston Rockets,34.0,NBA,PF,4.0,0.0,87.0,12.0,23.0,0.52,0.0,2.0,0.0,12.0,21.0,0.57,0.52,12.0,21.0,0.57,5.0,16.0,21.0,4.0,5.0,0.0,6.0,12.0,36.0,,0.0
1999,11,165,HOU,Houston Rockets,35.0,NBA,PF,4.0,4.0,157.0,36.0,68.0,0.53,2.0,7.0,0.29,34.0,61.0,0.56,0.54,20.0,30.0,0.67,13.0,42.0,55.0,15.0,6.0,2.0,8.0,12.0,94.0,,0.0
