Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1993,PHO,Charles Barkley,1,835.0,980,0.852,MVP
1993,HOU,Hakeem Olajuwon,2,647.0,980,0.66,MVP
1993,CHI,Michael Jordan,3,565.0,980,0.577,MVP
1993,NYK,Patrick Ewing,4,359.0,980,0.366,MVP
1993,ATL,Dominique Wilkins,5,54.0,980,0.055,MVP
1993,SAS,David Robinson,6,33.0,980,0.034,MVP
1993,ORL,Shaquille O'Neal,7,30.0,980,0.031,MVP
1993,UTA,Karl Malone,8T,10.0,980,0.01,MVP
1993,CLE,Mark Price,8T,10.0,980,0.01,MVP
1993,CLE,Brad Daugherty,10T,1.0,980,0.001,MVP
1993,POR,Clyde Drexler,10T,1.0,980,0.001,MVP
1993,DET,Joe Dumars,10T,1.0,980,0.001,MVP
1993,SEA,Shawn Kemp,10T,1.0,980,0.001,MVP
1993,UTA,John Stockton,10T,1.0,980,0.001,MVP
