Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1989,13,1828,LAC,Los Angeles Clippers,22.0,NBA,PF,26.0,18.0,950.0,8.6,17.3,0.49,0.0,0.2,0.2,8.5,17.1,0.5,3.8,5.0,0.77,3.4,4.9,8.3,3.9,2.1,1.2,4.5,4.3,21.0,,99.0,110.0
1990,13,1828,LAC,Los Angeles Clippers,23.0,NBA,PF,71.0,42.0,2269.0,9.4,17.6,0.53,0.0,0.1,0.0,9.4,17.5,0.54,5.8,7.9,0.74,3.0,6.0,9.0,4.0,1.9,0.8,4.0,5.6,24.6,,109.0,108.0
1991,13,1828,LAC,Los Angeles Clippers,24.0,NBA,PF,73.0,47.0,2197.0,10.3,19.8,0.52,0.0,0.1,0.0,10.3,19.7,0.52,4.8,6.7,0.72,3.7,5.6,9.3,4.3,2.6,1.4,4.1,6.1,25.4,,107.0,105.0
1992,13,1828,LAC,Los Angeles Clippers,25.0,NBA,PF,82.0,82.0,2904.0,11.1,20.5,0.54,0.0,0.1,0.0,11.1,20.4,0.54,4.8,6.6,0.72,3.9,5.7,9.7,4.9,2.3,2.1,3.6,5.0,27.0,,113.0,104.0
1993,13,1828,LAC,Los Angeles Clippers,26.0,NBA,PF,79.0,77.0,2761.0,12.3,24.2,0.51,0.1,0.5,0.27,12.2,23.7,0.51,6.8,8.5,0.8,3.5,5.7,9.1,3.6,1.9,1.8,4.0,5.7,31.6,,110.0,107.0
1994,31,1828,TOT,Total After Trade,27.0,NBA,PF,68.0,66.0,2520.0,11.4,23.4,0.49,0.1,0.3,0.18,11.4,23.1,0.49,4.4,6.7,0.67,2.6,6.5,9.1,5.1,1.9,1.6,4.5,5.1,27.4,,100.0,106.0
1994,13,1828,LAC,Los Angeles Clippers,27.0,NBA,PF,42.0,41.0,1595.0,12.4,25.1,0.49,0.1,0.4,0.14,12.3,24.6,0.5,5.3,7.8,0.67,2.5,6.5,8.9,5.3,1.6,1.7,4.4,5.0,30.0,,101.0,108.0
1994,1,1828,ATL,Atlanta Hawks,27.0,NBA,PF,26.0,25.0,925.0,9.7,20.5,0.48,0.1,0.2,0.33,9.7,20.3,0.48,3.0,4.6,0.65,2.7,6.6,9.3,4.7,2.5,1.4,4.7,5.1,22.5,,95.0,101.0
1995,24,1828,PHO,Phoenix Suns,28.0,NBA,PF,46.0,19.0,1510.0,11.3,20.6,0.55,0.2,0.7,0.29,11.1,19.9,0.56,4.5,6.7,0.67,3.2,5.9,9.1,5.1,1.4,1.9,4.0,5.8,27.2,,110.0,110.0
1996,24,1828,PHO,Phoenix Suns,29.0,NBA,PF,33.0,4.0,816.0,11.2,24.5,0.46,0.2,0.9,0.21,11.0,23.6,0.47,5.2,6.9,0.75,1.9,7.1,9.0,4.1,2.4,1.5,4.9,7.6,27.8,,95.0,107.0
1997,24,1828,PHO,Phoenix Suns,30.0,NBA,PF,77.0,17.0,2134.0,10.3,19.2,0.54,0.2,0.9,0.19,10.1,18.3,0.55,4.4,6.1,0.72,3.3,8.0,11.3,4.2,2.0,1.8,3.9,6.5,25.1,,108.0,106.0
1998,24,1828,PHO,Phoenix Suns,31.0,NBA,PF,70.0,11.0,1794.0,11.4,22.1,0.52,0.0,0.2,0.0,11.4,21.9,0.52,4.9,6.6,0.74,3.2,8.3,11.5,4.1,2.1,1.3,2.9,5.9,27.7,,111.0,100.0
1999,24,1828,PHO,Phoenix Suns,32.0,NBA,PF,50.0,5.0,1184.0,8.4,17.4,0.48,0.0,0.4,0.11,8.4,17.0,0.49,3.5,5.0,0.7,2.8,7.1,9.9,5.1,1.6,1.7,3.1,5.8,20.4,,104.0,103.0
2001,29,1828,UTA,Utah Jazz,34.0,NBA,PF,82.0,0.0,1305.0,10.1,20.5,0.49,0.3,1.1,0.25,9.8,19.3,0.51,4.2,5.7,0.73,2.7,6.1,8.8,3.8,1.9,1.2,3.9,9.0,24.7,,101.0,102.0
2002,7,1828,DAL,Dallas Mavericks,35.0,NBA,PF,41.0,10.0,552.0,6.7,14.0,0.48,0.1,0.7,0.14,6.6,13.3,0.49,2.1,3.1,0.67,2.3,7.8,10.1,2.8,2.0,2.0,2.3,7.5,15.5,,101.0,105.0
2003,9,1828,DET,Detroit Pistons,36.0,NBA,PF,13.0,0.0,89.0,8.1,19.9,0.41,1.9,5.0,0.38,6.2,14.9,0.42,3.1,3.7,0.83,4.4,6.8,11.2,4.4,5.6,1.9,4.4,6.8,21.1,,96.0,91.0
