Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2019,7,1804,DAL,Dallas Mavericks,Daryl Macon,"November 29, 1995",23.0,NBA,SG,8.0,0.0,90.0,5.4,14.6,0.37,2.7,5.9,0.46,2.7,8.6,0.31,2.2,3.8,0.57,1.1,5.4,6.5,3.8,0.5,0.0,3.2,4.3,15.6,,92.0,115.0
2020,16,1804,MIA,Miami Heat,Daryl Macon,"November 29, 1995",24.0,NBA,PG,4.0,0.0,14.0,3.5,10.5,0.33,3.5,7.0,0.5,0.0,3.5,0.0,0.0,0.0,,0.0,0.0,0.0,3.5,0.0,0.0,7.0,3.5,10.5,,65.0,118.0
