SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995,6,CLE,Bobby Phills,25,4,4,146,19,43,0.44,4,7,0.57,15,36,0.42,0.49,15,20,0.75,3,9,12,6,9,0,9,8,57
1995,6,CLE,Hot Rod Williams,32,4,4,144,12,42,0.29,0,1,0.0,12,41,0.29,0.29,3,8,0.38,3,22,25,11,9,3,10,11,27
1995,6,CLE,Mark Price,30,4,4,143,12,40,0.3,4,17,0.24,8,23,0.35,0.35,32,33,0.97,2,10,12,26,6,0,18,5,60
1995,6,CLE,Tyrone Hill,26,4,4,139,9,29,0.31,0,1,0.0,9,28,0.32,0.31,16,25,0.64,8,15,23,3,7,1,10,18,34
1995,6,CLE,Chris Mills,25,4,4,139,20,37,0.54,8,14,0.57,12,23,0.52,0.65,5,5,1.0,2,14,16,11,3,2,6,18,53
1995,6,CLE,Michael Cage,33,4,0,81,8,18,0.44,0,1,0.0,8,17,0.47,0.44,0,2,0.0,8,10,18,3,2,4,1,9,16
1995,6,CLE,Danny Ferry,28,4,0,67,13,25,0.52,8,15,0.53,5,10,0.5,0.68,4,6,0.67,0,3,3,6,2,0,0,9,38
1995,6,CLE,Steve Colter,32,4,0,43,5,10,0.5,0,1,0.0,5,9,0.56,0.5,2,4,0.5,1,0,1,2,1,0,0,2,12
1995,6,CLE,Tony Campbell,32,4,0,37,6,14,0.43,1,2,0.5,5,12,0.42,0.46,10,12,0.83,1,1,2,1,1,1,3,3,23
1995,6,CLE,John Battle,32,2,0,7,2,3,0.67,0,1,0.0,2,2,1.0,0.67,0,0,,0,0,0,1,0,0,0,1,4
1995,6,CLE,Greg Dreiling,32,1,0,7,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,1,1,0,0,0,0,2,0
1995,6,CLE,Fred Roberts,34,1,0,7,3,4,0.75,0,0,,3,4,0.75,0.75,0,2,0.0,1,1,2,0,0,0,1,0,6
