Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995,29,UTA,Utah Jazz,Karl Malone,31,5,5,216,48,103,0.47,1,3,0.33,47,100,0.47,0.47,54,78,0.69,15,51,66,19,7,2,14,18,151
1995,29,UTA,Utah Jazz,John Stockton,32,5,5,193,34,74,0.46,8,20,0.4,26,54,0.48,0.51,13,17,0.76,6,11,17,51,7,1,14,13,89
1995,29,UTA,Utah Jazz,Jeff Hornacek,31,5,5,178,26,51,0.51,7,13,0.54,19,38,0.5,0.58,11,14,0.79,3,3,6,20,8,1,7,19,70
1995,29,UTA,Utah Jazz,David Benoit,26,5,5,167,21,45,0.47,11,25,0.44,10,20,0.5,0.59,6,9,0.67,7,21,28,4,2,4,10,10,59
1995,29,UTA,Utah Jazz,Antoine Carr,33,5,0,114,14,31,0.45,0,0,,14,31,0.45,0.45,20,24,0.83,3,12,15,7,3,5,4,26,48
1995,29,UTA,Utah Jazz,James Donaldson,37,5,5,76,5,6,0.83,0,0,,5,6,0.83,0.83,4,4,1.0,3,6,9,0,0,3,2,8,14
1995,29,UTA,Utah Jazz,Adam Keefe,24,4,0,69,7,12,0.58,0,0,,7,12,0.58,0.58,4,6,0.67,8,9,17,2,5,1,0,4,18
1995,29,UTA,Utah Jazz,Tom Chambers,35,5,0,60,11,22,0.5,1,3,0.33,10,19,0.53,0.52,9,13,0.69,3,10,13,2,2,0,3,18,32
1995,29,UTA,Utah Jazz,Jamie Watson,22,5,0,57,6,9,0.67,0,0,,6,9,0.67,0.67,0,0,,1,0,1,3,2,1,6,12,12
1995,29,UTA,Utah Jazz,Blue Edwards,29,4,0,33,4,12,0.33,1,1,1.0,3,11,0.27,0.38,0,0,,1,5,6,3,2,0,3,3,9
1995,29,UTA,Utah Jazz,John Crotty,25,3,0,24,2,3,0.67,0,0,,2,3,0.67,0.67,3,5,0.6,0,0,0,6,1,0,0,2,7
1995,29,UTA,Utah Jazz,Bryon Russell,24,2,0,13,4,7,0.57,2,4,0.5,2,3,0.67,0.71,1,2,0.5,1,1,2,3,1,0,0,2,11
